0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13232 33354	5	 * 	291.40	DCR|5VULN|3DUR|1DMG	158DUR|2ERES|38CGEN|45678VULN|58BPWR|9DMG|aRCR
2	13613 62352	10	 * 	289.10	DCR|3VULN|3DMG|2DUR|2CDMG	1aDUR|2ERES|3aCDMG|45aVULN|679DMG|8RCR|aBPWR
3	23236 33413	2	 * 	285.79	DCR|4VULN|2DMG|2DUR|1AART	1AART|267aVULN|3CGEN|4TBNT|5aDMG|8aDUR|9RCR|aBPWR
4	23266 33413	2	   	285.79	DCR|4VULN|2DMG|2DUR|1AART	1AART|267aVULN|3CGEN|4BBNT|5aDMG|8aDUR|9RCR|aBPWR
5	23136 33413	2	 * 	279.10	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	1AART|267aVULN|3ASPD|4TBNT|5aTLV|8aDUR|9RCR|aBPWR
6	23166 33413	2	   	279.10	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	1AART|267aVULN|3ASPD|4BBNT|5aTLV|8aDUR|9RCR|aBPWR
7	23436 33413	3	   	279.10	DCR|4VULN|2DUR|2TLV|1ASPD|1AART	1AART|267aVULN|3ASPD|4TBNT|5aTLV|8aDUR|9RCR|aBPWR
8	23353 64321	9	   	278.76	DCR|5VULN|1DMG|1CDMG|1AART	1AART|2478aVULN|3LIT|5CDMG|6DMG|9RCR
9	13412 11534	2	 * 	277.39	DCR|3VULN|3DUR|1DMG|2TLV	148DUR|2ERES|38aVULN|5DMG|6LIT|78TLV|8BPWR|9RCR
10	13612 62352	10	 * 	275.42	DCR|2VULN|3DMG|3DUR|2CDMG	15aDUR|2ERES|3aCDMG|4aVULN|679DMG|8RCR|aBPWR
11	23353 24321	9	   	274.95	DCR|5VULN|1TLV|1CDMG|1AART	1AART|2478aVULN|3LIT|5CDMG|6TLV|9RCR
12	23353 24325	10	   	274.95	DCR|5VULN|1TLV|1CDMG|1AART	1AART|2478aVULN|3LIT|5CDMG|6TLV|9RCR
13	23353 24341	8	   	274.95	DCR|5VULN|1TLV|1CDMG|1AART	1AART|2478aVULN|3LIT|5CDMG|6TLV|9RCR
14	14613 43121	10	   	274.06	DCR|3VULN|2DUR|2TLV|2LIT|1CDMG|1AART	18DUR|28TLV|3CDMG|459VULN|6AART|78LIT|8BPWR|aRCR
15	13614 61321	8	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	15DUR|2ERES|3CDMG|4579VULN|5BPWR|6DMG|8RCR|aLWND
16	13614 61322	8	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	15DUR|2ERES|3CDMG|4579VULN|5BPWR|6DMG|8RCR|aDMSP
17	13613 61325	8	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	1aDUR|2ERES|3CDMG|4579VULN|6DMG|8RCR
18	13614 61323	8	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	15DUR|2ERES|3CDMG|4579VULN|5BPWR|6DMG|8RCR|aTBNT
19	14614 32211	9	   	271.86	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1SELL	15DUR|2TLV|36CDMG|459VULN|5BPWR|7SELL|8RCR|aDMG
20	14614 32221	8	   	271.86	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1SELL	15DUR|2TLV|36CDMG|459VULN|5BPWR|7SELL|8RCR|aDMG
21	43111 12434	5	   	271.70	DCR|5VULN|1DMG|1TLV	1LIT|2DMG|3TLV|4CGEN|56789VULN|aRCR
22	43112 12434	4	   	271.70	DCR|5VULN|1DMG|1TLV	1LIT|2DMG|3TLV|4CGEN|56789VULN|aRCR
23	23353 24221	10	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1AART|2479VULN|3LIT|5CDMG|6TLV|8DUR|aRCR
24	23353 24325	9	   	271.66	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1AART|2478VULN|3LIT|5CDMG|6TLV|9RCR|aDUR
25	14613 23325	8	   	269.86	DCR|3VULN|3DUR|1TLV|1CDMG|1ASPD	16aDUR|2TLV|3CDMG|459VULN|7ASPD|8RCR
26	23536 36113	2	 * 	269.77	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	1AART|26aVULN|3RMIN|4TBNT|5TLV|7aASPD|8aDMG|9RCR|aBPWR
27	23425 24323	8	 * 	269.45	DCR|4VULN|2DUR|2ASPD|1AART	1AART|289aVULN|38ASPD|4MLV|5LHND|68DUR|7RCR|8BPWR
28	15321 11534	1	 * 	268.17	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|3MLV|48DMG|5aVULN|6LIT|78TLV|8BPWR|9RCR
29	14613 22214	10	   	268.03	DCR|4VULN|2DUR|1TLV|1CDMG|1SELL	16DUR|2TLV|3CDMG|459aVULN|7SELL|8RCR
30	11433 31431	5	   	267.95	DCR|4VULN|3DUR|1TLV	13aDUR|23LWND|3BPWR|4569VULN|7TLV|8RCR
31	11633 31431	5	   	267.85	DCR|4VULN|3DUR|1TLV	13aDUR|2LWND|4569VULN|7TLV|8RCR
32	13232 31431	5	   	267.85	DCR|4VULN|3DUR|1TLV	15aDUR|2ERES|3CGEN|4569VULN|5BPWR|7TLV|8RCR
33	15532 31431	5	   	267.85	DCR|4VULN|3DUR|1TLV	15aDUR|2CGEN|3ERES|4569VULN|5BPWR|7TLV|8RCR
34	13614 61321	9	   	267.41	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	15DUR|2ERES|3CDMG|457VULN|5BPWR|6DMG|8RCR|9AART|aLIT
35	23352 34141	10	   	267.09	DCR|3VULN|3DUR|2TLV|1AART	1AART|249VULN|3LIT|5RPLT|69aDUR|79TLV|8RCR|9BPWR
36	13614 62321	8	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	15DUR|2ERES|3CDMG|459VULN|5BPWR|67DMG|8RCR|aLWND
37	13614 62322	8	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	15DUR|2ERES|3CDMG|459VULN|5BPWR|67DMG|8RCR|aDMSP
38	15631 11225	7	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	16DUR|2CGEN|3CDMG|46DMG|5MBVNT|6BPWR|79aVULN|8RCR
39	15631 14225	6	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	16DUR|2CGEN|3CDMG|46DMG|5MBVNT|6BPWR|79aVULN|8RCR
40	23353 64221	9	   	266.99	DCR|4VULN|1DMG|2AART|1CDMG	18AART|247aVULN|3LIT|5CDMG|6DMG|9RCR
41	11423 24215	2	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	17DUR|27LWND|3ASPD|4DMG|57TLV|6RCR|7BPWR|89aVULN
42	13423 24215	1	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	17DUR|27LWND|3ASPD|4DMG|57TLV|6RCR|7BPWR|89aVULN
43	13614 62323	8	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	15DUR|2ERES|3CDMG|459VULN|5BPWR|67DMG|8RCR|aTBNT
44	13613 61353	10	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|2ERES|3CDMG|457VULN|69DMG|8RCR
45	13613 62325	8	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|2ERES|3CDMG|459VULN|67DMG|8RCR
46	23425 24323	10	 * 	266.87	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	1AART|28aVULN|38ASPD|4MLV|5LHND|68DUR|7RCR|8BPWR|9DMG
47	23152 21231	2	 * 	266.77	DCR|3VULN|2DUR|2ASPD|2CDMG|1AART	1AART|27aVULN|35ASPD|47DUR|67CDMG|7BPWR|8LHND|9RCR
48	23152 21631	2	   	266.77	DCR|3VULN|2DUR|2ASPD|2CDMG|1AART	1AART|27aVULN|35ASPD|47DUR|67CDMG|7BPWR|8LWND|9RCR
49	23452 21231	3	   	266.77	DCR|3VULN|2DUR|2ASPD|2CDMG|1AART	1AART|27aVULN|35ASPD|47DUR|67CDMG|7BPWR|8LHND|9RCR
50	23452 21631	3	   	266.77	DCR|3VULN|2DUR|2ASPD|2CDMG|1AART	1AART|27aVULN|35ASPD|47DUR|67CDMG|7BPWR|8LWND|9RCR
51	14252 22133	2	   	266.74	DCR|4VULN|2DUR|2TLV	1aDUR|2aTLV|3LIT|4TBNT|5MLV|6RCR|789aVULN|aBPWR
52	23136 36413	2	 * 	266.67	DCR|3VULN|2DUR|2ASPD|2TLV|1AART	1AART|26aVULN|37ASPD|4TBNT|5aTLV|8aDUR|9RCR|aBPWR
53	23152 21131	2	   	266.67	DCR|3VULN|2DUR|2ASPD|2CDMG|1AART	1AART|27aVULN|35ASPD|47DUR|67CDMG|7BPWR|8DUST|9RCR
54	23452 21131	3	   	266.67	DCR|3VULN|2DUR|2ASPD|2CDMG|1AART	1AART|27aVULN|35ASPD|47DUR|67CDMG|7BPWR|8DUST|9RCR
55	12116 14251	2	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1DUR|2RPLT|3ASPD|467VULN|59DMG|8RCR|aTLV
56	21642 53121	10	   	265.87	DCR|4VULN|2TLV|2LIT|1CDMG|1AART	1AART|28TLV|3689VULN|4CDMG|5LHND|78LIT|8BPWR|aRCR
57	23353 64121	9	   	265.77	DCR|4VULN|1DMG|2LIT|1CDMG|1AART	1AART|247aVULN|38LIT|5CDMG|6DMG|9RCR
58	13614 61311	9	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|2ERES|3CDMG|457VULN|5BPWR|6DMG|8RCR|9LWND|aTLV
59	13614 61313	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|2ERES|3CDMG|457VULN|5BPWR|6DMG|8RCR|9LWND|aTLV
60	13614 61331	8	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	15DUR|2ERES|3CDMG|457VULN|5BPWR|6DMG|8RCR|9LWND|aTLV
61	23353 64322	9	 * 	265.53	DCR|4VULN|2CDMG|1DMG|1AART	1AART|2478VULN|3LIT|5aCDMG|6DMG|9RCR
62	14613 22211	9	   	265.45	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1SELL	16DUR|2TLV|3CDMG|459VULN|7SELL|8RCR|aDMG
63	14613 22221	8	   	265.45	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1SELL	16DUR|2TLV|3CDMG|459VULN|7SELL|8RCR|aDMG
64	11433 31412	5	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	13aDUR|23LWND|3BPWR|456VULN|7TLV|8RCR|9DMG
65	11633 31412	5	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	13aDUR|2LWND|456VULN|7TLV|8RCR|9DMG
66	13232 31412	5	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	15aDUR|2ERES|3CGEN|456VULN|5BPWR|7TLV|8RCR|9DMG
67	15532 31412	5	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	15aDUR|2CGEN|3ERES|456VULN|5BPWR|7TLV|8RCR|9DMG
68	12431 33113	8	 * 	265.21	ACR|3VULN|3DUR|2DMG|3ASPD|1SELL	138DUR|2RPLT|4RCR|5SELL|68aASPD|78aVULN|8aBPWR|9aDMG
69	12431 33113	9	 * 	265.21	ACR|3VULN|3DUR|2DMG|3ASPD|1SELL	138DUR|2RPLT|4RCR|5SELL|68aASPD|78aVULN|8aBPWR|9aDMG
70	12435 13113	9	 * 	265.21	ACR|3VULN|3DUR|2DMG|3ASPD|1SELL	138DUR|2RPLT|4RCR|58aASPD|6SELL|78aVULN|8aBPWR|9aDMG
71	12435 13113	8	 * 	265.21	ACR|3VULN|3DUR|2DMG|3ASPD|1SELL	138DUR|2RPLT|4RCR|58aASPD|6SELL|78aVULN|8aBPWR|9aDMG
72	14614 32213	9	 * 	265.03	DCR|3VULN|3DUR|2CDMG|1TLV|1SELL	15aDUR|2TLV|36CDMG|459VULN|5BPWR|7SELL|8RCR
73	14614 32223	8	 * 	265.03	DCR|3VULN|3DUR|2CDMG|1TLV|1SELL	15aDUR|2TLV|36CDMG|459VULN|5BPWR|7SELL|8RCR
74	23352 34142	9	   	264.87	DCR|3VULN|2DUR|2TLV|1ASPD|1AART	1AART|249VULN|3LIT|5RPLT|69DUR|79TLV|8RCR|9BPWR|aASPD
75	12116 63235	2	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	17DUR|2RPLT|3ASPD|47aVULN|57DMG|6BBNT|7BPWR|8RMIN|9RCR
76	11433 31434	5	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	13DUR|23LWND|3BPWR|4569VULN|7TLV|8RCR|aAART
77	23112 21231	2	   	264.33	DCR|3VULN|2DUR|2CDMG|2AART|1ASPD	14AART|27aVULN|3ASPD|57DUR|67CDMG|7BPWR|8LHND|9RCR
78	23112 21631	2	   	264.33	DCR|3VULN|2DUR|2CDMG|2AART|1ASPD	14AART|27aVULN|3ASPD|57DUR|67CDMG|7BPWR|8LWND|9RCR
79	23412 21231	3	   	264.33	DCR|3VULN|2DUR|2CDMG|2AART|1ASPD	14AART|27aVULN|3ASPD|57DUR|67CDMG|7BPWR|8LHND|9RCR
80	23412 21631	3	   	264.33	DCR|3VULN|2DUR|2CDMG|2AART|1ASPD	14AART|27aVULN|3ASPD|57DUR|67CDMG|7BPWR|8LWND|9RCR
81	23352 33523	4	 * 	264.30	DCR|3VULN|2ASPD|2TLV|1DMG|1AART	1AART|248VULN|3LIT|5BELT|68TLV|78ASPD|8BPWR|9DMG|aRCR
82	11633 31434	5	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	13DUR|2LWND|4569VULN|7TLV|8RCR|aAART
83	13232 31434	5	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	15DUR|2ERES|3CGEN|4569VULN|5BPWR|7TLV|8RCR|aAART
84	23112 21131	2	   	264.23	DCR|3VULN|2DUR|2CDMG|2AART|1ASPD	14AART|27aVULN|3ASPD|57DUR|67CDMG|7BPWR|8DUST|9RCR
85	23412 21131	3	   	264.23	DCR|3VULN|2DUR|2CDMG|2AART|1ASPD	14AART|27aVULN|3ASPD|57DUR|67CDMG|7BPWR|8DUST|9RCR
86	14252 21233	2	   	264.08	DCR|3VULN|3DUR|2TLV|2LIT	17aDUR|2aTLV|37LIT|4TBNT|57MLV|6RCR|7aBPWR|89aVULN
87	13613 61326	8	   	263.72	DCR|4VULN|2CDMG|1DMG|1DUR	1DUR|2ERES|3aCDMG|4579VULN|6DMG|8RCR
88	11433 31414	5	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	13DUR|23LWND|3BPWR|456VULN|7TLV|8RCR|9DMG|aASPD
89	26283 35434	3	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1AART|2RMIN|3MBVNT|468VULN|58DMG|78DUR|8BPWR|9BEXP|aRCR
90	23231 11113	2	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1AART|25aVULN|3CGEN|4TBNT|6aDUR|7RCVC|8aDMG|9RCR|aBPWR
91	23261 11113	2	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1AART|25aVULN|3CGEN|4BBNT|6aDUR|7RCVC|8aDMG|9RCR|aBPWR
92	11633 31414	5	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	13DUR|2LWND|456VULN|7TLV|8RCR|9DMG|aASPD
93	13232 31414	5	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	15DUR|2ERES|3CGEN|456VULN|5BPWR|7TLV|8RCR|9DMG|aASPD
94	14614 33321	8	   	263.05	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	15DUR|2TLV|36CDMG|459VULN|5BPWR|7ASPD|8RCR|aLWND
95	14614 33322	8	   	263.05	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	15DUR|2TLV|36CDMG|459VULN|5BPWR|7ASPD|8RCR|aDMSP
96	14613 23326	8	   	262.95	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	16DUR|2TLV|3aCDMG|459VULN|7ASPD|8RCR
97	14613 33325	8	   	262.95	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	1aDUR|2TLV|36CDMG|459VULN|7ASPD|8RCR
98	14614 33132	10	   	262.95	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	15DUR|2TLV|36CDMG|458VULN|5BPWR|7ASPD|9MBVNT|aRCR
99	14614 33323	8	   	262.95	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	15DUR|2TLV|36CDMG|459VULN|5BPWR|7ASPD|8RCR|aTBNT
100	23351 28116	10	 * 	262.89	DCR|4VULN|3ASPD|2LIT|1AART	1AART|246aVULN|3aLIT|5MBVNT|7RCR|89aASPD|aBPWR
101	44121 15223	9	 * 	262.58	DCR|3VULN|2DMG|3LIT|2TLV	149LIT|23TLV|569VULN|7RMIN|89DMG|9BPWR|aRCR
102	13612 61325	8	   	262.57	DCR|3VULN|3DUR|1DMG|1CDMG	15aDUR|2ERES|3CDMG|479VULN|6DMG|8RCR
103	13614 61331	9	   	262.43	DCR|3VULN|3DUR|1DMG|1CDMG|1SELL	15aDUR|2ERES|3CDMG|457VULN|5BPWR|6DMG|8RCR|9SELL
