0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22123 43542	4	 * 	258.64	DCR|4VULN|2DUR|1DMG	18MLV|2RPLT|3LWND|48DUR|5789VULN|6RCR|8BPWR|aDMG
2	62213 41341	5	 * 	258.54	DCR|4VULN|2DUR|2TLV	19TLV|2RPLT|389aVULN|4LWND|5FEWX|6RCR|79DUR|9BPWR
3	62122 43341	4	   	258.44	DCR|4VULN|2DUR|2TLV	19TLV|2RPLT|3LWND|49DUR|5LEGI|6RCR|789aVULN|9BPWR
4	62263 13251	3	   	257.50	DCR|4VULN|2TLV|1DUR|1CDMG	14TLV|2RPLT|3479VULN|4BPWR|5LWND|6DUR|8CDMG|aRCR
5	11356 61111	2	 * 	256.97	DCR|3VULN|2DMG|1DUR|1AART	1aBEXP|2DUR|39aVULN|4LWND|5LIT|6AART|7RCR|8aDMG|aBPWR
6	12356 61111	1	   	256.97	DCR|3VULN|2DMG|1DUR|1AART	1aBEXP|2DUR|39aVULN|4LWND|5LIT|6AART|7RCR|8aDMG|aBPWR
7	62213 41342	5	 * 	255.96	DCR|3VULN|2DUR|2TLV|1DMG	19TLV|2RPLT|389VULN|4LWND|5FEWX|6RCR|79DUR|9BPWR|aDMG
8	62122 43342	4	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	19TLV|2RPLT|3LWND|49DUR|5LEGI|6RCR|789VULN|9BPWR|aDMG
9	33611 33256	1	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1ZMB|2CDMG|3ASPD|4DUR|56aVULN|7AART|8RCR|9DMG
10	33623 33256	1	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1ZMB|2CDMG|3ASPD|46aVULN|5DUR|7AART|8RCR|9DMG
11	62262 12251	6	   	253.69	DCR|4VULN|1DUR|1TLV|1CDMG	1TLV|2RPLT|3679VULN|4CDMG|5DUR|8BEXP|aRCR
12	62222 13251	4	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2RPLT|3579VULN|4DUST|6DUR|8CDMG|aRCR
13	24235 31343	8	 * 	252.28	DCR|3VULN|2TLV|2CDMG|1DUR|1ASPD	1MLV|2aTLV|3FEWX|4DUR|5aCDMG|6ASPD|79aVULN|8RCR|aBPWR
14	52331 51241	1	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1LHND|2ASPD|3CDMG|4DMG|589aVULN|6RCR|7BEXP
15	52331 51241	2	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1LHND|2ASPD|3CDMG|4DMG|589aVULN|6RCR|7BEXP
16	52331 52241	1	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1LHND|2ASPD|3CDMG|4DMG|589aVULN|6RCR|7LWND
17	52331 52241	2	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1LHND|2ASPD|3CDMG|4DMG|589aVULN|6RCR|7LWND
18	32261 17611	3	   	252.22	DCR|4VULN|2DUR|1CDMG	148ZMB|2RPLT|348aVULN|48BPWR|5MBVNT|68DUR|7RCR|9CDMG
19	32261 17632	3	   	252.22	DCR|4VULN|2DUR|1CDMG	148ZMB|2RPLT|3489VULN|48BPWR|5MBVNT|68DUR|7RCR|aCDMG
20	62336 33251	1	   	252.08	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	18TLV|2ASPD|3ERES|457VULN|6RCR|9DUR|aDMG
21	63251 23534	1	   	250.84	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	18TLV|28CDMG|38aVULN|4AART|5MBVNT|6RCR|7RCVC|8BPWR|9DUR
22	14611 31412	6	 * 	250.69	ACR|3VULN|3DMG|2DUR|1CDMG	189BEXP|2RCR|3MBVNT|45DUR|689DMG|789VULN|89BPWR|aCDMG
23	14611 33412	7	   	250.69	ACR|3VULN|3DMG|2DUR|1CDMG	189BEXP|2RCR|3MBVNT|45DUR|689DMG|789VULN|89BPWR|aCDMG
24	14617 41412	6	   	250.69	ACR|3VULN|3DMG|2DUR|1CDMG	189BEXP|2RCR|3MBVNT|46DUR|589DMG|789VULN|89BPWR|aCDMG
25	14617 43412	7	   	250.69	ACR|3VULN|3DMG|2DUR|1CDMG	189BEXP|2RCR|3MBVNT|46DUR|589DMG|789VULN|89BPWR|aCDMG
26	44231 44248	10	 * 	250.27	ACR|3VULN|3DMG|3DUR	1RCR|28aDMG|3aBEXP|4MBVNT|5RPLT|68aVULN|789DUR|8aBPWR
27	63223 53111	1	   	250.26	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD	1TLV|2CDMG|39aVULN|4LIT|5DUST|6ASPD|7DUR|8RCR
28	32261 17634	3	   	249.58	DCR|4VULN|2DUR|1ASPD	148ZMB|2RPLT|3489VULN|48BPWR|5MBVNT|68DUR|7RCR|aASPD
29	64324 33312	5	   	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	12TLV|35DUR|45aVULN|5BPWR|6RCR|7CDMG|8RCVC|9LWND
30	64324 31221	5	 * 	248.92	DCR|3VULN|3DUR|2TLV	12TLV|359DUR|45aVULN|5BPWR|6RCR|7BEXP|8DUST
31	61335 31343	8	   	248.56	DCR|3VULN|2CDMG|1TLV|1DUR|1ASPD	1TLV|2aFEWX|3MLV|4DUR|5aCDMG|6ASPD|79aVULN|8RCR|aBPWR
32	34162 13351	6	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1ZMB|2TLV|3LHND|469VULN|5DUR|7DMG|8ASPD|aRCR
33	33611 51231	1	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|4DUR|589aVULN|6RCR|7BEXP
34	33611 52241	1	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|4DUR|589aVULN|6RCR|7LWND
35	33611 53241	1	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|4DUR|589aVULN|6RCR|7LHND
36	33623 51231	1	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|489aVULN|5DUR|6RCR|7BEXP
37	33623 52241	1	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|489aVULN|5DUR|6RCR|7LWND
38	33623 53241	1	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|489aVULN|5DUR|6RCR|7LHND
39	63251 24483	1	 * 	248.40	DCR|3VULN|3CDMG|3TLV|2AART	189TLV|289CDMG|389VULN|4aAART|5MBVNT|6RCR|7DLOT|89BPWR
40	32263 21643	3	 * 	247.34	DCR|5VULN|1DMG	145ZMB|2RPLT|3456aVULN|45BPWR|7BELT|8DMG|9RCR
41	14611 31415	6	   	246.70	ACR|3VULN|3DMG|2DUR|1AART	189BEXP|2RCR|3MBVNT|45DUR|689DMG|789VULN|89BPWR|aAART
42	14611 33415	7	   	246.70	ACR|3VULN|3DMG|2DUR|1AART	189BEXP|2RCR|3MBVNT|45DUR|689DMG|789VULN|89BPWR|aAART
43	63231 54122	1	 * 	246.24	DCR|3VULN|2ASPD|2TLV|2CDMG	19TLV|29CDMG|35aVULN|48CGEN|69ASPD|7RCR|9BPWR
44	62336 35322	1	   	246.14	DCR|3VULN|2ASPD|2TLV|2CDMG	19TLV|29ASPD|3ERES|45aVULN|6RCR|79CDMG|8RCVC|9BPWR
45	12622 12452	7	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1BEXP|2ASPD|3RPLT|4DUR|5DMG|67aVULN|8CDMG|9RCR
46	52331 53241	1	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	17LHND|2ASPD|3CDMG|4DMG|59aVULN|6RCR|8DUR
47	52331 53241	2	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	17LHND|2ASPD|3CDMG|4DMG|59aVULN|6RCR|8DUR
48	52335 31352	1	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LHND|2ASPD|3CDMG|4DMG|5RPLT|6DUR|78aVULN|9RCR
49	52335 31352	2	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LHND|2ASPD|3CDMG|4DMG|5RPLT|6DUR|78aVULN|9RCR
50	11655 31111	7	   	245.65	DCR|4VULN|1DUR|1CDMG	1BEXP|2DUR|3MBVNT|479aVULN|5LIT|6CDMG|8RCR
51	33151 54321	1	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1ZMB|2CDMG|3TLV|4DUST|57aVULN|6RCR|89DUR
52	62262 13352	8	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2RPLT|368VULN|4CDMG|5aDUR|7ERES|9RCR
53	14611 31414	6	   	245.35	ACR|3VULN|3DMG|2DUR	189BEXP|2RCR|3MBVNT|45DUR|689DMG|789VULN|89BPWR|aLIT
54	14611 33414	7	   	245.35	ACR|3VULN|3DMG|2DUR	189BEXP|2RCR|3MBVNT|45DUR|689DMG|789VULN|89BPWR|aLIT
55	14617 41414	6	   	245.35	ACR|3VULN|3DMG|2DUR	189BEXP|2RCR|3MBVNT|46DUR|589DMG|789VULN|89BPWR|aLIT
56	14617 43414	7	   	245.35	ACR|3VULN|3DMG|2DUR	189BEXP|2RCR|3MBVNT|46DUR|589DMG|789VULN|89BPWR|aLIT
57	63136 63322	1	 * 	244.81	DCR|2VULN|3DMG|3TLV|1CDMG	139TLV|2CDMG|479DMG|5DUST|6ERES|89VULN|9BPWR|aRCR
58	22123 43442	4	   	243.85	DCR|4VULN|1DMG|1DUR	1MLV|2RPLT|3LWND|4DUR|5789VULN|6RCR|aDMG
59	44231 73241	8	 * 	243.83	ACR|4VULN|2DMG|2DUR	1RCR|28DMG|3BEXP|4MBVNT|5RPLT|68DUR|789aVULN|8BPWR
60	14611 31428	6	   	243.83	ACR|4VULN|2DMG|2DUR	18BEXP|2RCR|3MBVNT|45DUR|68DMG|789aVULN|8BPWR
61	14611 33428	7	   	243.83	ACR|4VULN|2DMG|2DUR	18BEXP|2RCR|3MBVNT|45DUR|68DMG|789aVULN|8BPWR
62	44231 44241	8	   	243.83	ACR|4VULN|2DMG|2DUR	1RCR|28DMG|3BEXP|4MBVNT|5RPLT|689aVULN|78DUR|8BPWR
63	44231 44271	9	   	243.83	ACR|4VULN|2DMG|2DUR	1RCR|28DMG|3BEXP|4MBVNT|5RPLT|689aVULN|78DUR|8BPWR
64	22331 54241	3	   	243.75	DCR|4VULN|2TLV|1DUR	1MLV|2RPLT|34TLV|579aVULN|6RCR|8DUR
65	22331 55241	3	   	243.75	DCR|4VULN|2TLV|1DUR	1MLV|2RPLT|34TLV|589aVULN|6RCR|7DUR
66	34262 12226	6	   	243.75	DCR|4VULN|2TLV|1DUR	1ZMB|28TLV|3FEWX|4679VULN|5DUR|aRCR
67	61162 12226	6	   	243.75	DCR|4VULN|2TLV|1DUR	18TLV|2FEWX|3ZMB|4679VULN|5DUR|aRCR
68	62316 33241	7	   	243.75	DCR|4VULN|2TLV|1DUR	13TLV|2RPLT|4ZMB|589aVULN|6RCR|7DUR
69	34362 12225	6	   	243.65	DCR|4VULN|2TLV|1DUR	1ZMB|28TLV|3DUST|4679VULN|5DUR|aRCR
70	63262 45342	1	 * 	243.65	DCR|4VULN|2CDMG|1TLV	1TLV|29CDMG|356aVULN|4MBVNT|7RCR|8RCVC
71	63632 51213	1	   	243.51	DCR|2VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|4LIT|5RPLT|6DUR|7aVULN|8DMG|9RCR
72	32322 25441	6	   	243.18	DCR|3VULN|2DUR|1TLV|1ASPD	19ZMB|2RPLT|3TLV|49DUR|5ASPD|6BEXP|7RCR|89aVULN|9BPWR
73	11144 31623	8	   	243.17	DCR|3VULN|1DMG|1DUR|1CDMG	1BEXP|2DUR|3FEWX|47aVULN|5LIT|6CDMG|8DMG|9RCR
74	53413 34123	1	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2CDMG|3LIT|4DMG|5DUST|68aVULN|7DUR|9RCR
75	22336 33216	1	   	242.88	DCR|3VULN|2DUR|1TLV|1ASPD	1MLV|2ASPD|3ERES|457VULN|6RCR|8TLV|9aDUR
76	32264 51312	7	   	242.62	DCR|3VULN|2ASPD|2CDMG|1DUR	19ZMB|2RPLT|359VULN|45CDMG|59BPWR|6FEWX|7RCR|89ASPD|aDUR
77	64324 33212	5	   	242.60	DCR|2VULN|2DUR|2TLV|1DMG|1CDMG	12TLV|35DUR|45VULN|5BPWR|6RCR|7CDMG|8FEWX|9BEXP|aDMG
78	11441 35413	4	 * 	242.04	DCR|3VULN|2DUR|3CDMG	189BEXP|26DUR|3RPLT|489VULN|5MBVNT|789CDMG|89BPWR|aRCR
79	11631 35413	3	   	242.04	DCR|3VULN|2DUR|3CDMG	189BEXP|26DUR|3MBVNT|489VULN|5RPLT|789CDMG|89BPWR|aRCR
80	11651 35413	4	   	242.04	DCR|3VULN|2DUR|3CDMG	189BEXP|26DUR|3MBVNT|489VULN|5RPLT|789CDMG|89BPWR|aRCR
81	24235 11343	8	   	241.27	DCR|3VULN|2TLV|2CDMG|1DUR	1MLV|2aTLV|3FEWX|4DUR|5aCDMG|6ZMB|79aVULN|8RCR|aBPWR
