0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13224 13343	5	 * 	325.49	DCR|5VULN|2DMG|2DUR|2TLV	1458aVULN|2AART|35DMG|58BPWR|68DUR|78TLV|9RCR
2	13224 13341	5	   	305.95	DCR|4VULN|2DMG|2DUR|2TLV	1458VULN|2AART|35DMG|58BPWR|68DUR|78TLV|9RCR|aLWND
3	13224 13342	5	   	305.95	DCR|4VULN|2DMG|2DUR|2TLV	1458VULN|2AART|35DMG|58BPWR|68DUR|78TLV|9RCR|aDMSP
4	13224 13345	5	   	305.95	DCR|4VULN|2DMG|2DUR|2TLV	1458VULN|2AART|35DMG|58BPWR|68DUR|78TLV|9RCR|aCGEN
5	13224 13346	5	   	305.95	DCR|4VULN|2DMG|2DUR|2TLV	1458VULN|2AART|35DMG|58BPWR|68DUR|78TLV|9RCR|aBEXP
6	13264 13343	5	   	305.95	DCR|4VULN|2DMG|2DUR|2TLV	158aVULN|2AART|35DMG|4DMSP|58BPWR|68DUR|78TLV|9RCR
7	13224 11343	5	   	305.32	DCR|5VULN|2DMG|2DUR	1458aVULN|2AART|35DMG|58BPWR|68DUR|78ERES|9RCR
8	11335 25643	3	 * 	298.72	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|2LIT|3MBVNT|478CDMG|578DMG|6AART|78BPWR|9DUR|aRCR
9	11341 25643	6	   	298.72	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|2LIT|3MBVNT|478CDMG|5AART|678DMG|78BPWR|9DUR|aRCR
10	11345 25643	4	   	298.72	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|2LIT|3MBVNT|478CDMG|578DMG|6AART|78BPWR|9DUR|aRCR
11	11114 14815	4	 * 	297.49	DCR|4VULN|3DUR|3ASPD|2LIT	159aVULN|2aLIT|39aASPD|4MBVNT|679DUR|8RCR|9aBPWR
12	11114 51815	7	   	297.49	DCR|4VULN|3DUR|3ASPD|2LIT	179aVULN|2aLIT|39aASPD|4MBVNT|569DUR|8RCR|9aBPWR
13	11316 14815	5	   	297.49	DCR|4VULN|3DUR|3ASPD|2LIT	149aVULN|2aLIT|3MBVNT|59aASPD|679DUR|8RCR|9aBPWR
14	13224 62153	7	   	295.70	DCR|5VULN|2DMG|2ASPD	1459aVULN|2AART|35DMG|59BPWR|69ASPD|7RCR|89DUST
