0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23322 66411	10	 * 	287.49	DCR|5VULN|3DUR|1TLV	17ERES|24567VULN|367DUR|67BPWR|8CGEN|9TLV|aRCR
2	24223 66213	9	 * 	285.29	DCR|3VULN|3DMG|3ASPD|1DUR	167ERES|248ASPD|378VULN|567DMG|678BPWR|9RCR|aDUR
3	23322 63452	7	 * 	282.67	DCR|4VULN|3DUR|2TLV|1ASPD	18ERES|2456VULN|368DUR|68BPWR|78TLV|9RCR|aASPD
4	23322 56431	8	   	282.57	DCR|5VULN|2DUR|1CDMG|1ASPD	17ERES|24567VULN|37DUR|7BPWR|8CDMG|9RCR|aASPD
5	23322 44252	5	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	17ERES|2457VULN|367DUR|7BPWR|8TLV|9RCR|aASPD
6	23322 63152	8	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1ERES|2456VULN|368DUR|6BPWR|7TLV|9RCR|aASPD
7	23362 62152	6	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1ERES|2568VULN|346DUR|6BPWR|7TLV|9RCR|aASPD
8	23322 56325	10	 * 	277.98	DCR|5VULN|2DUR|1DMG	17ERES|24567VULN|37DUR|7BPWR|8MLV|9DMG|aRCR
9	23322 54633	6	   	277.73	DCR|5VULN|2DUR|1DMG|1SELL	17ERES|24567VULN|37DUR|7BPWR|8SELL|9RCR|aDMG
10	23322 56633	7	   	277.73	DCR|5VULN|2DUR|1DMG|1SELL	17ERES|24567VULN|37DUR|7BPWR|8SELL|9RCR|aDMG
11	23322 63116	6	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1ERES|2456VULN|36DUR|6BPWR|7BBNT|8TLV|9DMG|aRCR
12	23322 63616	7	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1ERES|2456VULN|36DUR|6BPWR|7TLV|8TBNT|9DMG|aRCR
13	23322 63535	9	   	274.16	DCR|5VULN|2DUR|1TLV	1ERES|24569VULN|36DUR|6BPWR|7TLV|8BEXP|aRCR
14	23362 63224	6	 * 	273.68	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	1ERES|256VULN|346DUR|6BPWR|7CDMG|8RCR|9ASPD|aDMG
15	23322 63415	7	   	271.66	DCR|4VULN|3DUR|2TLV	18ERES|2456VULN|368DUR|68BPWR|78TLV|9LHND|aRCR
16	23322 63425	7	   	271.66	DCR|4VULN|3DUR|2TLV	18ERES|2456VULN|368DUR|68BPWR|78TLV|9FEWX|aRCR
17	23322 63434	9	   	271.66	DCR|4VULN|3DUR|2TLV	19ERES|2456VULN|369DUR|69BPWR|79TLV|8BELT|aRCR
18	23322 63451	7	   	271.66	DCR|4VULN|3DUR|2TLV	18ERES|2456VULN|368DUR|68BPWR|78TLV|9RCR|aMLV
19	23122 14743	5	 * 	271.56	DCR|4VULN|3DUR|1DMG	19ERES|2459VULN|3MBVNT|6RCR|789DUR|9BPWR|aDMG
20	23322 63453	7	   	271.56	DCR|4VULN|3DUR|2TLV	18aERES|2456VULN|368DUR|68BPWR|78TLV|9RCR
21	23322 56432	8	   	271.32	DCR|5VULN|2DUR|1CDMG|1SELL	17ERES|24567VULN|37DUR|7BPWR|8CDMG|9RCR|aSELL
22	23322 66261	10	   	271.24	DCR|5VULN|3DUR	17ERES|24567VULN|367DUR|67BPWR|89FEWX|aRCR
23	23322 66333	10	   	271.24	DCR|5VULN|3DUR	179ERES|24567VULN|367DUR|679BPWR|89BEXP|aRCR
