0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14234 31431	10	 * 	293.51	DCR|3VULN|2DMG|2DUR|2TLV|2CDMG	19TLV|29DUR|34CDMG|56DMG|79aVULN|8RCR|9BPWR
2	12511 56331	10	 * 	288.48	DCR|3VULN|2DMG|2ASPD|2TLV|1DUR	19TLV|25ASPD|39aVULN|4DUR|6LIT|7RCR|89DMG|9BPWR
3	23121 62143	5	 * 	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	1aDUR|2LWND|346aVULN|5ASPD|7FEWX|8aDMG|9RCR|aBPWR
4	21217 11351	1	 * 	279.86	DCR|3VULN|3DUR|3ASPD|1DMG	158DUR|258ASPD|3BBNT|4MBVNT|58BPWR|678VULN|9RCR|aDMG
5	23122 62143	4	 * 	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1aDUR|2LWND|346aVULN|5DMG|7FEWX|8aASPD|9RCR|aBPWR
6	21132 16146	8	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV|1AART	1aDUR|2FEWX|36aVULN|4ERES|5AART|7TLV|8aDMG|9RCR|aBPWR
7	25331 11514	7	 * 	278.85	DCR|3VULN|3DUR|3LIT|1DMG|1AART	178DUR|268LIT|368VULN|4AART|5RCVC|68BPWR|9DMG|aRCR
8	25312 62325	1	 * 	278.37	ACR|4VULN|3DUR|2DMG|2ASPD	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9aASPD
9	21121 63143	5	 * 	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	14aDUR|2FEWX|36aVULN|5ASPD|7LHND|8aDMG|9RCR|aBPWR
10	23121 52143	5	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	16aDUR|2LWND|34aVULN|5ASPD|7FEWX|8aDMG|9RCR|aBPWR
11	23141 62143	5	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	14aDUR|2LWND|36aVULN|5ASPD|7FEWX|8aDMG|9RCR|aBPWR
12	24121 62143	5	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	14aDUR|2LEGI|36aVULN|5ASPD|7FEWX|8aDMG|9RCR|aBPWR
13	25312 62321	1	   	276.47	ACR|4VULN|3DUR|2DMG|1ASPD	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9ASPD|aLIT
14	21132 62443	3	   	276.22	DCR|4VULN|2DMG|2DUR	1aDUR|2FEWX|358aVULN|4LWND|6ZMB|7aDMG|9RCR|aBPWR
15	23121 62443	4	   	276.22	DCR|4VULN|2DMG|2DUR	1aDUR|2LWND|348aVULN|5BEXP|6ZMB|7aDMG|9RCR|aBPWR
16	22234 31431	10	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|29MLV|34CDMG|56DMG|79aVULN|8RCR|9BPWR
17	22234 42431	10	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|29MLV|34CDMG|57DMG|69aVULN|8RCR|9BPWR
18	25312 62363	1	   	273.31	ACR|4VULN|3DUR|2DMG|1TLV	158DUR|2RCR|3BBNT|4568VULN|58BPWR|78DMG|9TBNT|aTLV
19	12511 56332	9	   	271.23	DCR|2VULN|2DMG|2ASPD|2TLV|1DUR|1AART	19TLV|25ASPD|39VULN|4DUR|6LIT|7RCR|89DMG|9BPWR|aAART
20	12522 55111	3	 * 	270.87	DCR|2VULN|3DUR|2DMG|2TLV|1ASPD	17TLV|2ASPD|37VULN|4LWND|58DMG|679DUR|7BPWR|aRCR
21	12532 55111	3	   	270.87	DCR|2VULN|3DUR|2DMG|2TLV|1ASPD	17TLV|2ASPD|37VULN|4LHND|58DMG|679DUR|7BPWR|aRCR
22	21322 65241	1	   	270.63	DCR|3VULN|3DUR|2ASPD|1DMG	178DUR|29ASPD|379CGEN|4LWND|5DMG|679VULN|79BPWR|aRCR
23	21332 65241	1	   	270.63	DCR|3VULN|3DUR|2ASPD|1DMG	178DUR|29ASPD|379CGEN|4LHND|5DMG|679VULN|79BPWR|aRCR
24	12511 61432	4	 * 	270.58	DCR|5VULN|1TLV|1DUR|1ASPD	1TLV|2ASPD|3789aVULN|4DUR|5BEXP|6RCR
25	21122 63143	4	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	14aDUR|2FEWX|36aVULN|5DMG|7LHND|8aASPD|9RCR|aBPWR
26	21151 61343	6	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	18aDUR|2FEWX|37aVULN|4DMG|5LWND|6aASPD|9RCR|aBPWR
27	23122 52143	4	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	16aDUR|2LWND|34aVULN|5DMG|7FEWX|8aASPD|9RCR|aBPWR
28	23142 62143	4	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	14aDUR|2LWND|36aVULN|5DMG|7FEWX|8aASPD|9RCR|aBPWR
29	23153 61343	6	   	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	18aDUR|2LWND|37aVULN|4DMG|5BEXP|6aASPD|9RCR|aBPWR
30	24122 62143	4	   	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	14aDUR|2LEGI|36aVULN|5DMG|7FEWX|8aASPD|9RCR|aBPWR
