0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13333 54343	6	 * 	301.02	DCR|5VULN|3DMG|2TLV	147DMG|2LEGI|34679VULN|47BPWR|57TLV|8ERES|aRCR
2	13333 46125	6	   	299.02	DCR|4VULN|3DMG|2TLV|1DUR	148DMG|2LEGI|348aVULN|48BPWR|58TLV|6BELT|7RCR|9DUR
3	13333 56513	7	 * 	292.56	DCR|3VULN|3DMG|2TLV|2DUR	148DMG|2LEGI|346VULN|48BPWR|58TLV|78DUR|9BEXP|aRCR
4	13333 56523	7	   	292.56	DCR|3VULN|3DMG|2TLV|2DUR	148DMG|2LEGI|346VULN|48BPWR|58TLV|78DUR|9RCR|aRMIN
5	13333 56533	7	   	292.56	DCR|3VULN|3DMG|2TLV|2DUR	148DMG|2LEGI|346VULN|48BPWR|58TLV|78DUR|9LWND|aRCR
6	23126 22131	1	 * 	292.55	DCR|4VULN|3DMG|3DUR	1279VULN|3CGEN|479DUR|579DMG|6DLOT|79BPWR|8TBNT|aRCR
7	25626 22131	1	   	292.55	DCR|4VULN|3DMG|3DUR	1379VULN|2CGEN|479DUR|579DMG|6DLOT|79BPWR|8TBNT|aRCR
8	13333 56521	7	   	292.46	DCR|3VULN|3DMG|2TLV|2DUR	148DMG|2LEGI|346VULN|48BPWR|58TLV|78DUR|9RCR|aERES
9	21231 44331	1	   	292.45	DCR|4VULN|3DMG|3DUR	169aVULN|279DMG|3BBNT|459DUR|8RCR|9BPWR
10	23234 44331	4	   	292.45	DCR|4VULN|3DMG|3DUR	169aVULN|239DUR|479DMG|5BBNT|8RCR|9BPWR
11	23623 14331	1	   	292.45	DCR|4VULN|3DMG|3DUR	129aVULN|349DUR|579DMG|6BBNT|8RCR|9BPWR
12	13333 54225	6	   	291.08	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8LHND|9RCR|aLIT
13	13333 54422	6	   	290.98	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8BBNT|9RCR|aLIT
14	26336 31522	1	   	290.45	DCR|4VULN|3DUR|2DMG|1CDMG	178aVULN|2CDMG|3BBNT|458DUR|68DMG|8BPWR|9RCR
15	12333 43226	1	 * 	286.56	DCR|2VULN|3DMG|3DUR|1TLV|1CDMG	157DMG|27aDUR|3CDMG|45VULN|57BPWR|67DUST|8RCR|9TLV
16	21231 44335	1	   	285.05	DCR|3VULN|3DMG|3DUR|1CDMG	169VULN|279DMG|3BBNT|459DUR|8RCR|9BPWR|aCDMG
17	23623 14335	1	   	285.05	DCR|3VULN|3DMG|3DUR|1CDMG	129VULN|349DUR|579DMG|6BBNT|8RCR|9BPWR|aCDMG
18	13333 12432	8	   	284.48	DCR|2VULN|3DMG|2TLV|2DUR	14aDMG|2LEGI|34VULN|4aBPWR|5aTLV|6LIT|7ASPD|8RCR|9aDUR
19	13333 54223	6	   	282.77	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8LHND|9RCR|aRMIN
20	13333 54224	6	   	282.77	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8LHND|9RCR|aFEWX
21	13333 54213	6	   	282.77	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8LHND|9BEXP|aRCR
22	13333 54233	6	   	282.77	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8LHND|9LWND|aRCR
23	13333 54221	6	   	282.67	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8LHND|9RCR|aERES
24	13333 54226	6	   	282.67	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8LHND|9RCR|aDUST
25	13333 54253	6	   	282.67	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8LHND|9DUST|aRCR
26	13333 54421	6	   	282.67	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8BBNT|9RCR|aRCVC
27	13333 54423	6	   	282.57	DCR|4VULN|3DMG|2TLV	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8BBNT|9RCR|aERES
28	13333 54335	6	   	282.43	DCR|4VULN|3DMG|2TLV|1SELL	147DMG|2LEGI|3467VULN|47BPWR|57TLV|8ERES|9SELL|aRCR
29	23132 36442	2	   	280.64	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	1579VULN|2DUR|39TLV|49LIT|6BELT|8RCR|9BPWR|aDMG
30	12412 53226	6	   	279.75	DCR|2VULN|3DMG|2DUR|1TLV|2CDMG	127DMG|37CDMG|4aDUR|5FEWX|67VULN|7BPWR|8RCR|9TLV
31	12412 63226	4	   	279.75	DCR|2VULN|3DMG|2DUR|1TLV|2CDMG	127DMG|37CDMG|4aDUR|5BEXP|67VULN|7BPWR|8RCR|9TLV
