0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26625 11333	10	 * 	308.99	DCR|5VULN|3DUR|2DMG	169DUR|2BEXP|39DMG|4589aVULN|7RCR|9BPWR
2	32313 53215	7	 * 	305.20	DCR|4VULN|3DMG|3DUR	1RPLT|2LEGI|379aVULN|4BEXP|579DUR|679DMG|79BPWR|8RCR
3	26625 11333	9	   	300.45	DCR|4VULN|3DUR|2DMG|1ASPD	169DUR|2BEXP|39DMG|4589VULN|7RCR|9BPWR|aASPD
4	26625 11331	9	   	299.11	DCR|4VULN|3DUR|2DMG	169DUR|2BEXP|39DMG|4589VULN|7RCR|9BPWR|aAART
5	22154 11311	6	 * 	297.54	DCR|5VULN|3DUR|3CDMG	138DUR|23589VULN|389BPWR|489CDMG|6RMIN|7RCVC|aRCR
6	22152 22343	10	 * 	293.01	DCR|3VULN|3DUR|2DMG|3CDMG	13aDUR|235VULN|35aBPWR|457CDMG|6aLWND|8aDMG|9RCR
7	22152 46233	10	 * 	292.98	DCR|4VULN|3DUR|2ASPD|2CDMG	13aDUR|235aVULN|35aBPWR|45CDMG|6DUST|7LEGI|8RCR|9aASPD
8	22144 31263	8	   	291.93	DCR|4VULN|3DUR|2TLV|1DMG	138DUR|239aVULN|3aBPWR|4DMG|5aCGEN|6aTLV|7RCR
9	22152 65233	6	   	291.48	DCR|3VULN|3DUR|3CDMG|1DMG|1TLV	136DUR|235VULN|35BPWR|458CDMG|7TLV|9DMG|aRCR
10	22153 23661	4	   	291.26	DCR|4VULN|3DUR|1TLV|1CDMG	137DUR|2369VULN|3BPWR|4CDMG|5AART|8RCR|aTLV
11	22153 23661	5	   	291.26	DCR|4VULN|3DUR|1TLV|1CDMG	137DUR|2369VULN|3BPWR|4CDMG|5AART|8RCR|aTLV
12	22153 24232	5	   	290.15	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|2367VULN|3BPWR|4CDMG|5AART|8LIT|9RCR|aDMG
13	22153 24232	4	   	290.15	DCR|4VULN|2DUR|1DMG|1CDMG	13DUR|2367VULN|3BPWR|4CDMG|5AART|8LIT|9RCR|aDMG
14	22143 31333	10	   	289.55	DCR|4VULN|3DUR|2DMG	139DUR|238aVULN|39BPWR|49DMG|5RCVC|69BEXP|7RCR
15	26625 11331	10	   	289.45	DCR|4VULN|3DUR|2DMG	169DUR|2BEXP|39DMG|4589VULN|7RCR|9BPWR|aZMB
16	26625 11332	10	   	289.45	DCR|4VULN|3DUR|2DMG	169DUR|2BEXP|39DMG|4589VULN|7RCR|9BPWR|aMLV
17	26625 11332	9	   	289.45	DCR|4VULN|3DUR|2DMG	169DUR|2BEXP|39DMG|4589VULN|7RCR|9BPWR|aFEWX
18	26625 11133	10	   	289.45	DCR|4VULN|3DUR|2DMG	169DUR|28BEXP|39DMG|459aVULN|7RCR|9BPWR
19	26543 11333	10	   	289.45	DCR|4VULN|3DUR|2DMG	169DUR|23BEXP|49DMG|589aVULN|7RCR|9BPWR
20	26623 11333	10	   	289.45	DCR|4VULN|3DUR|2DMG	169DUR|25BEXP|39DMG|489aVULN|7RCR|9BPWR
21	26653 11333	10	   	289.45	DCR|4VULN|3DUR|2DMG	169DUR|24BEXP|39DMG|589aVULN|7RCR|9BPWR
22	22152 11313	5	   	288.01	DCR|4VULN|3DUR|2CDMG|1TLV	138DUR|2357VULN|35BPWR|45CDMG|6RCVC|9TLV|aRCR
23	22152 12653	5	   	288.01	DCR|4VULN|3DUR|2CDMG|1TLV	139DUR|2358VULN|35BPWR|45CDMG|6RCVC|7TLV|aRCR
24	22152 21313	5	   	288.01	DCR|4VULN|3DUR|2CDMG|1TLV	138DUR|2357VULN|35BPWR|45CDMG|6DMSP|9TLV|aRCR
25	22152 22653	5	   	288.01	DCR|4VULN|3DUR|2CDMG|1TLV	139DUR|2358VULN|35BPWR|45CDMG|6DMSP|7TLV|aRCR
26	22156 11313	4	   	288.01	DCR|4VULN|3DUR|2CDMG|1TLV	138DUR|2357VULN|35BPWR|45CDMG|6RCVC|9TLV|aRCR
27	22156 21313	4	   	288.01	DCR|4VULN|3DUR|2CDMG|1TLV	138DUR|2357VULN|35BPWR|45CDMG|6DMSP|9TLV|aRCR
28	22153 23642	4	   	286.01	DCR|4VULN|3DUR|1CDMG|1ASPD	137DUR|236aVULN|3BPWR|4CDMG|5AART|8RCR|9ASPD
