0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65312 26312	8	 * 	285.29	DCR|3VULN|3DMG|2DUR|1TLV	127DMG|28BPWR|368VULN|48DUR|5MBVNT|9TLV|aRCR
2	62362 22163	1	 * 	284.43	DCR|4VULN|2DMG|2DUR	1aDMG|289aVULN|3LWND|4LIT|5TBNT|6aDUR|7RCR|aBPWR
3	65316 11112	9	   	282.89	DCR|3VULN|3DMG|2DUR|1CDMG	12aDMG|2aBPWR|38aVULN|49DUR|5CDMG|6aMLV|7RCR
4	63324 72734	6	   	278.80	DCR|3VULN|3DMG|2DUR|1AART	189DMG|2MBVNT|3CGEN|48DUR|5AART|6RCR|78aVULN|8BPWR
5	63322 13748	5	   	278.80	DCR|3VULN|3DMG|2DUR|1AART	168DMG|2MBVNT|3CGEN|48DUR|589VULN|7AART|8BPWR|aRCR
6	22252 25126	2	 * 	278.08	DCR|5VULN|2DUR|2CDMG	18LWND|26DUR|35689VULN|4BBNT|68BPWR|78CDMG|aRCR
7	22252 25126	3	   	278.08	DCR|5VULN|2DUR|2CDMG	18LWND|26DUR|35689VULN|4BBNT|68BPWR|78CDMG|aRCR
8	63218 33524	2	 * 	274.91	DCR|4VULN|2DMG|2CDMG|1AART	18DMG|2MBVNT|3RMIN|4AART|578aVULN|68CDMG|8BPWR|9RCR
9	63251 33524	2	   	274.91	DCR|4VULN|2DMG|2CDMG|1AART	18DMG|2MBVNT|3RMIN|478aVULN|5AART|68CDMG|8BPWR|9RCR
10	62253 33312	1	 * 	272.61	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	17DMG|267VULN|3CGEN|4CDMG|57TLV|7BPWR|8DUR|9FEWX|aRCR
11	62253 33352	1	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	17DMG|267VULN|3CGEN|4CDMG|57TLV|7BPWR|8DUR|9DUST|aRCR
12	21452 21132	1	 * 	271.66	DCR|4VULN|3DUR|1DMG	1LWND|2568VULN|369DUR|4BBNT|6BPWR|7DMG|aRCR
13	22252 21132	2	   	271.66	DCR|4VULN|3DUR|1DMG	1LWND|269DUR|3568VULN|4BBNT|6BPWR|7DMG|aRCR
14	22252 21132	3	   	271.66	DCR|4VULN|3DUR|1DMG	1LWND|269DUR|3568VULN|4BBNT|6BPWR|7DMG|aRCR
15	41452 21132	1	   	271.66	DCR|4VULN|3DUR|1DMG	1BEXP|2568VULN|369DUR|4BBNT|6BPWR|7DMG|aRCR
16	63623 41283	8	   	271.00	DCR|4VULN|2DMG|1TLV|1AART	18DMG|2MBVNT|3689VULN|468ERES|5AART|68BPWR|7RCR|aTLV
