0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24632 24112	9	 * 	292.39	DCR|4VULN|3DUR|3ASPD|1AART	18aASPD|2RPLT|348aVULN|58aDUR|6RCR|7RCVC|8aBPWR|9AART
2	24632 22111	8	   	286.66	DCR|4VULN|3DUR|2ASPD|1CDMG	18ASPD|2RPLT|348aVULN|578DUR|6RCR|8BPWR|9CDMG
3	23252 13324	6	   	282.73	DCR|4VULN|3DUR|3ASPD	179ASPD|2FEWX|379DUR|4679VULN|5RMIN|79BPWR|8RCVC|aRCR
4	24632 22116	10	   	282.73	DCR|4VULN|3DUR|3ASPD	18aASPD|2RPLT|348aVULN|578DUR|6RCR|8aBPWR|9aFEWX
5	24632 22136	10	   	282.73	DCR|4VULN|3DUR|3ASPD	18aASPD|2RPLT|348aVULN|578DUR|6RCR|8aBPWR|9aLWND
6	26252 13324	6	   	282.73	DCR|4VULN|3DUR|3ASPD	179ASPD|2LWND|379DUR|4679VULN|5RMIN|79BPWR|8RCVC|aRCR
7	26633 13326	6	   	282.63	DCR|4VULN|3DUR|3ASPD|1NUKE	179ASPD|2LWND|3NUKE|479DUR|5679VULN|79BPWR|8RCVC|aRCR
8	24632 23111	8	   	282.63	DCR|4VULN|3DUR|3ASPD	178ASPD|2RPLT|3489VULN|589DUR|6RCR|89BPWR|aBEXP
9	24632 23113	8	   	282.63	DCR|4VULN|3DUR|3ASPD	178ASPD|2RPLT|3489VULN|589DUR|6RCR|89BPWR|aBELT
10	24632 23114	8	   	282.63	DCR|4VULN|3DUR|3ASPD	178ASPD|2RPLT|3489VULN|589DUR|6RCR|89BPWR|aDMSP
11	24632 23116	8	   	282.63	DCR|4VULN|3DUR|3ASPD	178ASPD|2RPLT|3489VULN|589DUR|6RCR|89BPWR|aRMIN
12	24632 23115	8	   	282.53	DCR|4VULN|3DUR|3ASPD	178ASPD|2RPLT|3489VULN|589DUR|6RCR|89BPWR|aDLOT
13	24632 23112	8	   	282.39	DCR|4VULN|3DUR|3ASPD|1SELL	178ASPD|2RPLT|3489VULN|589DUR|6RCR|89BPWR|aSELL
14	11666 13122	8	 * 	281.11	DCR|4VULN|3DMG|3TLV	124ZMB|28aBPWR|368aVULN|58aDMG|78aTLV|9RCR
15	26252 13513	6	 * 	279.33	DCR|5VULN|2DUR|2ASPD	17ASPD|2LWND|37DUR|4679aVULN|5RMIN|7BPWR|8RCR
16	26633 13513	6	   	279.23	DCR|5VULN|2DUR|2ASPD|1NUKE	17ASPD|2LWND|3NUKE|47DUR|5679aVULN|7BPWR|8RCR
17	26223 11262	9	 * 	277.36	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	1aASPD|2LWND|39aDUR|4TLV|56VULN|7RCR|8aDMG|aBPWR
18	26223 11262	8	   	277.36	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	1aASPD|2LWND|39aDUR|4TLV|56VULN|7RCR|8aDMG|aBPWR
19	26223 11662	7	   	277.36	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	1aASPD|2LWND|39aDUR|4TLV|56VULN|7RCR|8aDMG|aBPWR
20	21124 43212	2	 * 	276.12	DCR|4VULN|2DMG|3ASPD	127ASPD|27BPWR|37DMG|4ZMB|5CGEN|6789VULN|aRCR
21	25124 43212	1	   	276.12	DCR|4VULN|2DMG|3ASPD	127ASPD|27BPWR|37DMG|4ZMB|5CGEN|6789VULN|aRCR
22	24632 21226	9	 * 	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	19ASPD|2RPLT|349VULN|5aDUR|6RCR|7CGEN|89DMG|9BPWR
23	32312 54512	2	 * 	274.69	DCR|5VULN|2DMG|1AART	14aLHND|2RPLT|3468aVULN|4aBPWR|5AART|7RCR|9aDMG
24	32322 54512	2	   	274.59	DCR|5VULN|2DMG|1AART	1aLHND|2RPLT|3468aVULN|5AART|7RCR|9aDMG|aBPWR
25	24662 22223	10	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	19ASPD|2RPLT|359VULN|4TLV|6LHND|7RCR|89DMG|9BPWR|aCDMG
26	24632 22141	10	   	273.68	DCR|3VULN|3DUR|2ASPD|1CDMG|1AART	18ASPD|2RPLT|348VULN|578DUR|6RCR|8BPWR|9AART|aCDMG
27	26223 11232	9	 * 	273.66	DCR|2VULN|2DMG|3ASPD|2DUR|1TLV	19aASPD|2LWND|3aDUR|4TLV|56VULN|7RCR|8aDMG|aBPWR
28	26223 11322	9	   	273.66	DCR|2VULN|2DMG|3ASPD|2DUR|1TLV	18aASPD|2LWND|3aDUR|4TLV|56VULN|7RCR|9aDMG|aBPWR
29	24632 22115	9	   	273.01	DCR|4VULN|3DUR|2ASPD	18ASPD|2RPLT|348aVULN|578DUR|6RCR|8BPWR|9FEWX
30	24632 22135	9	   	273.01	DCR|4VULN|3DUR|2ASPD	18ASPD|2RPLT|348aVULN|578DUR|6RCR|8BPWR|9LWND
31	24632 23325	6	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1ASPD|2RPLT|347aVULN|5DUR|6RCR|89DMG
32	21125 34226	8	 * 	270.53	DCR|2VULN|3DUR|2DMG|3ASPD	129ASPD|29BPWR|369DUR|4DUST|57VULN|89DMG|aRCR
33	21125 34326	7	   	270.53	DCR|2VULN|3DUR|2DMG|3ASPD	129ASPD|29BPWR|369DUR|4DUST|57VULN|89DMG|aRCR
34	21125 36326	6	   	270.53	DCR|2VULN|3DUR|2DMG|3ASPD	129ASPD|29BPWR|369DUR|4DUST|57VULN|89DMG|aRCR
35	21122 56326	5	   	270.53	DCR|2VULN|3DUR|2DMG|3ASPD	129ASPD|29BPWR|359DUR|4DUST|67VULN|89DMG|aRCR
