0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42422 22113	4	 * 	309.41	DCR|5VULN|2DMG|2DUR|1CDMG	1367aVULN|23DUR|36BPWR|4LHND|56DMG|8CDMG|9RCR
2	42442 22313	4	   	298.18	DCR|4VULN|2DMG|2DUR|1CDMG	1369VULN|23DUR|36BPWR|4FEWX|56DMG|7LIT|8CDMG|aRCR
3	42432 22313	3	   	298.08	DCR|4VULN|2DMG|2DUR|1CDMG	1369VULN|23DUR|36BPWR|4DUST|56DMG|7LIT|8CDMG|aRCR
4	42422 22125	4	   	296.19	DCR|4VULN|2DMG|2DUR|2CDMG	1367VULN|23DUR|36BPWR|4LHND|56DMG|89CDMG|aRCR
5	42422 24213	4	   	296.19	DCR|4VULN|2DMG|2DUR|2CDMG	136aVULN|23DUR|36BPWR|4LHND|56DMG|78CDMG|9RCR
6	42432 24213	3	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	136aVULN|23DUR|36BPWR|4DUST|56DMG|78CDMG|9RCR
7	42221 32261	7	 * 	294.08	DCR|3VULN|2DMG|3ASPD|2DUR	179VULN|27DUR|379ASPD|4RMIN|5AART|6LEGI|79BPWR|89DMG|aRCR
8	42221 32661	8	   	294.08	DCR|3VULN|2DMG|3ASPD|2DUR	179VULN|27DUR|379ASPD|4RMIN|5AART|6LEGI|79BPWR|89DMG|aRCR
9	42442 22113	3	   	291.83	DCR|5VULN|2DUR|1DMG|1CDMG	1367aVULN|23DUR|36BPWR|4DMG|56LWND|8CDMG|9RCR
10	42422 42113	4	   	291.73	DCR|5VULN|2DUR|1DMG|1CDMG	1367aVULN|23DUR|3BPWR|4LHND|5DMG|8CDMG|9RCR
11	44321 22113	1	   	291.73	DCR|5VULN|2DUR|1DMG|1CDMG	1267aVULN|3DMG|4LHND|56DUR|6BPWR|8CDMG|9RCR
12	42622 22113	4	   	291.44	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	167aVULN|2DUR|3TLV|4RMIN|56DMG|6BPWR|8CDMG|9RCR
13	42632 22113	2	   	291.34	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG|1NUKE	167aVULN|2DUR|3NUKE|4TLV|56DMG|6BPWR|8CDMG|9RCR
14	42652 22113	3	   	291.34	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG|1NUKE	167aVULN|2DUR|3TLV|4NUKE|56DMG|6BPWR|8CDMG|9RCR
15	42422 21113	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	136aVULN|23DUR|36BPWR|4LHND|56DMG|7RCVC|8CDMG|9RCR
16	42422 22111	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	1367VULN|23DUR|36BPWR|4LHND|56DMG|8CDMG|9RCR|aRPLT
17	42422 22112	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	1367VULN|23DUR|36BPWR|4LHND|56DMG|8CDMG|9RCR|aCGEN
18	42422 22115	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	1367VULN|23DUR|36BPWR|4LHND|56DMG|8CDMG|9RCR|aLWND
19	42432 24313	3	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	136aVULN|23DUR|36BPWR|4DUST|56DMG|7CDMG|8RCVC|9RCR
20	44321 22135	1	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1267VULN|39DMG|4LHND|56DUR|6BPWR|8CDMG|aRCR
21	41642 21113	3	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	146aVULN|2DUST|37DUR|56DMG|6BPWR|8CDMG|9RCR
22	42542 21113	3	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	146aVULN|27DUR|3DUST|56DMG|6BPWR|8CDMG|9RCR
23	44311 22113	1	   	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	127aVULN|36DMG|4LEGI|56DUR|6BPWR|8CDMG|9RCR
24	42422 22114	4	   	289.63	DCR|4VULN|2DMG|2DUR|1CDMG|1SELL	1367VULN|23DUR|36BPWR|4LHND|56DMG|8CDMG|9RCR|aSELL
25	42232 42113	3	   	284.76	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	167aVULN|2DUR|3ASPD|4TLV|5DMG|8CDMG|9RCR
26	42234 12113	3	   	284.76	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	157aVULN|2DUR|3ASPD|4TLV|6DMG|8CDMG|9RCR
27	42242 42113	4	   	284.76	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	167aVULN|2DUR|3ASPD|4TLV|5DMG|8CDMG|9RCR
28	42244 12113	4	   	284.76	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	157aVULN|2DUR|3ASPD|4TLV|6DMG|8CDMG|9RCR
29	42216 13213	5	   	284.55	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	17aVULN|27DUR|3ASPD|48CDMG|5RMIN|67DMG|7BPWR|9RCR
30	42422 25313	4	   	284.53	DCR|4VULN|2DMG|2DUR	1369VULN|23DUR|36BPWR|4LHND|56DMG|7RPLT|8RCR|aLIT
31	42432 25313	3	   	284.43	DCR|4VULN|2DMG|2DUR	1369VULN|23DUR|36BPWR|4DUST|56DMG|7RPLT|8RCR|aLIT
32	41642 22313	3	   	283.40	DCR|4VULN|2DMG|1DUR|1CDMG	1469VULN|2DUST|3DUR|56DMG|6BPWR|7LIT|8CDMG|aRCR
33	42542 22313	3	   	283.40	DCR|4VULN|2DMG|1DUR|1CDMG	1469VULN|2DUR|3DUST|56DMG|6BPWR|7LIT|8CDMG|aRCR
