0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36336 33132	9	 * 	291.30	DCR|5VULN|3DUR|3TLV	14589VULN|2DMSP|3ERES|689TLV|789DUR|89BPWR|aRCR
2	52433 12316	1	 * 	290.57	DCR|4VULN|3DMG|2CDMG|1AART	17CDMG|2AART|3678VULN|467DMG|5TBNT|67BPWR|9DUST|aRCR
3	62433 12316	1	   	290.57	DCR|4VULN|3DMG|2CDMG|1AART	1AART|27CDMG|3678VULN|467DMG|5TBNT|67BPWR|9DUST|aRCR
4	31161 63215	2	 * 	289.85	DCR|3VULN|2DMG|2DUR|2ASPD|2LIT	18aVULN|2RMIN|38ASPD|4aDMG|5ZMB|6RCR|78LIT|8aBPWR|9aDUR
5	36626 11313	1	 * 	284.62	DCR|4VULN|3ASPD|1TLV|1DUR|1CDMG	1245VULN|345ASPD|45BPWR|6FEWX|7CDMG|8RCR|9DUR|aTLV
6	36621 22353	1	 * 	284.60	DCR|5VULN|2ASPD|1DMG|1TLV	12469VULN|34ASPD|4BPWR|5TBNT|7TLV|8RCR|aDMG
7	36623 32353	1	   	284.60	DCR|5VULN|2ASPD|1DMG|1TLV	12459VULN|34ASPD|4BPWR|6BBNT|7TLV|8RCR|aDMG
8	36232 31321	1	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	129VULN|3CDMG|49CGEN|58DUR|6TLV|79DMG|9BPWR|aRCR
9	33136 13255	4	   	280.71	DCR|3VULN|3DMG|1DUR|2LIT|1ASPD	18aVULN|2ASPD|38aLWND|4DUR|57LIT|68aDMG|8aBPWR|9RCR
10	33136 13255	5	   	280.71	DCR|3VULN|3DMG|1DUR|2LIT|1ASPD	18aVULN|2ASPD|38aLWND|4DUR|57LIT|68aDMG|8aBPWR|9RCR
11	33136 23255	6	   	280.71	DCR|3VULN|3DMG|1DUR|2LIT|1ASPD	18aVULN|2ASPD|38aLWND|4DUR|57LIT|68aDMG|8aBPWR|9RCR
12	33251 13313	9	 * 	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	157aVULN|2aASPD|3RPLT|4FEWX|6DMG|8RCR|9aDUR|aBPWR
13	33251 13353	8	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	157aVULN|2aASPD|3RPLT|4FEWX|6DMG|8RCR|9aDUR|aBPWR
14	33253 13313	9	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	167aVULN|2aASPD|3RPLT|4FEWX|5DMG|8RCR|9aDUR|aBPWR
15	33253 13353	8	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	167aVULN|2aASPD|3RPLT|4FEWX|5DMG|8RCR|9aDUR|aBPWR
16	31623 31322	9	 * 	277.80	DCR|4VULN|3DUR|3CDMG	179aVULN|2RMIN|357DUR|457CDMG|57BPWR|6LEGI|8RCR
17	36353 32125	9	 * 	276.37	DCR|3VULN|3DUR|2DMG|1AART	19aVULN|2DMSP|3ERES|4aDMG|56aDUR|7RCR|8AART|aBPWR
18	51314 23242	9	 * 	275.52	DCR|2VULN|3DMG|3DUR|2CDMG	1aCDMG|2RCVC|35aDMG|489DUR|6aVULN|7RCR|aBPWR
19	31623 31323	9	 * 	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	179VULN|2RMIN|357DUR|457CDMG|57BPWR|6LEGI|8RCR|aDMG
20	36262 31321	1	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	129VULN|39CDMG|48RMIN|5DUR|6TLV|79DMG|9BPWR|aRCR
21	36623 11421	1	   	275.00	DCR|4VULN|2ASPD|1TLV|1DUR|1CDMG	1245VULN|34ASPD|4BPWR|6DUR|7MLV|8CDMG|9TLV|aRCR
22	31134 51352	7	   	275.00	DCR|3VULN|2DMG|2DUR|2ASPD	17aVULN|2RMIN|37LWND|4aDUR|5BEXP|67DMG|7aBPWR|8RCR|9aASPD
23	33153 25633	8	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	17aVULN|2aASPD|35LWND|46DMG|8RCR|9aDUR|aBPWR
24	33253 53313	9	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	17aVULN|2aASPD|3RPLT|4FEWX|56DMG|8RCR|9aDUR|aBPWR
25	33253 53353	8	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	17aVULN|2aASPD|3RPLT|4FEWX|56DMG|8RCR|9aDUR|aBPWR
26	36626 31321	1	 * 	274.69	DCR|4VULN|3ASPD|2CDMG|1TLV	1245VULN|345ASPD|45BPWR|6aCDMG|7LWND|8RCR|9TLV
27	32262 23133	6	 * 	274.66	DCR|4VULN|2DMG|2ASPD|1SELL	148aVULN|2SELL|3LIT|5BELT|6RCR|7aASPD|9aDMG|aBPWR
28	52433 12622	1	 * 	273.97	DCR|3VULN|3DMG|3CDMG|1AART	17aCDMG|2AART|367VULN|467DMG|5TBNT|67BPWR|8RCR|9BBNT
29	62433 12622	1	   	273.97	DCR|3VULN|3DMG|3CDMG|1AART	1AART|27aCDMG|367VULN|467DMG|5TBNT|67BPWR|8RCR|9BBNT
30	33141 21526	9	 * 	273.74	DCR|3VULN|3DUR|3ASPD|1CDMG	178VULN|278ASPD|34LWND|5CDMG|678DUR|78BPWR|9FEWX|aRCR
31	33141 21526	8	   	273.74	DCR|3VULN|3DUR|3ASPD|1CDMG	178VULN|278ASPD|34LWND|5CDMG|678DUR|78BPWR|9BEXP|aRCR
32	33141 21561	10	   	273.74	DCR|3VULN|3DUR|3ASPD|1CDMG	178VULN|278ASPD|349LWND|5CDMG|678DUR|78BPWR|aRCR
33	33135 51532	10	 * 	272.87	DCR|3VULN|3ASPD|2DUR|3CDMG	178VULN|278ASPD|3LWND|45DUR|678CDMG|78BPWR|9FEWX|aRCR
34	33153 25633	9	   	272.05	DCR|4VULN|3DMG|1ASPD	179aVULN|2ASPD|35aLWND|46aDMG|8RCR|aBPWR
35	35231 13266	1	 * 	271.76	DCR|4VULN|3DUR|3LIT	148aVULN|2MBVNT|35LWND|68aDUR|78aLIT|8aBPWR|9RCR
36	35433 43266	1	   	271.76	DCR|4VULN|3DUR|3LIT	148aVULN|2MBVNT|36FEWX|58aDUR|78aLIT|8aBPWR|9RCR
37	36626 11332	1	 * 	271.66	DCR|5VULN|3ASPD|1CDMG	1245aVULN|345ASPD|45BPWR|69FEWX|7CDMG|8RCR
38	36626 31312	1	   	271.66	DCR|5VULN|3ASPD|1CDMG	1245aVULN|345ASPD|45BPWR|6CDMG|7LWND|8RCR|9RCVC
39	36626 31332	1	   	271.66	DCR|5VULN|3ASPD|1CDMG	1245aVULN|345ASPD|45BPWR|6CDMG|79LWND|8RCR
40	36336 33332	10	   	271.66	DCR|4VULN|3DUR|2TLV	1459VULN|2DMSP|3ERES|69TLV|789DUR|9BPWR|aRCR
41	36341 33351	1	   	271.44	DCR|5VULN|3DUR	12789VULN|358LWND|489DUR|6BELT|89BPWR|aRCR
42	31623 31325	10	   	271.41	DCR|3VULN|3DUR|3CDMG|1TLV	179VULN|2RMIN|357DUR|457CDMG|57BPWR|6LEGI|8RCR|aTLV
43	31635 11431	7	   	271.30	DCR|4VULN|2DMG|1DUR|1AART	159aVULN|2RMIN|3DUR|4AART|6RCR|7aCGEN|8aDMG|aBPWR
44	31635 12431	6	   	271.30	DCR|4VULN|2DMG|1DUR|1AART	159aVULN|2RMIN|3DUR|4AART|6RCR|7aCGEN|8aDMG|aBPWR
45	31635 13431	7	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	159aVULN|2RMIN|3DUR|4AART|6RCR|7aERES|8aDMG|aBPWR
46	41835 24434	5	   	270.51	DCR|4VULN|3DMG|1AART	1MLV|2MBVNT|3679VULN|4AART|568DMG|6BPWR|aRCR
47	41838 24434	4	   	270.51	DCR|4VULN|3DMG|1AART	1MLV|2MBVNT|3679VULN|4AART|568DMG|6BPWR|aRCR
48	51323 12652	1	   	270.01	DCR|3VULN|3ASPD|2CDMG|1TLV|1AART	17CDMG|2TBNT|367VULN|4AART|567ASPD|67BPWR|8RCR|9LIT|aTLV
49	33151 21626	5	   	269.91	DCR|4VULN|1DMG|1TLV|2LIT|1ASPD	167aVULN|2ASPD|3aLWND|4DMG|5TLV|8RCR|9aLIT|aBPWR
50	33131 15233	9	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	1678VULN|2ASPD|3LWND|46DUR|5RPLT|6BPWR|9RCR|aDMG
51	33131 15232	9	   	269.02	DCR|5VULN|2DUR|1ASPD	1678aVULN|2ASPD|3LWND|46DUR|5RPLT|6BPWR|9RCR
52	32422 53326	2	 * 	268.99	DCR|3VULN|3DMG|2DUR|1SELL	168VULN|2SELL|3BELT|48DUR|578DMG|8BPWR|9RMIN|aRCR
53	33422 53326	1	 * 	268.99	DCR|3VULN|3DMG|2DUR|1SELL	168VULN|2SELL|3BELT|48DUR|578DMG|8BPWR|9RMIN|aRCR
54	36232 31121	1	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	129VULN|3CDMG|489CGEN|5DUR|6TLV|79DMG|9BPWR|aRCR
55	32422 53336	2	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	168VULN|2SELL|3BELT|48DUR|578DMG|8BPWR|9ERES|aRCR
56	33422 53336	1	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	168VULN|2SELL|3BELT|48DUR|578DMG|8BPWR|9ERES|aRCR
57	36626 11311	1	   	268.37	DCR|4VULN|3ASPD|1DUR|1CDMG	1245VULN|345ASPD|45BPWR|6FEWX|7CDMG|8RCR|9DUR|aBEXP
58	36626 11312	1	   	268.37	DCR|4VULN|3ASPD|1DUR|1CDMG	1245VULN|345ASPD|45BPWR|6FEWX|7CDMG|8RCR|9DUR|aMLV
59	36626 31322	1	   	268.37	DCR|4VULN|3ASPD|1TLV|1CDMG	1245VULN|345ASPD|45BPWR|6CDMG|7LWND|8RCR|9TLV|aMLV
60	36626 11323	1	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	1245VULN|345ASPD|45BPWR|6FEWX|7CDMG|8RCR|9LEGI|aTLV
61	36626 31323	1	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	1245VULN|345ASPD|45BPWR|6CDMG|7LWND|8RCR|9TLV|aERES
62	31635 15231	6	   	268.10	DCR|4VULN|2DUR|2CDMG|1AART	158aVULN|2RMIN|3aDUR|4AART|6RCR|7BBNT|9aCDMG|aBPWR
63	51323 12616	1	   	268.10	DCR|4VULN|3ASPD|2CDMG|1AART	17CDMG|2TBNT|367aVULN|4AART|567ASPD|67BPWR|8RCR|9LWND
64	51323 12641	1	   	268.10	DCR|4VULN|3ASPD|2CDMG|1AART	17CDMG|2TBNT|3679VULN|4AART|567ASPD|67BPWR|8RCR|aFEWX
65	51323 12642	1	   	268.10	DCR|4VULN|3ASPD|2CDMG|1AART	17CDMG|2TBNT|3679VULN|4AART|567ASPD|67BPWR|8RCR|aBEXP
66	51323 12643	1	   	268.10	DCR|4VULN|3ASPD|2CDMG|1AART	17CDMG|2TBNT|3679VULN|4AART|567ASPD|67BPWR|8RCR|aZMB
67	32212 21132	1	   	268.05	DCR|4VULN|3DUR|1TLV	1689VULN|2TBNT|3TLV|489CGEN|589DUR|7BBNT|89BPWR|aRCR
68	52433 12611	1	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	17CDMG|2AART|367VULN|467DMG|5TBNT|67BPWR|8RCR|9aLWND
69	52433 12612	1	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	17CDMG|2AART|367VULN|467DMG|5TBNT|67BPWR|8RCR|9LWND|aBEXP
70	52433 12613	1	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	17CDMG|2AART|367VULN|467DMG|5TBNT|67BPWR|8RCR|9LWND|aZMB
71	62433 12611	1	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1AART|27CDMG|367VULN|467DMG|5TBNT|67BPWR|8RCR|9aLWND
72	62433 12612	1	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1AART|27CDMG|367VULN|467DMG|5TBNT|67BPWR|8RCR|9LWND|aBEXP
73	62433 12613	1	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1AART|27CDMG|367VULN|467DMG|5TBNT|67BPWR|8RCR|9LWND|aZMB
74	51323 12316	1	   	268.00	DCR|4VULN|3ASPD|2CDMG|1AART	17CDMG|2TBNT|3678VULN|4AART|567ASPD|67BPWR|9DUST|aRCR
75	52423 12316	1	   	268.00	DCR|4VULN|3ASPD|2CDMG|1AART	17CDMG|2AART|3678VULN|4TBNT|567ASPD|67BPWR|9DUST|aRCR
76	62423 12316	1	   	268.00	DCR|4VULN|3ASPD|2CDMG|1AART	1AART|27CDMG|3678VULN|4TBNT|567ASPD|67BPWR|9DUST|aRCR
77	52433 12631	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	17CDMG|2AART|367VULN|467DMG|5TBNT|67BPWR|8RCR|9DUST|aLWND
78	52433 12632	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	17CDMG|2AART|367VULN|467DMG|5TBNT|67BPWR|8RCR|9DUST|aRPLT
79	52433 12633	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	17CDMG|2AART|367VULN|467DMG|5TBNT|67BPWR|8RCR|9DUST|aCGEN
80	62433 12631	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	1AART|27CDMG|367VULN|467DMG|5TBNT|67BPWR|8RCR|9DUST|aLWND
81	62433 12632	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	1AART|27CDMG|367VULN|467DMG|5TBNT|67BPWR|8RCR|9DUST|aRPLT
82	62433 12633	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	1AART|27CDMG|367VULN|467DMG|5TBNT|67BPWR|8RCR|9DUST|aCGEN
83	52433 12623	1	   	267.83	DCR|3VULN|3DMG|2CDMG|1NUKE|1AART	17CDMG|2AART|367VULN|467DMG|5TBNT|67BPWR|8RCR|9BBNT|aNUKE
84	62433 12623	1	   	267.83	DCR|3VULN|3DMG|2CDMG|1NUKE|1AART	1AART|27CDMG|367VULN|467DMG|5TBNT|67BPWR|8RCR|9BBNT|aNUKE
85	32262 43633	6	 * 	267.68	DCR|3VULN|3DMG|2ASPD|1SELL	14aVULN|2SELL|3LIT|5BELT|6aASPD|79aDMG|8RCR|aBPWR
86	31625 11121	4	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	169VULN|2RMIN|39DUR|4CDMG|58CGEN|79DMG|9BPWR|aRCR
87	32331 33434	1	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	18VULN|2TBNT|3ASPD|48DUR|5CDMG|6BEXP|78aDMG|8BPWR|9RCR
88	33531 33434	2	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	18VULN|2ASPD|3BBNT|48DUR|5CDMG|6BEXP|78aDMG|8BPWR|9RCR
89	33621 33434	4	   	266.88	DCR|2VULN|3DMG|2DUR|1CDMG|1ASPD	18VULN|2ASPD|38DUR|4CDMG|5BBNT|6BEXP|78aDMG|8BPWR|9RCR
90	32331 56152	1	   	266.76	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	169VULN|2TBNT|3ASPD|4aDUR|56CDMG|6BPWR|7RCR|8DMG
91	33253 63313	9	 * 	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	17aVULN|26aASPD|3RPLT|4FEWX|5DMG|8RCR|9aDUR|aBPWR
92	33253 63353	8	   	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	17aVULN|26aASPD|3RPLT|4FEWX|5DMG|8RCR|9aDUR|aBPWR
93	36244 11333	8	   	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	17aVULN|2DMSP|35aASPD|4BEXP|6RCR|8DMG|9aDUR|aBPWR
94	23136 11333	9	 * 	266.70	DCR|4VULN|2DMG|2ASPD	13aBEXP|23ASPD|3aBPWR|4RCVC|579aVULN|6RCR|8aDMG
95	23156 11333	9	   	266.70	DCR|4VULN|2DMG|2ASPD	13aBEXP|23ASPD|3aBPWR|4DMSP|579aVULN|6RCR|8aDMG
96	36433 24211	1	   	266.66	DCR|4VULN|3DUR|2LIT	127aVULN|3MLV|479DUR|5RMIN|67LIT|7BPWR|8RCR
97	23666 11333	9	   	266.60	DCR|4VULN|2DMG|2ASPD	1aBEXP|24ASPD|3DMSP|579aVULN|6RCR|8aDMG|aBPWR
98	33144 11363	9	   	266.60	DCR|4VULN|2DMG|2ASPD	178aVULN|25ASPD|34aLWND|6RCR|9aDMG|aBPWR
99	36244 11333	9	   	266.60	DCR|4VULN|2DMG|2ASPD	179aVULN|2DMSP|35ASPD|4aBEXP|6RCR|8aDMG|aBPWR
100	32262 51413	5	   	266.41	DCR|4VULN|3DUR|2LIT|1SELL	146aVULN|2SELL|3aLIT|5BELT|79aDUR|8RCR|aBPWR
101	31623 31322	10	   	266.17	DCR|3VULN|3DUR|3CDMG|1ASPD	179VULN|2RMIN|357DUR|457CDMG|57BPWR|6LEGI|8RCR|aASPD
102	51312 23242	9	 * 	265.90	DCR|2VULN|3DUR|2DMG|3CDMG	15aCDMG|2RCVC|3aDMG|489DUR|6aVULN|7RCR|aBPWR
103	51312 23562	7	   	265.90	DCR|2VULN|3DUR|2DMG|3CDMG	158CDMG|2RCVC|39DMG|49aDUR|69VULN|7RCR|9BPWR
104	36523 31431	1	   	265.85	DCR|4VULN|2DMG|1ASPD|1AART	129aVULN|3aDUST|4AART|5MLV|6RCR|7ASPD|8aDMG|aBPWR
105	33131 15212	10	   	265.73	DCR|4VULN|2DUR|1TLV|1ASPD	1678VULN|2ASPD|3LWND|46DUR|5RPLT|6BPWR|9TLV|aRCR
106	51323 12661	1	 * 	265.52	DCR|3VULN|3ASPD|1DMG|2CDMG|1AART	17CDMG|2TBNT|367VULN|4AART|567ASPD|67BPWR|8RCR|9RMIN|aDMG
107	31151 33221	10	 * 	265.11	DCR|4VULN|2DMG|2TLV|1SELL	189aVULN|2RMIN|3LWND|4aDMG|5aTLV|6SELL|7RCR|aBPWR
108	32563 13621	10	 * 	264.91	DCR|4VULN|2DMG|2TLV|1SELL	179aVULN|2SELL|3aTLV|4ERES|5DUST|6RCR|8aDMG|aBPWR
109	32563 16221	10	 * 	264.91	DCR|4VULN|2DMG|2TLV|1SELL	189aVULN|2SELL|3aTLV|4ERES|5DUST|6RCR|7aDMG|aBPWR
110	31623 31324	10	   	264.82	DCR|3VULN|3DUR|3CDMG|1AART	179VULN|2RMIN|357DUR|457CDMG|57BPWR|6LEGI|8RCR|aAART
111	36621 22322	1	   	264.54	DCR|5VULN|2ASPD|1TLV	1246aVULN|34ASPD|4BPWR|5TBNT|7TLV|8RCR|9RPLT
112	36621 22351	1	   	264.54	DCR|5VULN|2ASPD|1TLV	12469VULN|34ASPD|4BPWR|5TBNT|7TLV|8RCR|aLHND
113	36623 32322	1	   	264.54	DCR|5VULN|2ASPD|1TLV	1245aVULN|34ASPD|4BPWR|6BBNT|7TLV|8RCR|9RPLT
114	36623 32351	1	   	264.54	DCR|5VULN|2ASPD|1TLV	12459VULN|34ASPD|4BPWR|6BBNT|7TLV|8RCR|aLHND
115	36624 22322	1	   	264.54	DCR|5VULN|2ASPD|1TLV	1246aVULN|34ASPD|4BPWR|5BBNT|7TLV|8RCR|9RPLT
116	33661 23333	3	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	14aVULN|2ASPD|3aDUR|5RPLT|6RCR|7aDMG|8MBVNT|9RCVC|aBPWR
117	33661 23333	2	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	14aVULN|2ASPD|3aDUR|5RPLT|6RCR|7aDMG|8MBVNT|9RCVC|aBPWR
118	33661 23383	3	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	14aVULN|2ASPD|3aDUR|5RPLT|6RCR|7aDMG|8MBVNT|9DMSP|aBPWR
119	33661 23383	2	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	14aVULN|2ASPD|3aDUR|5RPLT|6RCR|7aDMG|8MBVNT|9DMSP|aBPWR
120	33126 13255	3	   	264.46	DCR|3VULN|3DMG|2LIT|1ASPD	18aVULN|2ASPD|38aLWND|4BEXP|57LIT|68aDMG|8aBPWR|9RCR
