0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61221 32345	10	 * 	297.87	DCR|4VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379aVULN|579CDMG|6RCR|79BPWR
2	43343 11216	10	 * 	296.50	DCR|4VULN|2DMG|2ASPD|1DUR|1CDMG	1357VULN|2LWND|47DMG|67ASPD|7BPWR|8DUR|9CDMG|aRCR
3	61611 32343	10	   	292.86	DCR|4VULN|3DUR|3CDMG|2LIT	178DUR|29LIT|3RCVC|479aVULN|579CDMG|6RCR|79BPWR
4	61221 32345	9	   	291.48	DCR|3VULN|3DUR|3CDMG|3LIT|1TLV	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aTLV
5	61221 32244	7	 * 	288.40	DCR|3VULN|2DMG|2DUR|2CDMG|2LIT	17DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|8aDMG
6	61221 32353	9	   	286.62	DCR|4VULN|3DUR|2CDMG|2LIT	178DUR|24LIT|379aVULN|57CDMG|6RCR|7BPWR
7	61221 32353	8	   	286.62	DCR|4VULN|3DUR|2CDMG|2LIT	178DUR|24LIT|379aVULN|57CDMG|6RCR|7BPWR
8	61221 32355	10	   	286.62	DCR|4VULN|3DUR|2CDMG|2LIT	178DUR|24LIT|379aVULN|57CDMG|6RCR|7BPWR
9	61221 32341	10	   	286.23	DCR|3VULN|3DUR|3CDMG|3LIT|1ASPD	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aASPD
10	63322 43125	7	   	284.69	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	18DUR|2LWND|38aVULN|4TLV|59LIT|6RCR|78DMG|8BPWR
11	61221 32351	8	 * 	284.04	DCR|3VULN|3DUR|2CDMG|1DMG|2LIT	178DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|aDMG
12	61221 32351	9	   	284.04	DCR|3VULN|3DUR|2CDMG|1DMG|2LIT	178DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|aDMG
13	61221 32352	10	   	284.04	DCR|3VULN|3DUR|2CDMG|1DMG|2LIT	178DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|aDMG
14	41532 26232	9	 * 	283.25	DCR|4VULN|2DUR|1DMG|2LIT	1348VULN|23LIT|38BPWR|58DUR|68LWND|7RCR|9AART|aDMG
15	42343 11262	8	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1357VULN|2FEWX|47DMG|67ASPD|7BPWR|8DUR|9LWND|aRCR
16	43343 11212	8	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1357VULN|2LWND|47DMG|67ASPD|7BPWR|8DUR|9FEWX|aRCR
17	43343 11232	8	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1357VULN|2LWND|47DMG|67ASPD|7BPWR|8DUR|9LHND|aRCR
18	43343 11352	9	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1357VULN|2LWND|47DMG|67ASPD|7BPWR|8BEXP|9DUR|aRCR
19	43543 11212	8	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1457VULN|2LWND|37DMG|67ASPD|7BPWR|8DUR|9FEWX|aRCR
20	43543 11232	8	   	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1457VULN|2LWND|37DMG|67ASPD|7BPWR|8DUR|9LHND|aRCR
21	41532 26231	9	 * 	282.73	DCR|5VULN|2DUR|2LIT	1348aVULN|23LIT|38BPWR|58DUR|68LWND|7RCR|9AART
22	46313 31322	9	 * 	281.00	DCR|5VULN|3DUR	15789VULN|28CGEN|348DUR|6AART|8BPWR|aRCR
23	56313 31322	9	   	281.00	DCR|5VULN|3DUR	18CGEN|25789VULN|348DUR|6AART|8BPWR|aRCR
24	61221 32246	7	   	280.48	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	17DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|8DMG|aAART
25	43343 11316	10	   	280.25	DCR|4VULN|2DMG|2ASPD|1CDMG	1357VULN|2LWND|47DMG|67ASPD|7BPWR|8BEXP|9CDMG|aRCR
26	63351 33512	8	 * 	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	1aDUR|2LWND|39aVULN|4ASPD|5FEWX|67aDMG|8RCR|aBPWR
27	61221 32351	10	   	280.23	DCR|3VULN|3DUR|2CDMG|1TLV|2LIT	178DUR|24LIT|379VULN|57CDMG|6RCR|7BPWR|aTLV
28	61611 32353	9	   	280.07	DCR|4VULN|3DUR|2CDMG	178DUR|2LIT|3RCVC|479aVULN|57CDMG|6RCR|7BPWR
29	61611 32353	8	   	280.07	DCR|4VULN|3DUR|2CDMG	178DUR|2LIT|3RCVC|479aVULN|57CDMG|6RCR|7BPWR
30	61221 32626	9	   	279.88	DCR|3VULN|3DUR|3CDMG|2LIT	17aDUR|24LIT|37aVULN|57aCDMG|6RCR|7aBPWR|8RMIN|9AART
31	42515 22211	8	   	278.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG|1ASPD	178VULN|2FEWX|38DMG|4DUR|5ASPD|68LIT|8BPWR|9CDMG|aRCR
32	43515 22211	8	   	278.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG|1ASPD	178VULN|2LWND|38DMG|4DUR|5ASPD|68LIT|8BPWR|9CDMG|aRCR
33	63322 43135	7	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2LWND|38aVULN|4TLV|5LIT|6RCR|78DMG|8BPWR|9LHND
34	63322 43162	7	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2LWND|38aVULN|4TLV|5LIT|6RCR|78DMG|8BPWR|9CGEN
35	43622 43112	7	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|2LWND|38DUR|4TLV|5LIT|6RCR|78DMG|8BPWR|9ERES
36	63322 43112	7	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2LWND|38aVULN|4TLV|5LIT|6RCR|78DMG|8BPWR|9ERES
37	61611 32351	8	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	178DUR|2LIT|3RCVC|479VULN|57CDMG|6RCR|7BPWR|aDMG
38	61611 32351	9	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	178DUR|2LIT|3RCVC|479VULN|57CDMG|6RCR|7BPWR|aDMG
39	61611 32352	10	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	178DUR|2LIT|3RCVC|479VULN|57CDMG|6RCR|7BPWR|aDMG
40	43343 11242	5	 * 	276.12	DCR|4VULN|2DMG|2DUR	135aVULN|2LWND|4aDMG|6aDUR|7RCR|8LEGI|9RMIN|aBPWR
41	43343 31242	6	   	276.12	DCR|4VULN|2DMG|2DUR	135aVULN|2LWND|4aDMG|6aDUR|7RCR|8LEGI|9RMIN|aBPWR
42	43511 33512	8	 * 	275.87	DCR|3VULN|3DMG|2ASPD|1DUR	19aVULN|2LWND|36aDMG|4DUR|5FEWX|7aASPD|8RCR|aBPWR
43	62345 22211	8	   	275.50	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG|1ASPD	18DUR|2FEWX|378VULN|4DMG|5ASPD|68LIT|8BPWR|9CDMG|aRCR
44	62356 22211	8	   	275.50	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG|1ASPD	18DUR|2FEWX|378VULN|4ASPD|5DMG|68LIT|8BPWR|9CDMG|aRCR
45	63345 22211	8	   	275.50	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG|1ASPD	18DUR|2LWND|378VULN|4DMG|5ASPD|68LIT|8BPWR|9CDMG|aRCR
46	63356 22211	8	   	275.50	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG|1ASPD	18DUR|2LWND|378VULN|4ASPD|5DMG|68LIT|8BPWR|9CDMG|aRCR
47	61221 32341	9	   	275.23	DCR|3VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aBEXP
48	61221 32343	9	   	275.23	DCR|3VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aZMB
49	61221 32344	10	   	275.23	DCR|3VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aBEXP
50	61221 32346	9	   	275.23	DCR|3VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aFEWX
51	61221 32342	9	   	275.13	DCR|3VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aTBNT
52	61221 32343	10	   	275.13	DCR|3VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aERES
53	61221 32344	9	   	275.13	DCR|3VULN|3DUR|3CDMG|3LIT	178DUR|249LIT|379VULN|579CDMG|6RCR|79BPWR|aDUST
54	44313 22253	9	 * 	275.12	DCR|3VULN|3DUR|2DMG	159VULN|2MLV|349DUR|6BEXP|7LIT|89DMG|9BPWR|aRCR
55	41513 53211	9	   	275.06	DCR|4VULN|1DMG|1TLV|1DUR|2LIT	1379VULN|23LIT|3BPWR|4TLV|5DUR|6DMG|8RPLT|aRCR
56	63341 33512	8	 * 	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	1aDUR|2LWND|39aVULN|46DMG|5FEWX|7aASPD|8RCR|aBPWR
57	63351 31512	8	   	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	1aDUR|2LWND|39aVULN|47ASPD|5FEWX|6aDMG|8RCR|aBPWR
58	43333 52243	8	   	274.36	DCR|5VULN|2DUR|1TLV	13589VULN|28LWND|4TLV|6CGEN|78DUR|8BPWR|aRCR
59	43333 62243	8	   	274.26	DCR|5VULN|2DUR|1TLV	13589VULN|28LWND|4TLV|6ERES|78DUR|8BPWR|aRCR
60	61611 32351	10	   	273.68	DCR|3VULN|3DUR|2CDMG|1TLV	178DUR|2LIT|3RCVC|479VULN|57CDMG|6RCR|7BPWR|aTLV
61	41532 26221	10	   	273.59	DCR|4VULN|2DUR|1DMG|2LIT	1348VULN|23LIT|38BPWR|58DUR|68LWND|7RCR|9RCVC|aDMG
62	41532 36221	10	   	273.59	DCR|4VULN|2DUR|1DMG|2LIT	1348VULN|23LIT|38BPWR|58DUR|68FEWX|7RCR|9RCVC|aDMG
63	41532 36231	10	   	273.59	DCR|4VULN|2DUR|1DMG|2LIT	1348VULN|23LIT|38BPWR|58DUR|68FEWX|7RCR|9DMSP|aDMG
64	41532 26211	10	   	273.49	DCR|4VULN|2DUR|1DMG|2LIT	1348VULN|23LIT|38BPWR|58DUR|68LWND|7RCR|9ERES|aDMG
65	41532 36211	10	   	273.49	DCR|4VULN|2DUR|1DMG|2LIT	1348VULN|23LIT|38BPWR|58DUR|68FEWX|7RCR|9ERES|aDMG
66	41515 23323	9	 * 	273.48	DCR|4VULN|3LIT|1DMG|1TLV	139aVULN|237LIT|3BPWR|4TLV|5AART|6RCR|8DMG
67	61221 32145	8	   	273.39	DCR|4VULN|2DUR|2CDMG|2LIT	17DUR|24LIT|379aVULN|57CDMG|6RCR|7BPWR|8ZMB
68	61221 32165	9	   	273.39	DCR|4VULN|2DUR|2CDMG|2LIT	17DUR|24LIT|379aVULN|57CDMG|6RCR|7BPWR|8ZMB
69	61122 22615	10	   	273.29	DCR|4VULN|2DUR|2CDMG|2LIT	17DUR|24LIT|3LEGI|579aVULN|67CDMG|7BPWR|8RCR
70	41532 26221	8	   	273.07	DCR|5VULN|2DUR|2LIT	1348aVULN|23LIT|38BPWR|58DUR|68LWND|7RCR|9CGEN
