0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13333 42335	7	 * 	310.78	DCR|5VULN|3DMG|2TLV	179DMG|247DUST|3479aVULN|479BPWR|5AART|6RCR|89TLV
2	13333 42333	7	   	308.68	DCR|4VULN|3DMG|2TLV|1DUR	179DMG|247DUST|3479VULN|479BPWR|5AART|6RCR|89TLV|aDUR
3	13121 13543	1	 * 	306.21	DCR|3VULN|3DMG|3TLV|2DUR|1CDMG	156DMG|249VULN|349TLV|49BPWR|7RCR|89DUR|aCDMG
4	13333 42334	7	   	306.09	DCR|4VULN|3DMG|2TLV|1CDMG	179DMG|247DUST|3479VULN|479BPWR|5AART|6RCR|89TLV|aCDMG
5	13121 13545	1	   	302.22	DCR|3VULN|3DMG|3TLV|2DUR	156DMG|249VULN|349TLV|49BPWR|7RCR|89DUR|aAART
6	13121 13541	1	   	300.86	DCR|3VULN|3DMG|3TLV|2DUR	156DMG|249VULN|349TLV|49BPWR|7RCR|89DUR|aLIT
7	14341 61322	1	 * 	297.49	DCR|3VULN|3DMG|2TLV|3CDMG	18aDMG|24TLV|38aCDMG|58aVULN|6MBVNT|7AART|8aBPWR|9RCR
8	11113 23426	6	   	294.04	DCR|3VULN|3DMG|2DUR|1TLV	123DMG|28BPWR|48aVULN|5AART|68DUR|7RCR|9TLV
9	13121 13542	1	   	292.56	DCR|3VULN|3DMG|3TLV|2DUR	156DMG|249VULN|349TLV|49BPWR|7RCR|89DUR|aRMIN
10	13121 13544	1	   	292.56	DCR|3VULN|3DMG|3TLV|2DUR	156DMG|249VULN|349TLV|49BPWR|7RCR|89DUR|aLWND
11	11112 23542	5	   	292.56	DCR|3VULN|3DMG|2TLV|2DUR	123DMG|29BPWR|49aVULN|5RCVC|69TLV|7RCR|89DUR
12	11162 23542	4	   	292.56	DCR|3VULN|3DMG|2TLV|2DUR	123DMG|29BPWR|4RCVC|59aVULN|69TLV|7RCR|89DUR
13	13121 13562	1	   	292.46	DCR|3VULN|3DMG|2TLV|2DUR	156DMG|24aVULN|34TLV|4BPWR|7RCR|89DUR
14	13333 42331	7	   	292.44	DCR|4VULN|3DMG|2TLV	179DMG|247DUST|3479VULN|479BPWR|5AART|6RCR|89TLV|aLWND
15	13333 42332	7	   	292.44	DCR|4VULN|3DMG|2TLV	179DMG|247DUST|3479VULN|479BPWR|5AART|6RCR|89TLV|aRPLT
16	13333 42336	7	   	292.44	DCR|4VULN|3DMG|2TLV	179DMG|247DUST|3479VULN|479BPWR|5AART|6RCR|89TLV|aCGEN
17	13543 31621	1	   	292.29	DCR|4VULN|3DMG|2TLV|1SELL	14aDMG|246aVULN|3RMIN|4aBPWR|5AART|7SELL|8aTLV|9RCR
18	13121 31235	1	   	291.58	DCR|4VULN|2DMG|2TLV|1DUR	15DMG|247aVULN|34TLV|4BPWR|6ASPD|8RCR|9DUR
19	14621 31235	1	   	291.58	DCR|4VULN|2DMG|2TLV|1DUR	15DMG|24TLV|347aVULN|4BPWR|6ASPD|8RCR|9DUR
20	13121 13115	1	   	291.52	DCR|3VULN|3DMG|2TLV|1DUR|1CDMG	156DMG|249VULN|34TLV|4BPWR|7RCR|8CDMG|aDUR
21	14621 13115	1	   	291.52	DCR|3VULN|3DMG|2TLV|1DUR|1CDMG	156DMG|24TLV|349VULN|4BPWR|7RCR|8CDMG|aDUR
22	13121 31214	1	   	291.18	DCR|4VULN|3DMG|2TLV	15aDMG|247aVULN|34TLV|4aBPWR|6ASPD|8RCR|9aCGEN
23	13316 21542	5	 * 	289.77	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|2DUST|359aVULN|4LHND|6TLV|7RCR|89DUR|9BPWR
24	13331 11542	6	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|24DUST|349aVULN|49BPWR|5TLV|6LHND|7RCR|89DUR
25	13331 41542	5	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|24DUST|349aVULN|49BPWR|5TLV|6LWND|7RCR|89DUR
