0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25213 13152	5	 * 	305.53	DCR|4VULN|3DMG|2DUR|1TLV	14DUR|2RMIN|346aVULN|46BPWR|567DMG|8TLV|9RCR
2	23135 21512	10	 * 	303.48	DCR|4VULN|3DUR|3CDMG|1DMG	19aDUR|2AART|349aVULN|5LIT|6RCR|7DMG|89aCDMG|9aBPWR
3	23123 43535	3	 * 	302.22	DCR|3VULN|3DMG|2TLV|2DUR	1aDUR|2AART|39aVULN|457DMG|6RCR|8aTLV|aBPWR
4	23123 43535	4	   	302.22	DCR|3VULN|3DMG|2TLV|2DUR	1aDUR|2AART|39aVULN|457DMG|6RCR|8aTLV|aBPWR
5	25253 13152	5	   	290.84	DCR|4VULN|3DMG|1TLV|1DUR	1DUR|2RMIN|346aVULN|567DMG|6BPWR|8TLV|9RCR
6	23123 42415	3	   	288.89	DCR|4VULN|3DMG|2DUR	19DUR|2AART|379aVULN|458DMG|6RCR|9BPWR
7	23123 42415	4	   	288.89	DCR|4VULN|3DMG|2DUR	19DUR|2AART|379aVULN|458DMG|6RCR|9BPWR
8	23114 15114	9	   	288.63	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|2AART	18DUR|27AART|38aVULN|4TLV|5DMG|68CDMG|8BPWR|9RCR
9	23114 15115	10	   	288.63	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|2AART	18DUR|27AART|38aVULN|4TLV|5DMG|68CDMG|8BPWR|9RCR
10	25212 24221	6	 * 	284.53	DCR|3VULN|3DUR|1TLV|1DMG|2CDMG	147DUR|2RMIN|347VULN|47BPWR|57CDMG|6RCVC|8TLV|9DMG|aRCR
11	25212 44221	5	   	284.53	DCR|3VULN|3DUR|1TLV|1DMG|2CDMG	147DUR|26RMIN|347VULN|47BPWR|57CDMG|8TLV|9DMG|aRCR
12	25213 13151	5	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	14DUR|2RMIN|346VULN|46BPWR|567DMG|8TLV|9RCR|aCGEN
13	25213 13155	5	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	14DUR|2RMIN|346VULN|46BPWR|567DMG|8TLV|9RCR|aRPLT
14	25213 13156	5	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	14DUR|2RMIN|346VULN|46BPWR|567DMG|8TLV|9RCR|aLWND
15	25213 13153	5	   	284.38	DCR|3VULN|3DMG|2DUR|1TLV	14DUR|2RMIN|346VULN|46BPWR|567DMG|8TLV|9RCR|aERES
16	25213 13154	5	   	284.38	DCR|3VULN|3DMG|2DUR|1TLV	14DUR|2RMIN|346VULN|46BPWR|567DMG|8TLV|9RCR|aDUST
17	23121 55621	10	 * 	282.67	DCR|2VULN|3DMG|3DUR|1TLV	158DUR|2AART|38VULN|468DMG|7RMIN|8BPWR|9RCR|aTLV
18	23122 24113	10	   	282.63	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	1aDUR|2AART|38aVULN|4DMG|5RMIN|6RCR|7CDMG|9aTLV|aBPWR
19	23123 41416	4	   	282.57	DCR|2VULN|3DMG|3DUR|1TLV	179DUR|2AART|39VULN|458DMG|6RCR|9BPWR|aTLV
20	23123 41416	3	   	282.57	DCR|2VULN|3DMG|3DUR|1TLV	179DUR|2AART|39VULN|458DMG|6RCR|9BPWR|aTLV
21	23121 43416	5	   	282.57	DCR|2VULN|3DMG|3DUR|1TLV	159DUR|2AART|39VULN|478DMG|6RCR|9BPWR|aTLV
22	23114 15116	10	   	281.53	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG|2AART	18DUR|27AART|38VULN|4TLV|5aDMG|68CDMG|8BPWR|9RCR
23	23123 41414	3	 * 	281.06	DCR|3VULN|3DMG|3DUR	179DUR|2AART|39aVULN|458DMG|6RCR|9BPWR
24	23123 41414	4	   	281.06	DCR|3VULN|3DMG|3DUR	179DUR|2AART|39aVULN|458DMG|6RCR|9BPWR
25	23121 43414	5	   	281.06	DCR|3VULN|3DMG|3DUR	159DUR|2AART|39aVULN|478DMG|6RCR|9BPWR
26	23135 21511	10	   	280.55	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|2AART|349VULN|5LIT|6RCR|7aDMG|89CDMG|9BPWR
27	23135 21515	9	   	280.55	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|2AART|349VULN|5LIT|6RCR|7aDMG|89CDMG|9BPWR
28	23135 21251	10	   	280.20	DCR|4VULN|2DUR|1DMG|2ASPD	1aDUR|2AART|349aVULN|5LIT|6RCR|7DMG|8aASPD|aBPWR
29	23114 26326	4	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2AART|36aVULN|4TLV|5FEWX|7MBVNT|8RCR|9aDMG|aBPWR
30	23123 43515	4	   	277.53	DCR|2VULN|3DMG|2TLV|2DUR	1aDUR|2AART|3aVULN|457DMG|6RCR|8aTLV|9RCVC|aBPWR
31	23123 43515	3	   	277.53	DCR|2VULN|3DMG|2TLV|2DUR	1aDUR|2AART|3aVULN|457DMG|6RCR|8aTLV|9RCVC|aBPWR
32	23123 42411	4	   	276.14	DCR|3VULN|3DMG|2DUR	19DUR|2AART|379VULN|458DMG|6RCR|9BPWR|aLIT
33	23123 42411	3	   	276.14	DCR|3VULN|3DMG|2DUR	19DUR|2AART|379VULN|458DMG|6RCR|9BPWR|aLIT
34	23124 42411	5	   	276.14	DCR|3VULN|3DMG|2DUR	19DUR|2AART|379VULN|458DMG|6RCR|9BPWR|aLIT
