0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24212 24116	6	 * 	283.36	DCR|2VULN|3DMG|2DUR|1TLV|3ASPD	129ASPD|39DUR|45VULN|6TLV|789DMG|9BPWR|aRCR
2	24315 41111	10	 * 	280.89	DCR|4VULN|3DUR|3ASPD|1AART	127ASPD|3478VULN|5AART|678DUR|78BPWR|9LIT|aRCR
3	21612 51111	5	 * 	277.22	DCR|3VULN|3DMG|1TLV|3ASPD	179ASPD|2CGEN|389DMG|459VULN|6RCR|9BPWR|aTLV
4	24312 24116	6	   	277.12	DCR|3VULN|3DMG|1TLV|3ASPD	129ASPD|349VULN|5DUST|6TLV|789DMG|9BPWR|aRCR
5	24322 24116	6	   	277.12	DCR|3VULN|3DMG|1TLV|3ASPD	129ASPD|359VULN|4DUST|6TLV|789DMG|9BPWR|aRCR
6	22212 54513	6	 * 	273.74	DCR|5VULN|3DUR|2ASPD	19ASPD|2RCVC|39aDUR|45689VULN|7RCR|9BPWR
7	22311 34513	5	   	273.74	DCR|5VULN|3DUR|2ASPD	19ASPD|2RCVC|34589VULN|69aDUR|7RCR|9BPWR
8	13633 34351	5	 * 	272.19	DCR|4VULN|2DUR|3CDMG|1DMG	157CDMG|2ZMB|37DUR|457aVULN|57BPWR|6BELT|8DMG|9RCR
9	13633 34531	5	   	272.19	DCR|4VULN|2DUR|3CDMG|1DMG	157CDMG|2ZMB|37DUR|457aVULN|57BPWR|6BELT|8RCR|9DMG
10	21612 51112	5	 * 	272.17	DCR|4VULN|3DMG|3ASPD	179ASPD|2aCGEN|389DMG|459aVULN|6RCR|9aBPWR
11	24311 31626	8	 * 	271.93	DCR|5VULN|1TLV|2ASPD|1DUR	12ASPD|34568VULN|7DUR|9TLV|aRCR
12	24212 11111	10	   	271.13	DCR|4VULN|3DUR|3ASPD	127ASPD|378DUR|4578VULN|6DLOT|78BPWR|9LIT|aRCR
13	24362 11111	10	   	271.13	DCR|4VULN|3DUR|3ASPD	127ASPD|3578VULN|478DUR|6DLOT|78BPWR|9LIT|aRCR
14	24212 16225	8	 * 	269.20	DCR|4VULN|2TLV|3ASPD|1DUR	129ASPD|3DUR|459aVULN|6DLOT|79TLV|8RCR|9BPWR
15	22311 34515	5	   	268.82	DCR|5VULN|2DUR|2ASPD	19ASPD|2RCVC|34589VULN|69DUR|7RCR|9BPWR|aLIT
16	42312 43613	6	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	18LWND|2LIT|358DMG|4TLV|69DUR|78VULN|8BPWR|aRCR
17	22212 14416	5	 * 	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	169ASPD|2RCVC|389DUR|459VULN|7RCR|9BPWR|aTLV
18	22311 14416	4	   	267.98	DCR|3VULN|3DUR|1TLV|3ASPD	169ASPD|2RCVC|349VULN|589DUR|7RCR|9BPWR|aTLV
19	22212 14516	5	 * 	267.94	DCR|5VULN|2DUR|3ASPD	169ASPD|2RCVC|39DUR|4589aVULN|7RCR|9BPWR
20	22311 14516	4	   	267.94	DCR|5VULN|2DUR|3ASPD	169ASPD|2RCVC|3489aVULN|59DUR|7RCR|9BPWR
21	24311 34511	5	   	267.94	DCR|5VULN|2DUR|3ASPD	129ASPD|34589VULN|69DUR|7RCR|9BPWR|aLHND
22	24311 34512	5	   	267.94	DCR|5VULN|2DUR|3ASPD	129ASPD|34589VULN|69DUR|7RCR|9BPWR|aCGEN
23	24311 34513	5	   	267.94	DCR|5VULN|2DUR|3ASPD	129ASPD|34589VULN|69DUR|7RCR|9BPWR|aLWND
24	24315 41332	10	   	267.57	DCR|4VULN|2DUR|3ASPD|1AART	127ASPD|3479VULN|5AART|67DUR|7BPWR|8LIT|aRCR
25	24311 31114	10	   	267.24	DCR|4VULN|1TLV|2ASPD|1DUR|1CDMG	12ASPD|3456VULN|7DUR|8CDMG|9RCR|aTLV
26	21332 53614	2	   	265.65	DCR|3VULN|3DMG|2ASPD|1CDMG	1aASPD|24CGEN|34aDMG|4aBPWR|5LIT|6CDMG|79aVULN|8RCR
27	21333 13614	2	   	265.65	DCR|3VULN|3DMG|2ASPD|1CDMG	1aASPD|24CGEN|34aDMG|4aBPWR|5CDMG|6LIT|79aVULN|8RCR
28	21633 13614	3	   	265.65	DCR|3VULN|3DMG|2ASPD|1CDMG	1aASPD|24CGEN|34aDMG|4aBPWR|5CDMG|6LIT|79aVULN|8RCR
29	25333 13614	1	   	265.65	DCR|3VULN|3DMG|2ASPD|1CDMG	1aASPD|24MLV|34aDMG|4aBPWR|5CDMG|6LIT|79aVULN|8RCR
30	26333 13614	1	   	265.65	DCR|3VULN|3DMG|2ASPD|1CDMG	1aASPD|24CGEN|34aDMG|4aBPWR|5CDMG|6LIT|79aVULN|8RCR
