0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53423 35212	10	 * 	286.22	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1aCDMG|2RMIN|3ASPD|47aVULN|5TLV|6RCR|8DUR|9aDMG|aBPWR
2	53323 35212	10	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1aCDMG|2RMIN|3ZMB|47aVULN|5TLV|6RCR|8DUR|9aDMG|aBPWR
3	53323 36412	10	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1aCDMG|2RMIN|3ZMB|48aVULN|5TLV|6RCR|7DUR|9aDMG|aBPWR
4	54313 35212	10	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1aCDMG|2DUST|37aVULN|4DMSP|5TLV|6RCR|8DUR|9aDMG|aBPWR
5	52136 31532	9	 * 	273.59	DCR|3VULN|2DMG|2ASPD|2CDMG|1AART	1aCDMG|2AART|3BELT|45DMG|6aASPD|7RCR|89aVULN|aBPWR
6	53423 31312	10	   	269.97	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1aCDMG|2RMIN|3ASPD|48aVULN|5TLV|6RCR|7BEXP|9aDMG|aBPWR
7	53423 35112	10	   	269.97	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1aCDMG|2RMIN|3ASPD|47aVULN|5TLV|6RCR|8FEWX|9aDMG|aBPWR
8	53423 32212	10	   	269.52	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV|1DUR	1aCDMG|2RMIN|37ASPD|4aVULN|5TLV|6RCR|8DUR|9aDMG|aBPWR
9	41333 15161	10	 * 	268.86	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	1ZMB|2aDUR|3CDMG|4ASPD|5aTLV|6LIT|78aVULN|9RCR|aBPWR
10	32134 23515	7	 * 	268.44	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|28DUR|38aVULN|47LIT|5FEWX|68DMG|8BPWR|9RCR
11	32135 24644	7	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|28DUR|37aVULN|48LIT|5MBVNT|68DMG|8BPWR|9RCR
12	63613 62322	4	 * 	268.10	DCR|4VULN|3ASPD|2CDMG|1AART	158ASPD|2RCVC|389aVULN|48CDMG|6AART|7RCR|8BPWR
13	52324 52213	6	 * 	268.00	DCR|4VULN|2DUR|2CDMG|1NUKE|1AART	1aCDMG|2AART|3ERES|456aVULN|7RCR|8aDUR|9NUKE|aBPWR
14	52324 62213	6	   	268.00	DCR|4VULN|2DUR|2CDMG|1NUKE|1AART	1aCDMG|2AART|36ERES|456aVULN|6aBPWR|7RCR|8aDUR|9NUKE
15	62125 33113	9	   	267.17	DCR|3VULN|2DMG|2ASPD|1CDMG|1AART	1aASPD|2CGEN|39aVULN|4ERES|5CDMG|6RCR|7AART|8aDMG|aBPWR
16	52326 31521	6	 * 	267.06	DCR|4VULN|1DMG|1TLV|1CDMG|1AART	1CDMG|2AART|3ERES|478aVULN|5TLV|6RCR|9DMG
17	32315 22543	5	 * 	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1RCVC|238DUR|4DMG|5TLV|67aVULN|9RCR
18	62121 52235	4	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	1aASPD|2CGEN|389aVULN|4ERES|5DUR|6RCR|7aCDMG|aBPWR
19	62122 52235	5	   	265.06	DCR|4VULN|2ASPD|2CDMG|1DUR	1aASPD|2CGEN|389aVULN|4ERES|5DUR|6RCR|7aCDMG|aBPWR
20	61335 21243	8	 * 	264.52	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1AART	19ASPD|29DUR|3DMG|4LIT|5RPLT|6AART|79VULN|8RCR|9BPWR|aTLV
21	53323 35612	10	   	263.15	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	1aCDMG|2RMIN|3ZMB|47aVULN|5TLV|6RCR|8ASPD|9aDUR|aBPWR
22	25611 63112	1	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1AART|25DUR|35DMG|4TBNT|5BPWR|67aVULN|8RCR|9FEWX
23	26611 63112	2	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1AART|25DUR|35DMG|4TBNT|5BPWR|67aVULN|8RCR|9FEWX
24	53423 34212	10	 * 	263.02	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR|1ASPD	1aCDMG|2RMIN|3ASPD|4aVULN|57TLV|6RCR|8DUR|9aDMG|aBPWR
25	53423 33113	9	   	262.93	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV|1AART	1aCDMG|2RMIN|3aASPD|49VULN|5TLV|6RCR|7AART|8aDMG|aBPWR
26	51423 36212	10	 * 	262.89	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	1aCDMG|2RCVC|3FEWX|4aVULN|5TLV|6RCR|78DUR|9aDMG|aBPWR
27	53423 35213	9	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2RMIN|3ASPD|47aVULN|5TLV|6RCR|8DUR|9DMG
28	52131 31532	9	 * 	262.04	DCR|3VULN|3CDMG|2ASPD|1DMG|1AART	15aCDMG|2AART|3BELT|4DMG|6aASPD|7RCR|89aVULN|aBPWR
29	32134 21515	7	   	261.89	DCR|3VULN|2DMG|2DUR	17RCVC|28DUR|38aVULN|4LIT|5FEWX|68DMG|8BPWR|9RCR
30	32134 21515	6	   	261.89	DCR|3VULN|2DMG|2DUR	17RCVC|28DUR|38aVULN|4LIT|5FEWX|68DMG|8BPWR|9RCR
31	32134 22515	7	   	261.89	DCR|3VULN|2DMG|2DUR	1RCVC|28DUR|38aVULN|4LIT|5FEWX|68DMG|7DMSP|8BPWR|9RCR
32	32134 22515	6	   	261.89	DCR|3VULN|2DMG|2DUR	1RCVC|28DUR|38aVULN|4LIT|57FEWX|68DMG|8BPWR|9RCR
33	52326 35322	7	   	260.67	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|2AART|3ERES|49aVULN|5TLV|6RCR|7DUR|8DMG
34	32356 15121	10	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	1RCVC|23aDUR|4RPLT|5TLV|6aLIT|78aVULN|9RCR|aBPWR
35	62125 32235	8	 * 	260.22	DCR|3VULN|3ASPD|2DUR|1CDMG	17aASPD|2CGEN|39aVULN|4ERES|5CDMG|6RCR|8aDUR|aBPWR
36	32315 21522	4	 * 	259.21	DCR|2VULN|3DUR|2DMG|1ASPD	1RCVC|238DUR|48DMG|5LHND|6LIT|78VULN|8BPWR|9RCR|aASPD
37	53323 31312	10	   	258.96	DCR|3VULN|2DMG|2CDMG|1TLV	1aCDMG|2RMIN|3ZMB|48aVULN|5TLV|6RCR|7BEXP|9aDMG|aBPWR
38	53323 35112	10	   	258.96	DCR|3VULN|2DMG|2CDMG|1TLV	1aCDMG|2RMIN|3ZMB|47aVULN|5TLV|6RCR|8FEWX|9aDMG|aBPWR
39	53323 35412	10	   	258.96	DCR|3VULN|2DMG|2CDMG|1TLV	1aCDMG|2RMIN|3ZMB|47aVULN|5TLV|6RCR|8BEXP|9aDMG|aBPWR
40	51231 31345	8	   	258.96	DCR|3VULN|2DMG|2CDMG|1TLV	1aCDMG|2RCVC|3CGEN|4aDMG|5LWND|6TLV|78aVULN|9RCR|aBPWR
41	51331 11345	8	   	258.96	DCR|3VULN|2DMG|2CDMG|1TLV	1aCDMG|2RCVC|3TLV|4aDMG|5LWND|6CGEN|78aVULN|9RCR|aBPWR
42	56133 31224	8	 * 	258.94	DCR|4VULN|2DMG|1CDMG	1CDMG|24DMG|34FEWX|4BPWR|5RCVC|679aVULN|8RCR
43	25122 32341	1	 * 	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aFEWX
44	25122 32342	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aCGEN
45	25122 32343	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3aLHND|4RPLT|589VULN|689LIT|7RCR|89BPWR
46	25122 32344	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLWND
47	25122 32346	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aMLV
48	25322 32341	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aFEWX
49	25322 32342	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aCGEN
50	25322 32343	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLHND
51	25322 32344	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLWND
52	25322 32346	1	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3BEXP|4RPLT|589VULN|689LIT|7RCR|89BPWR|aMLV
53	26122 32341	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aFEWX
54	26122 32342	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aCGEN
55	26122 32343	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3aLHND|4RPLT|589VULN|689LIT|7RCR|89BPWR
56	26122 32344	2	   	258.88	DCR|3VULN|3DUR|3LIT|1AART	1AART|289DUR|3LHND|4RPLT|589VULN|689LIT|7RCR|89BPWR|aLWND
