0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22326 33553	2	 * 	281.27	DCR|5VULN|3DUR|3ASPD	1BELT|25689VULN|389DUR|489ASPD|7TBNT|89BPWR|aRCR
2	32512 12246	3	 * 	279.28	DCR|3VULN|2TLV|2DUR|1DMG|2CDMG	1LEGI|249VULN|34TLV|49BPWR|59CDMG|69DUR|7RPLT|8RCR|aDMG
3	22452 23512	4	 * 	279.00	DCR|4VULN|2DMG|1TLV|2CDMG	1BELT|2479VULN|39CDMG|5RCVC|69DMG|8RCR|9BPWR|aTLV
4	22515 33512	6	   	279.00	DCR|4VULN|2DMG|1TLV|2CDMG	13BELT|2479VULN|59DMG|69CDMG|8RCR|9BPWR|aTLV
5	12413 13186	10	 * 	277.97	DCR|3VULN|3DMG|3TLV|1DUR	1DMSP|28aTLV|38aDMG|4DUR|5LWND|68aVULN|7MBVNT|8aBPWR|9RCR
6	22632 51231	9	 * 	277.24	DCR|3VULN|2DUR|1TLV|3CDMG|1DMG	1BELT|267VULN|3TLV|47DUR|578CDMG|7BPWR|9RCR|aDMG
7	22632 51235	10	   	277.24	DCR|3VULN|2DUR|1TLV|3CDMG|1DMG	1BELT|267VULN|3TLV|47DUR|578CDMG|7BPWR|9RCR|aDMG
8	22633 61162	9	 * 	276.17	DCR|2VULN|3DMG|2TLV|2DUR	1BELT|2aVULN|3aTLV|48DUR|5LIT|67aDMG|9RCR|aBPWR
9	12413 16134	9	   	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1DMSP|28TLV|38DMG|4DUR|5LWND|68aVULN|7RCR|8BPWR|9CDMG
10	12513 16134	9	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	1DMSP|28TLV|38DUR|4DMG|5LWND|68aVULN|7RCR|8BPWR|9CDMG
11	12513 13186	10	 * 	272.54	DCR|3VULN|3DUR|3TLV|1DMG	1DMSP|28aTLV|38aDUR|4DMG|5LWND|68aVULN|7MBVNT|8aBPWR|9RCR
12	11134 53212	2	 * 	271.60	DCR|3VULN|3DMG|3DUR	1DMSP|289VULN|3LEGI|47FEWX|589DUR|689DMG|89BPWR|aRCR
13	32334 53212	3	   	271.60	DCR|3VULN|3DMG|3DUR	1LEGI|289VULN|3RCVC|47FEWX|589DUR|689DMG|89BPWR|aRCR
14	22344 31351	2	   	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	1BELT|278VULN|38DUR|4RMIN|58CDMG|6RCR|8BPWR|9DMG|aTLV
15	12413 16131	8	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1DMSP|28TLV|38DMG|4DUR|5LWND|68aVULN|7RCR|8BPWR|9ASPD
16	12414 16131	8	   	270.63	DCR|3VULN|2DMG|2TLV|1DUR	1DMSP|28TLV|38DMG|4DUR|5LHND|68aVULN|7RCR|8BPWR|9ASPD
17	12411 16131	8	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1DMSP|28TLV|38DMG|4DUR|5DUST|68aVULN|7RCR|8BPWR|9ASPD
18	22632 51233	10	 * 	270.40	DCR|3VULN|3DUR|1TLV|3CDMG	1BELT|267VULN|3TLV|47aDUR|578CDMG|7BPWR|9RCR
19	22632 51236	9	   	270.40	DCR|3VULN|3DUR|1TLV|3CDMG	1BELT|267VULN|3TLV|47aDUR|578CDMG|7BPWR|9RCR
20	22126 31636	9	   	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	1BELT|2479VULN|34DUST|47BPWR|57DMG|67CDMG|8DUR|aRCR
21	32512 12242	3	   	268.88	DCR|3VULN|2TLV|2DUR|2CDMG|1AART	1LEGI|249VULN|34TLV|49BPWR|59CDMG|69DUR|7RPLT|8RCR|aAART
22	32515 12242	3	   	268.88	DCR|3VULN|2TLV|2DUR|2CDMG|1AART	1LEGI|249VULN|34TLV|49BPWR|59DUR|69CDMG|7RPLT|8RCR|aAART
