0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61134 12115	3	 * 	269.43	DCR|2VULN|3DUR|2DMG|2CDMG|1AART	1AART|28CDMG|38VULN|458DUR|6TBNT|7RCR|8BPWR|9aDMG
2	61361 43112	8	   	268.09	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV|1AART	1AART|28CDMG|3TLV|4LEGI|578DUR|68VULN|8BPWR|9DMG|aRCR
3	33515 52213	1	 * 	261.89	DCR|3VULN|2DMG|3ASPD	1CGEN|269VULN|3LIT|4LHND|569ASPD|69BPWR|7MLV|89DMG|aRCR
4	61134 12161	2	 * 	261.53	DCR|3VULN|2DUR|2CDMG|2AART	13AART|28CDMG|48DUR|58aVULN|6TBNT|7RCR|8BPWR|9LIT
5	52312 31622	7	 * 	258.44	DCR|4VULN|2DUR|1DMG	1aERES|2FEWX|3aDUR|4DMG|5CGEN|678aVULN|9RCR|aBPWR
6	62351 31361	1	 * 	256.10	DCR|2VULN|2DMG|2DUR|3LIT|1AART	1AART|28aLIT|38DMG|45DUR|6DUST|78VULN|8BPWR|9RCR
7	61132 86134	10	 * 	255.87	DCR|2VULN|3DMG|2CDMG|2LIT|1AART	1AART|2aCDMG|3aVULN|4aLIT|5MBVNT|678DMG|9RCR|aBPWR
8	12363 62122	3	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	18aBEXP|2CGEN|3aDMG|4TLV|5DUR|67aVULN|9RCR|aBPWR
9	12663 62122	2	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	18aBEXP|2CGEN|3aDMG|4TLV|5DUR|67aVULN|9RCR|aBPWR
10	22363 62322	3	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	1aFEWX|2CGEN|3aDMG|4TLV|5DUR|67aVULN|8RCVC|9RCR|aBPWR
11	22663 62322	2	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	1aFEWX|2CGEN|3aDMG|4TLV|5DUR|67aVULN|8RCVC|9RCR|aBPWR
12	32363 62322	3	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	1aCGEN|2FEWX|3aDMG|4TLV|5DUR|67aVULN|8RCVC|9RCR|aBPWR
