0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32334 11156	2	 * 	284.02	DCR|5VULN|2TLV|1DMG|1DUR	1RPLT|2DMG|35TLV|4589aVULN|5BPWR|6RCR|7DUR
2	32334 11146	2	 * 	280.27	DCR|4VULN|2TLV|2DUR|1DMG	1RPLT|2DMG|35TLV|458aVULN|5BPWR|6RCR|79DUR
3	33432 61332	4	 * 	278.68	DCR|3VULN|3DUR|2TLV|3CDMG	1RPLT|28aVULN|3RCVC|48aDUR|568CDMG|7RCR|8aBPWR|9aTLV
4	33441 61332	5	   	278.68	DCR|3VULN|3DUR|2TLV|3CDMG	1RPLT|28aVULN|3RCVC|468CDMG|58aDUR|7RCR|8aBPWR|9aTLV
5	33622 61332	4	   	278.68	DCR|3VULN|3DUR|2TLV|3CDMG	1RPLT|28aVULN|38aDUR|4RCVC|568CDMG|7RCR|8aBPWR|9aTLV
6	33642 61332	4	   	278.68	DCR|3VULN|3DUR|2TLV|3CDMG	1RPLT|28aVULN|38aDUR|4DMSP|568CDMG|7RCR|8aBPWR|9aTLV
7	41113 44313	5	 * 	278.43	ACR|4VULN|3DMG|3DUR|1AART	19aDUR|2RCR|349aVULN|5AART|6LWND|7ASPD|89aDMG|9aBPWR
8	41114 24313	4	   	278.43	ACR|4VULN|3DMG|3DUR|1AART	19aDUR|2RCR|349aVULN|5LWND|6AART|7ASPD|89aDMG|9aBPWR
9	41114 24313	3	   	278.43	ACR|4VULN|3DMG|3DUR|1AART	19aDUR|2RCR|349aVULN|5LWND|6AART|7ASPD|89aDMG|9aBPWR
10	41123 24313	4	   	278.43	ACR|4VULN|3DMG|3DUR|1AART	19aDUR|2RCR|359aVULN|4LWND|6AART|7ASPD|89aDMG|9aBPWR
11	41123 24313	3	   	278.43	ACR|4VULN|3DMG|3DUR|1AART	19aDUR|2RCR|359aVULN|4LWND|6AART|7ASPD|89aDMG|9aBPWR
12	32634 11116	1	 * 	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|458aVULN|5BPWR|6RCR|7DUR|9BELT
13	32634 11151	1	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|4589VULN|5BPWR|6RCR|7DUR|aRMIN
14	32634 11152	1	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|4589VULN|5BPWR|6RCR|7DUR|aDMSP
15	32634 11153	1	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|4589VULN|5BPWR|6RCR|7DUR|aBEXP
16	32634 11336	1	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|459aVULN|5BPWR|6RCR|7DUR|8BELT
17	32634 13143	1	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1RPLT|2TLV|35DMG|458aVULN|5BPWR|6RCR|7LWND|9DUR
18	32125 11156	4	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1RPLT|23DMG|489aVULN|5TLV|6RCR|7DUR
19	33166 11362	3	 * 	274.69	DCR|4VULN|3DMG|3CDMG	1RPLT|258aVULN|38aDMG|48aCDMG|6RMIN|7RCR|8aBPWR|9RCVC
20	33166 11331	3	 * 	274.20	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RPLT|258VULN|38DMG|48CDMG|6RMIN|7RCR|8BPWR|9TLV|aDUR
21	32535 13132	2	 * 	273.01	DCR|2VULN|3DMG|3DUR|1TLV	1RPLT|24aDMG|34aDUR|4aBPWR|5TLV|6RCR|7BEXP|8aVULN|9BBNT
22	32535 13152	2	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	1RPLT|24aDMG|34aDUR|4aBPWR|5TLV|6RCR|7BEXP|8aVULN|9TBNT
23	33133 12331	5	   	272.77	DCR|3VULN|1TLV|1DMG|2CDMG|2ASPD|1DUR	1RPLT|258VULN|3DMG|48ASPD|6RCR|78CDMG|8BPWR|9TLV|aDUR
