0	Index      	 *	Score 	Summary	Detail	
1	63531 21311	 * 	231.89	ACR|1BASARM|2DMG|1VULN|1ASPD|1BEXP|1AART	1AART|23DMG|3BPWR|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM|aASPD
2	63531 21316	 * 	227.48	ACR|3DMG|1BASARM|1VULN|1BEXP|1AART	1AART|23aDMG|3BPWR|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM
3	63531 23311	   	218.24	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1AART|23DMG|3BPWR|4ZMB|5RCR|6LWND|7DUR|8VULN|9BASARM|aASPD
4	63531 26311	   	218.14	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1AART|23DMG|3BPWR|4ZMB|5RCR|6LWND|7DUST|8VULN|9BASARM|aASPD
5	62131 21311	   	216.76	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1AART|2RCVC|3DMG|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM|aASPD
6	63531 62211	 * 	216.16	ACR|3DMG|1BASARM|1ASPD|1AART	1AART|238DMG|3BPWR|4ZMB|5RCR|6ERES|7AME|9BASARM|aASPD
7	62131 21316	   	214.28	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2RCVC|3aDMG|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM
8	63531 23316	   	213.83	ACR|3DMG|1BASARM|1VULN|1AART	1AART|23aDMG|3BPWR|4ZMB|5RCR|6LWND|7DUR|8VULN|9BASARM
9	61131 21311	   	213.02	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1AART|2DMSP|3DMG|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM|aASPD
10	63431 21311	   	212.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1AART|2DMG|3AAC|4DMSP|5RCR|6LWND|7BEXP|8VULN|9BASARM|aASPD
11	63531 21312	   	210.54	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1AART|23DMG|3BPWR|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM|aDUR
12	61131 21316	   	210.54	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2DMSP|3aDMG|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM
13	63531 21314	   	210.44	ACR|1BASARM|2DMG|1VULN|1BEXP|1AART	1AART|23DMG|3BPWR|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM|aNUKE
14	63531 21315	   	210.44	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|23DMG|3BPWR|4ZMB|5RCR|6LWND|7BEXP|8VULN|9BASARM|aERES
15	63431 21316	   	210.44	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	1AART|2aDMG|3AAC|4DMSP|5RCR|6LWND|7BEXP|8VULN|9BASARM
16	62131 12345	   	203.11	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1AART|2RCVC|3DMG|4ZMB|5RCR|6RPLT|7LHND|8VULN|9ASPD|aBASARM
17	62131 13345	   	203.11	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1AART|2RCVC|3DMG|4ZMB|5RCR|6RPLT|7DUR|8VULN|9ASPD|aBASARM
18	62131 23311	   	203.11	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1AART|2RCVC|3DMG|4ZMB|5RCR|6LWND|7DUR|8VULN|9BASARM|aASPD
19	62131 26311	   	203.01	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1AART|2RCVC|3DMG|4ZMB|5RCR|6LWND|7DUST|8VULN|9BASARM|aASPD
20	62131 21563	 * 	202.22	ACR|2DMG|2BEXP|1ASPD|1VULN|1AART	1AART|2RCVC|38DMG|4ZMB|5RCR|68LWND|78BEXP|8BPWR|9ASPD|aVULN
