0	Index      	 *	Score 	Summary	Detail	
1	32314 23113	 * 	222.77	ACR|3DMG|1BASARM|2VULN|1ASPD	18LWND|289DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|aASPD
2	32314 23116	   	216.36	ACR|3DMG|1BASARM|2VULN|1BEXP	18LWND|289DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|aBEXP
3	32314 23154	 * 	214.74	ACR|3DMG|1BASARM|3VULN	189LWND|28aDMG|3BASARM|4aERES|5RCR|68aVULN|7RPLT|8aBPWR
4	32314 23114	   	211.02	ACR|3DMG|1BASARM|2VULN|1AAC	18LWND|289DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|aAAC
5	11334 41412	 * 	208.78	ACR|2BASARM|2DMG|1BEXP|1AART	1RMIN|2DUR|36BASARM|4aDMG|5RCR|7BEXP|8TLV|9AART
6	21535 12132	 * 	207.98	ACR|1BASARM|2VULN|1DMG|1BASICY|1BEXP	1FEWX|27VULN|3DLOT|4RCR|5BASICY|6DMSP|8DMG|9BEXP|aBASARM
7	21535 42132	   	207.98	ACR|1BASARM|2VULN|1DMG|1BASICY|1BEXP	16FEWX|27VULN|3DLOT|4RCR|5BASICY|8DMG|9BEXP|aBASARM
8	32314 23151	 * 	207.12	ACR|1BASARM|2DMG|2VULN|1BASICY	189LWND|28DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|aBASICY
9	32314 23123	   	207.02	ACR|1BASARM|2DMG|2VULN|1ASPD	18LWND|28DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|9AEFBLL|aASPD
10	32314 23313	   	206.92	ACR|1BASARM|2DMG|2VULN|1ASPD	1LWND|29DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|aASPD
11	11334 41261	 * 	206.13	ACR|2BASARM|2BEXP|1DMG|1CDMG	1RMIN|2DUR|36BASARM|4DMG|5RCR|79BEXP|8FEWX|aCDMG
12	41531 15122	 * 	204.00	ACR|2DMG|3VULN|2BEXP|1ASPD	15BEXP|259VULN|3DLOT|4RCR|5BPWR|6LIT|7ASPD|8aDMG
13	11334 41243	   	203.53	ACR|2BASARM|2DMG|1BEXP|1AAC	1RMIN|2DUR|36BASARM|4aDMG|5RCR|7BEXP|8FEWX|9AAC
14	21535 33322	 * 	202.76	ACR|1BASARM|2BEXP|2VULN|1BASICY	1FEWX|29VULN|3DLOT|4RCR|5BASICY|68BEXP|7RMIN|aBASARM
15	41535 33322	   	202.76	ACR|1BASARM|2BEXP|2VULN|1BASICY	18BEXP|29VULN|3DLOT|4RCR|5BASICY|6FEWX|7RMIN|aBASARM
16	32314 23115	   	202.71	ACR|3DMG|1BASARM|2VULN	18LWND|289DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|aFEWX
17	32314 23111	   	202.61	ACR|3DMG|1BASARM|2VULN	18LWND|289DMG|3BASARM|4aERES|5RCR|68VULN|7RPLT|8BPWR
18	32314 23112	   	202.61	ACR|3DMG|1BASARM|2VULN	18LWND|289DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|aMBVNT
19	11334 41325	   	200.78	ACR|2BASARM|2BEXP|1DMG|1AAC	1RMIN|2DUR|36BASARM|4DMG|5RCR|7aBEXP|8ZMB|9AAC
20	11334 41631	   	200.78	ACR|2BASARM|2BEXP|1DMG|1AAC	1RMIN|2aDUR|36BASARM|4DMG|5RCR|79BEXP|8AAC
21	11334 41632	   	200.78	ACR|2BASARM|2BEXP|1DMG|1AAC	1RMIN|2DUR|36BASARM|4DMG|5RCR|79BEXP|8AAC|aZMB
22	32314 23136	   	200.71	ACR|1BASARM|2DMG|2VULN|1BEXP	18LWND|28DMG|3BASARM|4ERES|5RCR|68VULN|7RPLT|8BPWR|9FEWX|aBEXP
