0	Index      	 *	Score 	Summary	Detail	
1	42232 26236	 * 	249.13	ACR|2VULN|1BASARM|2DMG|2BEXP|1ASPD	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aASPD
2	42232 26214	   	245.07	ACR|2VULN|1BASARM|2DMG|2BEXP|1AART	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9AME|aAART
3	42232 26215	   	242.72	ACR|2VULN|1BASARM|2DMG|2BEXP|1CDMG	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9AME|aCDMG
4	52232 26263	   	234.40	ACR|2VULN|1BASARM|2DMG|1ASPD|1BEXP	17DUR|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9ASPD|aBEXP
5	42422 26212	   	232.01	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|3RCR|47VULN|5RPLT|67DMG|7BPWR|8BASARM|9AME|aRCVC
6	42422 26232	   	232.01	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|3RCR|47VULN|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aRCVC
7	42422 26211	   	231.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|3RCR|47VULN|5RPLT|67DMG|7BPWR|8BASARM|9AME|aCGEN
8	42422 26213	   	231.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|3RCR|47VULN|5RPLT|67DMG|7BPWR|8BASARM|9AME|aFEWX
9	42422 26231	   	231.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|3RCR|47VULN|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aCGEN
10	42422 26233	   	231.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|3RCR|47VULN|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aFEWX
11	34521 12322	   	227.91	ACR|1BASARM|2DMG|1ASPD|1BEXP|1AART|1CDMG	1CGEN|2ASPD|3AART|4DUST|5RCR|6BASARM|78DMG|9BEXP|aCDMG
12	42232 26263	   	227.85	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9aRCVC
13	42232 26261	   	227.44	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9RCVC|aVENFST
14	42232 26262	   	227.44	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9RCVC|aERES
15	42232 26212	   	227.01	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9AME|aRCVC
16	42232 26232	   	227.01	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aRCVC
17	42232 26241	   	226.79	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9aDUR
18	35531 22612	 * 	226.71	ACR|4VULN|3DMG|2AART	19CGEN|269DMG|37AART|489aVULN|5RCR|9BPWR
19	42232 26211	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9AME|aCGEN
20	42232 26213	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9AME|aFEWX
21	42232 26216	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9AME|aLHND
22	42232 26231	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aCGEN
23	42232 26233	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aFEWX
24	42232 26234	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aDMSP
25	42232 26242	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9DUR|aMBVNT
26	42232 26243	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9DUR|aDUST
27	42232 26235	   	226.44	ACR|2VULN|1BASARM|2DMG|2BEXP|1SELL	17BEXP|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aSELL
28	42422 26333	   	224.00	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	17BEXP|2LWND|3RCR|47VULN|5RPLT|67DMG|7BPWR|8LEGI|9ASPD|aAART
29	35531 22315	 * 	221.15	ACR|2VULN|2ASPD|2DMG|2AART	1aCGEN|26DMG|37AART|4aVULN|5RCR|8RPLT|9aASPD|aBPWR
30	52232 26262	   	221.07	ACR|2VULN|1BASARM|2DMG|1ASPD	17DUR|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9ASPD|aRCVC
31	52232 26261	   	220.75	ACR|2VULN|1BASARM|2DMG|1ASPD	17DUR|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9ASPD|aCGEN
32	52232 26236	   	220.65	ACR|2VULN|1BASARM|2DMG|1ASPD	17DUR|2LWND|37VULN|4RCR|5RPLT|67DMG|7BPWR|8BASARM|9NUKE|aASPD
