0	Index      	 *	Score 	Summary	Detail	
1	62364 32331	 * 	226.69	ACR|1BASARM|2ASPD|1VULN|1DMG|2CDMG	1MSLTOX|26ASPD|36CDMG|4MDPS|5RCR|6BPWR|7MLV|8VULN|9DMG|aBASARM
2	22867 13431	 * 	220.63	DCR|3VULN|2BASARM|2BEXP|1ASPD|1AART	158VULN|2MBVNT|3ASPD|48BEXP|6AART|78BASARM|8BPWR|9DUR|aRCR
3	22844 46521	 * 	220.57	4VULN|3ASPD|3DMG|1AART|1CDMG|1BEXP	148aVULN|2MBVNT|38aASPD|5CDMG|6BEXP|78aDMG|8aBPWR|9AART
4	22867 13421	   	220.53	DCR|3VULN|2BASARM|2BEXP|1ASPD|1AART	158VULN|2MBVNT|3ASPD|48BEXP|6AART|78BASARM|8BPWR|9DUST|aRCR
5	22724 46521	   	208.16	3VULN|3ASPD|3DMG|1AART|1BEXP|1CDMG	18aVULN|2MBVNT|3AEMAG|48aASPD|5CDMG|6BEXP|78aDMG|8aBPWR|9AART
6	25634 32231	   	205.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1VULN|2LHND|3CGEN|4RCR|5SNIFST|6DUR|7DMG|8CDMG|9ASPD|aBASARM
7	25634 33231	   	205.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1VULN|2LHND|3CGEN|4RCR|5SNIFST|6DUR|7ASPD|8CDMG|9DMG|aBASARM
8	42632 52231	   	205.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1LWND|2LHND|3CGEN|4RCR|5MSLREG|6VULN|7DMG|8CDMG|9ASPD|aBASARM
9	42632 53231	   	205.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1LWND|2LHND|3CGEN|4RCR|5MSLREG|6VULN|7ASPD|8CDMG|9DMG|aBASARM
10	22762 63431	 * 	203.53	DCR|2BASARM|2VULN|2DMG|1AART	18VULN|2MBVNT|3AEMAG|48DMG|5AART|6LEGI|78BASARM|8BPWR|9DUR|aRCR
11	22762 63421	   	203.43	DCR|2BASARM|2VULN|2DMG|1AART	18VULN|2MBVNT|3AEMAG|48DMG|5AART|6LEGI|78BASARM|8BPWR|9DUST|aRCR
12	62364 22321	   	200.49	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1MSLTOX|2ASPD|3CDMG|4MDPS|5RCR|6VULN|78ERES|9DMG|aBASARM
13	22387 13431	   	197.67	DCR|3VULN|2BASARM|2BEXP|1AART	148VULN|2MBVNT|34BEXP|48BPWR|58ZMB|6AART|78BASARM|9DUR|aRCR
14	22387 13421	   	197.57	DCR|3VULN|2BASARM|2BEXP|1AART	148VULN|2MBVNT|34BEXP|48BPWR|58ZMB|6AART|78BASARM|9DUST|aRCR
15	22387 13462	   	197.57	DCR|3VULN|2BASARM|2BEXP|1AART	148VULN|2MBVNT|34BEXP|48BPWR|58ZMB|6AART|78BASARM|9AIRARM|aRCR
