0	Index      	 *	Score 	Summary	Detail	
1	42232 36336	 * 	199.95	ACR|2VULN|2BEXP|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|79BEXP|8DMG|aCDMG
2	42234 22141	 * 	195.73	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5RCVC|6AAC|7DMG|8DUR|9BASARM|aCDMG
3	42231 23215	 * 	195.56	ACR|1BASARM|1VULN|2AART|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9aAART
4	42231 24215	   	195.56	ACR|1BASARM|1VULN|2AART|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7LWND|8BASARM|9aAART
5	42231 23211	 * 	194.95	ACR|1BASARM|1VULN|2BEXP|1AART	1MDPS|2DUST|3VULN|4RCR|5TLV|6aBEXP|7LHND|8BASARM|9AART
6	42231 24211	   	194.95	ACR|1BASARM|1VULN|2BEXP|1AART	1MDPS|2DUST|3VULN|4RCR|5TLV|6aBEXP|7LWND|8BASARM|9AART
7	42232 31335	 * 	193.52	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9ASPD|aDMG
8	42235 32512	 * 	192.93	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5BELT|6AAC|7LWND|8CDMG|9ASPD|aBASARM
9	42232 22146	 * 	191.91	ACR|2VULN|2AART|1ASPD|1CDMG	1MDPS|2DUST|38VULN|4RCR|57AART|6LWND|9ASPD|aCDMG
10	42231 23216	 * 	191.74	ACR|1BASARM|2VULN|1AART|1BEXP	1MDPS|2DUST|3aVULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9AART
11	42231 24216	   	191.74	ACR|1BASARM|2VULN|1AART|1BEXP	1MDPS|2DUST|3aVULN|4RCR|5TLV|6BEXP|7LWND|8BASARM|9AART
12	42232 36342	 * 	191.52	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	1MDPS|2DUST|36VULN|4RCR|5AART|7BEXP|8DMG|9RPLT|aASPD
13	42235 21261	 * 	190.62	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2DUST|3VULN|4RCR|5BELT|6AART|7RPLT|8LWND|9DMG|aBASARM
14	42232 36353	 * 	189.05	ACR|2VULN|2DMG|1AART|1BEXP	1MDPS|2DUST|36VULN|4RCR|5AART|7BEXP|8aDMG|9ZMB
15	42231 23264	 * 	187.74	ACR|1BASARM|2VULN|1BEXP|1CDMG	1MDPS|2DUST|3aVULN|4RCR|5TLV|6BEXP|7LHND|8BASARM|9CDMG
16	42231 52411	   	186.81	ACR|1BASARM|2AART|1VULN	1MDPS|2DUST|3VULN|4RCR|5TLV|68AART|7LIT|9ERES|aBASARM
17	42232 31355	 * 	186.30	ACR|2VULN|2BEXP|2CDMG|1AART	1MDPS|2aDUST|36VULN|4RCR|5AART|7aCDMG|8RMIN|9aBEXP|aBPWR
18	42232 31352	 * 	185.11	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7CDMG|8RMIN|9BEXP|aASPD
19	42232 36212	   	185.11	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7BEXP|8CDMG|9CGEN|aASPD
20	42232 36222	   	185.01	ACR|2VULN|1ASPD|1AART|1BEXP|1CDMG	1MDPS|2DUST|36VULN|4RCR|5AART|7BEXP|8CDMG|9AME|aASPD
21	42235 12512	   	184.62	ACR|1BASARM|1VULN|1ASPD|1CDMG	1MDPS|2DUST|3VULN|4RCR|5BELT|6ZMB|7LWND|8CDMG|9ASPD|aBASARM
22	42232 36331	   	184.30	ACR|2VULN|2BEXP|1DMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|79BEXP|8DMG|aLHND
23	42232 36332	   	184.30	ACR|2VULN|2BEXP|1DMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|79BEXP|8DMG|aRMIN
24	42232 36335	   	184.30	ACR|2VULN|2BEXP|1DMG|1AART	1MDPS|2DUST|36VULN|4RCR|5AART|79BEXP|8DMG|aMLV
25	42232 36333	   	184.20	ACR|2VULN|2BEXP|1DMG|1AART	1MDPS|2aDUST|36VULN|4RCR|5AART|79BEXP|8DMG
26	12124 36512	 * 	184.10	DCR|2VULN|1BASARM|1DMG|1AART|1CDMG	1RMIN|23VULN|4ZMB|5CDMG|6AART|7CGEN|8DMG|9BASARM|aRCR
27	42232 22265	 * 	183.60	ACR|2AART|1VULN|1DMG|2CDMG	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|89CDMG|aDMG
28	42234 51332	 * 	183.41	ACR|2VULN|1BASARM|1ASPD	1MDPS|2DUST|36VULN|4RCR|5RCVC|7LWND|8BASARM|9ASPD|aLHND
29	42234 51333	   	183.41	ACR|2VULN|1BASARM|1ASPD	1MDPS|2DUST|36VULN|4RCR|5RCVC|7LWND|8BASARM|9ASPD|aDUR
30	42234 51311	   	183.16	ACR|2VULN|1BASARM|1ASPD|1SELL	1MDPS|2DUST|36VULN|4RCR|5RCVC|7LWND|8BASARM|9SELL|aASPD
31	42436 31333	 * 	182.71	ACR|2VULN|2BEXP|1ASPD|1DMG	1MDPS|2DUST|3FEWX|4RCR|58BEXP|6aVULN|7DMG|9ASPD
32	42232 22342	 * 	182.70	ACR|2AART|1VULN|1ASPD|1DMG	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8DMG|9RPLT|aASPD
33	42232 51613	   	182.19	ACR|2VULN|1BASARM|1AART	1MDPS|2DUST|38VULN|4RCR|5AART|6FEWX|7BELT|9CGEN|aBASARM
34	42232 31165	 * 	181.47	ACR|3VULN|1DMG|1AART|1CDMG	1MDPS|2DUST|369VULN|4RCR|5AART|7CDMG|8FEWX|aDMG
35	42232 32146	 * 	181.47	ACR|3VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|368VULN|4RCR|5AART|7FEWX|9ASPD|aCDMG
36	42232 32265	   	181.47	ACR|3VULN|1DMG|1AART|1CDMG	1MDPS|2DUST|369VULN|4RCR|5AART|7FEWX|8CDMG|aDMG
37	42232 35143	   	181.47	ACR|3VULN|1ASPD|1AART|1CDMG	1MDPS|2DUST|368VULN|4RCR|5AART|7LHND|9ASPD|aCDMG
38	42231 52321	   	181.09	ACR|1BASARM|2VULN|1AART	1MDPS|2DUST|39VULN|4RCR|5TLV|6AART|7LIT|8CGEN|aBASARM
39	42234 22143	   	181.08	ACR|1BASARM|1VULN|1DMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5RCVC|6AAC|7DMG|8DUR|9BASARM|aVENTOX
40	42234 22142	   	180.98	ACR|1BASARM|1VULN|1DMG|1AAC	1MDPS|2DUST|3VULN|4RCR|5RCVC|6AAC|7DMG|8DUR|9BASARM|aAEMAG
41	42236 23215	 * 	180.82	ACR|1VULN|2BEXP|1ASPD|2AAC|1CDMG	1MDPS|2DUST|3VULN|4RCR|5CDMG|68AAC|7aBEXP|9ASPD
42	42232 22353	 * 	180.22	ACR|2DMG|2AART|1VULN	1MDPS|2DUST|3VULN|4RCR|57AART|6LWND|8aDMG|9ZMB
43	42231 23212	   	180.11	ACR|1BASARM|1VULN|1AART|1BEXP	1MDPS|2DUST|3VULN|4RCR|5TLV|6BEXP|7aLHND|8BASARM|9AART
