0	Index      	 *	Score 	Summary	Detail	
1	25121 35336	 * 	302.27	DCR|DCR|3AAC|1VULN|1TLV|1CDMG	1CDMG|2CGEN|3DUST|469AAC|5VULN|7TLV|8aRCR
2	36551 33132	 * 	301.21	DCR|DCR|1VULN|1TLV|1MLV|2CDMG	1RAT|2MLV|3VULN|4TLV|59CDMG|67BELT|8aRCR
3	36661 33132	   	301.21	DCR|DCR|1VULN|1TLV|1MLV|2CDMG	1RAT|2MLV|3TLV|4VULN|59CDMG|67BELT|8aRCR
4	15124 55234	 * 	286.97	DCR|DCR|2VULN|2AAC	1LHND|2MBVNT|34AAC|5AART|69RCR|7aVULN|8RAT
5	23616 13533	 * 	283.83	DCR|DCR|3VULN|1CDMG	1CDMG|2DUR|357VULN|4DUST|6LIT|8aRCR|9CGEN
6	21616 13533	   	275.52	DCR|DCR|3VULN|1CDMG	1CDMG|2LWND|357VULN|4DUST|6LIT|8aRCR|9CGEN
7	35412 33326	   	273.61	DCR|DCR|1TLV|1MLV|1ASPD	1RAT|2FEWX|3AART|4ASPD|5CANSTR|6MLV|7CGEN|8aRCR|9TLV
8	36452 32313	   	273.61	DCR|DCR|1TLV|1MLV|1ASPD	1RAT|2MLV|3FEWX|4TLV|5DUR|6TBNT|7MDPS|8aRCR|9ASPD
9	11634 31132	   	273.55	DCR|DCR|2VULN|2CDMG|2RAT	17LHND|29CDMG|37VULN|47RAT|5RCVC|6BELT|7BPWR|8aRCR
10	31264 31132	   	273.55	DCR|DCR|2VULN|2CDMG|2RAT	17RAT|29CDMG|37LWND|47VULN|5RCVC|6BELT|7BPWR|8aRCR
11	31464 31132	   	273.55	DCR|DCR|2VULN|2CDMG|2RAT	17RAT|29CDMG|37LHND|47VULN|5RCVC|6BELT|7BPWR|8aRCR
12	51634 31132	   	273.55	DCR|DCR|2VULN|2CDMG|2RAT	17LWND|29CDMG|37VULN|47RAT|5RCVC|6BELT|7BPWR|8aRCR
