0	Index      	 *	Score 	Summary	Detail	
1	52333 62236	 * 	307.51	DCR|DCR|3VULN|1TLV|1CDMG	14aVULN|2CGEN|3BEXP|5CDMG|69RCR|7TLV|8DUST
2	52133 62234	   	300.72	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7TLV|8DUST|aRAT
3	52133 62235	   	300.33	DCR|DCR|2VULN|1TLV|2DUR|1CDMG	14VULN|2CGEN|3aDUR|5CDMG|69RCR|7TLV|8DUST
4	52133 61334	 * 	297.32	DCR|DCR|2VULN|1MLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7LWND|8MLV|aRAT
5	52133 61335	   	296.93	DCR|DCR|2VULN|1MLV|2DUR|1CDMG	14VULN|2CGEN|3aDUR|5CDMG|69RCR|7LWND|8MLV
6	33211 51521	 * 	294.78	DCR|DCR|2MLV|1VULN|1DMG|1SELL	1FEWX|2SELL|3LIT|4RAT|58MLV|6DMG|79RCR|aVULN
7	52133 62631	   	293.88	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7TLV|8LHND|aLIT
8	52133 62633	   	293.88	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7TLV|8LHND|aRMIN
9	52133 62231	   	293.78	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7TLV|8DUST|aLIT
10	52133 62233	   	293.78	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7TLV|8DUST|aRMIN
11	52133 62236	   	293.78	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2aCGEN|3DUR|5CDMG|69RCR|7TLV|8DUST
12	52133 62632	   	293.78	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7TLV|8LHND|aBEXP
13	52133 62232	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7TLV|8DUST|aBEXP
14	52333 62235	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3BEXP|5CDMG|69RCR|7TLV|8DUST|aDUR
15	52333 62234	   	292.31	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3BEXP|5CDMG|69RCR|7TLV|8DUST|aRAT
16	13552 21235	   	291.89	DCR|DCR|2VULN|1TLV|1DMG	1ZMB|2DMG|3AEPOI|4RCVC|5RMIN|68VULN|7aRCR|9TLV
17	33211 11521	 * 	290.97	DCR|DCR|2MLV|1VULN|1ASPD|1SELL	1FEWX|2SELL|3LIT|4RAT|58MLV|6ASPD|79RCR|aVULN
18	52133 61331	   	290.38	DCR|DCR|2VULN|1MLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7LWND|8MLV|aLIT
19	52133 61333	   	290.38	DCR|DCR|2VULN|1MLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7LWND|8MLV|aRMIN
20	52133 61336	   	290.38	DCR|DCR|2VULN|1MLV|1CDMG	14VULN|2aCGEN|3DUR|5CDMG|69RCR|7LWND|8MLV
21	52133 61332	   	290.28	DCR|DCR|2VULN|1MLV|1CDMG	14VULN|2CGEN|3DUR|5CDMG|69RCR|7LWND|8MLV|aBEXP
22	11551 21235	   	288.07	DCR|DCR|2VULN|1TLV|1ASPD	1ZMB|2AME|3AEPOI|4RCVC|5ASPD|68VULN|7aRCR|9TLV
23	52433 62231	   	285.57	DCR|DCR|2VULN|1TLV|1CDMG	13VULN|23CGEN|3BPWR|4FEWX|5CDMG|69RCR|7TLV|8DUST|aLIT
24	52433 62233	   	285.57	DCR|DCR|2VULN|1TLV|1CDMG	13VULN|23CGEN|3BPWR|4FEWX|5CDMG|69RCR|7TLV|8DUST|aRMIN
25	52333 62631	   	285.47	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3BEXP|5CDMG|69RCR|7TLV|8LHND|aLIT
26	52333 62633	   	285.47	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3BEXP|5CDMG|69RCR|7TLV|8aLHND
27	52433 62232	   	285.47	DCR|DCR|2VULN|1TLV|1CDMG	13VULN|23CGEN|3BPWR|4FEWX|5CDMG|69RCR|7TLV|8DUST|aBEXP
28	52333 62231	   	285.37	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3BEXP|5CDMG|69RCR|7TLV|8DUST|aLIT
29	52333 62233	   	285.37	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3BEXP|5CDMG|69RCR|7TLV|8DUST|aLHND
30	52333 62632	   	285.37	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3aBEXP|5CDMG|69RCR|7TLV|8LHND
31	52333 62232	   	285.27	DCR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3aBEXP|5CDMG|69RCR|7TLV|8DUST
32	63352 12335	 * 	278.33	DCR|DCR|1TLV|1MLV|1DMG|1ASPD	13ERES|2DMG|4RCVC|5RMIN|6MLV|7ASPD|8aRCR|9TLV
