0	Index      	 *	Score 	Summary	Detail	
1	24343 11361	 * 	305.79	DCR|DCR|2VULN|2TLV|2DUR	1TBNT|2LEGI|39DUR|4RMIN|5BBNT|69VULN|79TLV|8aRCR|9BPWR
2	14238 38144	 * 	299.49	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1CDMG	1LWND|2ASPD|3DMG|4MBVNT|5MLV|6aRCR|7VULN|8RAT|9CDMG
3	14232 31175	 * 	299.38	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	1LWND|27ASPD|3DMG|4MBVNT|5TLV|6aRCR|8VULN|9AME
4	25651 11321	 * 	298.97	DCR|DCR|2MLV|1VULN|1TLV	1TBNT|2LHND|3BBNT|4LWND|59MLV|6VULN|7TLV|8aRCR
5	54112 21633	 * 	296.14	DCR|DCR|3MLV|1VULN	124MLV|3VULN|5RAT|6ERES|7LWND|8LHND|9aRCR
6	54112 21433	   	296.04	DCR|DCR|3MLV|1VULN	124MLV|3VULN|5RAT|6ERES|7LWND|8BEXP|9aRCR
7	54112 25233	   	296.04	DCR|DCR|3MLV|1VULN	124MLV|3VULN|5RAT|6ERES|7DUST|8LWND|9aRCR
8	16243 11361	   	290.93	DCR|DCR|2VULN|2TLV	19LWND|2BBNT|3BEXP|4RMIN|5TBNT|69VULN|79TLV|8aRCR|9BPWR
9	22243 11361	   	290.93	DCR|DCR|2VULN|2TLV	1TBNT|29LWND|3BEXP|4RMIN|5BBNT|69VULN|79TLV|8aRCR|9BPWR
10	34513 11253	 * 	288.41	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|369VULN|46MLV|5aRCR|6BPWR|7CGEN|8LWND
11	34513 12213	   	288.41	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|368VULN|46MLV|5aRCR|6BPWR|7FEWX|9AME
12	34513 13313	   	288.41	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|367VULN|46MLV|5aRCR|6BPWR|8LWND|9AME
13	34513 15213	   	288.41	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|368VULN|46MLV|5aRCR|6BPWR|7LHND|9AME
14	34513 12223	   	288.31	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|368VULN|46MLV|5aRCR|6BPWR|7FEWX|9ERES
15	34513 13113	   	288.31	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|367VULN|46MLV|5aRCR|6BPWR|8DUST|9AME
16	34513 13323	   	288.31	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|367VULN|46MLV|5aRCR|6BPWR|8LWND|9ERES
17	34513 13433	   	288.31	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|367VULN|46MLV|5aRCR|6BPWR|8ERES|9FEWX
18	34513 15223	   	288.31	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|368VULN|46MLV|5aRCR|6BPWR|7LHND|9ERES
19	34513 16213	   	288.31	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|368VULN|46MLV|5aRCR|6BPWR|7BEXP|9AME
20	34513 13123	   	288.21	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|367VULN|46MLV|5aRCR|6BPWR|8DUST|9ERES
21	34513 16223	   	288.21	ACR|DCR|3VULN|2MLV	1RAT|2TBNT|368VULN|46MLV|5aRCR|6BPWR|7BEXP|9ERES
22	14232 34175	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LWND|2ASPD|3DMG|4MBVNT|5TLV|6aRCR|7RCVC|8VULN|9AME
23	14233 13835	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1LWND|2ASPD|3DMG|4MBVNT|5VULN|69CGEN|7TLV|8aRCR
24	53325 24231	 * 	282.90	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	16MLV|2RAT|3DMG|4BELT|5AAC|78VULN|9RCR|aTLV
25	14222 11255	   	280.68	DCR|DCR|2VULN|1DMG|1ASPD	1LWND|2ASPD|3DMG|4CGEN|5ERES|69VULN|7aRCR|8MBVNT
26	55232 37441	 * 	279.75	DCR|2MLV|2TLV|2DMG|1VULN|1AAC	1aMLV|2VULN|3aDMG|4MBVNT|5aTLV|6RMIN|7AAC|8RCR|9BBNT|aBPWR
27	55221 21326	   	279.64	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1MLV|2VULN|3DMG|4CGEN|5AAC|6LWND|7aRCR|8BELT|9AME
28	55223 31326	   	279.64	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1MLV|2VULN|3DMG|4CGEN|5LHND|6AAC|7aRCR|8BELT|9AME
29	55221 21235	   	279.54	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1MLV|2VULN|3DMG|49CGEN|5AAC|6LWND|7aRCR|8MBVNT
30	55223 31235	   	279.54	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1MLV|2VULN|3DMG|49CGEN|5LHND|6AAC|7aRCR|8MBVNT
31	51133 31126	 * 	278.48	DCR|2VULN|2MLV|2TLV|1AAC	1aMLV|2CANSTR|3TBNT|4AAC|5aVULN|6aTLV|7RCR|8RCVC|9AART|aBPWR
32	51233 31126	   	278.48	DCR|2VULN|2MLV|2TLV|1AAC	1aMLV|2CANSTR|3BBNT|4AAC|5aVULN|6aTLV|7RCR|8RCVC|9AART|aBPWR
33	14121 11255	   	277.50	DCR|DCR|2VULN|1AAC|1ASPD	1LWND|2ASPD|3ERES|4CGEN|5AAC|69VULN|7aRCR|8MBVNT
