0	Index      	 *	Score 	Summary	Detail	
1	32322 57146	 * 	294.89	DCR|DCR|2VULN|1TLV|2DUR	18DUR|2MBVNT|3AART|46VULN|56AEFRZ|6BPWR|7TLV|9aRCR
2	32324 48346	 * 	291.48	DCR|DCR|2VULN|1MLV|2DUR	16DUR|2MBVNT|3AART|47VULN|5LWND|8MLV|9aRCR
3	32328 48346	   	291.48	DCR|DCR|2VULN|1MLV|2DUR	16DUR|2MBVNT|3AART|47VULN|5FEWX|8MLV|9aRCR
4	33513 33114	 * 	286.39	DCR|3MLV|2VULN|1TLV|1ASPD	1DUR|27aMLV|3FEWX|49VULN|5ASPD|6RCR|8TLV
5	32322 38346	   	284.83	DCR|DCR|2VULN|1MLV	1DUR|2MBVNT|3AART|47VULN|5AEFRZ|6FEWX|8MLV|9aRCR
6	32324 18346	   	284.83	DCR|DCR|2VULN|1MLV	1DUR|2MBVNT|3AART|47VULN|5LWND|6AEFRZ|8MLV|9aRCR
7	32328 18346	   	284.83	DCR|DCR|2VULN|1MLV	1DUR|2MBVNT|3AART|47VULN|5FEWX|6AEFRZ|8MLV|9aRCR
8	32322 28346	   	284.73	DCR|DCR|2VULN|1MLV	1DUR|2MBVNT|3AART|47VULN|5AEFRZ|6BEXP|8MLV|9aRCR
9	32328 47146	   	275.33	DCR|DCR|1VULN|1TLV|2DUR|2AART	16DUR|2MBVNT|38AART|4VULN|5FEWX|7TLV|9aRCR
10	25222 53337	 * 	275.33	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1AART|26VULN|36DMG|4AAC|5MBVNT|6BPWR|7LHND|8MLV|9RCR|aTLV
11	32326 74146	   	275.23	DCR|DCR|1VULN|1TLV|2DUR|2AART	17DUR|2MBVNT|38AART|4VULN|5TLV|6BEXP|9aRCR
12	33513 33134	 * 	274.77	DCR|3MLV|1VULN|1TLV|2ASPD	1DUR|27aMLV|3FEWX|4VULN|59ASPD|6RCR|8TLV
13	42431 41133	 * 	271.26	DCR|DCR|1VULN|2ASPD|2CDMG	16ASPD|28CDMG|3BEXP|4CGEN|5VULN|7aRCR|9RAT
14	32323 42513	 * 	270.67	ACR|DCR|1VULN|1TLV|1MLV|1AAC	1DUR|2MBVNT|3AART|4VULN|59RCR|6MLV|7AAC|8RPLT|aTLV
15	33513 33115	   	269.39	DCR|2VULN|2MLV|1TLV|1ASPD|2DUR	1aDUR|27MLV|3FEWX|49VULN|5ASPD|6RCR|8TLV
16	32328 47346	   	268.78	DCR|DCR|1VULN|1TLV|2DUR	16DUR|2MBVNT|3AART|4VULN|5FEWX|7TLV|8DMSP|9aRCR
17	32322 37146	   	268.68	DCR|DCR|1VULN|1TLV|2AART	1DUR|2MBVNT|38AART|4VULN|5AEFRZ|6FEWX|7TLV|9aRCR
18	32322 37846	   	268.68	DCR|DCR|1VULN|1TLV|2DUR	18DUR|2MBVNT|3AART|4VULN|5AEFRZ|6FEWX|7TLV|9aRCR
19	32324 17146	   	268.68	DCR|DCR|1VULN|1TLV|2DUR	18DUR|2MBVNT|3AART|4VULN|5LWND|6AEFRZ|7TLV|9aRCR
20	32324 47246	   	268.68	DCR|DCR|1VULN|1TLV|2DUR	16DUR|2MBVNT|3AART|4VULN|5LWND|7TLV|8AEWIND|9aRCR
21	32326 35146	   	268.68	DCR|DCR|1VULN|1TLV|2AART	1DUR|2MBVNT|38AART|4VULN|5TLV|6AEFRZ|7FEWX|9aRCR
22	32326 64246	   	268.68	DCR|DCR|1VULN|1TLV|2DUR	17DUR|2MBVNT|3AART|4VULN|5TLV|6LWND|8AEWIND|9aRCR
23	32326 74346	   	268.68	DCR|DCR|1VULN|1TLV|2DUR	17DUR|2MBVNT|3AART|4VULN|5TLV|6BEXP|8DMSP|9aRCR
24	32328 17146	   	268.68	DCR|DCR|1VULN|1TLV|2AART	1DUR|2MBVNT|38AART|4VULN|5FEWX|6AEFRZ|7TLV|9aRCR
25	32322 27146	   	268.58	DCR|DCR|1VULN|1TLV|2AART	1DUR|2MBVNT|38AART|4VULN|5AEFRZ|6BEXP|7TLV|9aRCR
26	32326 31146	   	268.58	DCR|DCR|1VULN|1TLV|2AART	1DUR|2MBVNT|38AART|4VULN|5TLV|6AEFRZ|7BEXP|9aRCR
27	33413 32614	 * 	268.40	DCR|2VULN|2MLV|2DMG|1ASPD	1DUR|2aMLV|3LHND|49VULN|5ASPD|6RCR|78DMG
28	33113 33614	   	268.30	DCR|2VULN|2MLV|2DMG|1ASPD	1DUR|2aMLV|3LEGI|49VULN|5ASPD|6RCR|78DMG
29	33255 35333	   	267.42	DCR|DCR|1VULN|1MLV|1AAC	1DUR|2MLV|3AAC|4LIT|5VULN|6ZMB|7aRCR|8CGEN|9BBNT
30	32618 41632	   	266.89	DCR|2VULN|2MLV|1TLV|2DUR|1CDMG	1aDUR|2MBVNT|3CGEN|4aVULN|5CDMG|6TLV|7RMIN|8aMLV|9RCR|aBPWR
