0	Index      	 *	Score 	Summary	Detail	
1	22531 32635	 * 	305.62	DCR|DCR|1VULN|1TLV|2ASPD|1MLV	17LWND|2MLV|3TLV|4VULN|58ASPD|6CGEN|9aRCR
2	63231 11633	 * 	301.07	DCR|DCR|2MLV|2DMG|1ASPD	1AART|27MLV|35DMG|4RAT|6LWND|89RCR|aASPD
3	63231 11634	 * 	300.48	DCR|DCR|3DMG|2MLV	1AART|27MLV|35aDMG|4RAT|6LWND|89RCR
4	63231 11635	   	293.13	DCR|DCR|2MLV|2DMG	1AART|27MLV|35DMG|4RAT|6LWND|89RCR|aDUR
5	12325 22642	   	289.73	DCR|DCR|1VULN|1TLV|1MLV	1VULN|2BASHEA|34ERES|5TLV|6RAT|7DUR|8aRCR|9MLV
6	22532 45123	 * 	287.10	DCR|2VULN|2MLV|2TLV|1DMG|1CDMG	17LWND|25MLV|37TLV|47VULN|6BBNT|7BPWR|8RCR|9CDMG|aDMG
7	32532 45123	   	287.10	DCR|2VULN|2MLV|2TLV|1DMG|1CDMG	17FEWX|25MLV|37TLV|47VULN|6BBNT|7BPWR|8RCR|9CDMG|aDMG
8	63231 11631	   	284.82	DCR|DCR|2MLV|2DMG	1AART|27MLV|35DMG|4RAT|6LWND|89RCR|aRPLT
9	63231 11636	   	284.82	DCR|DCR|2MLV|2DMG	1AART|27MLV|35DMG|4RAT|6LWND|89RCR|aCGEN
10	63231 11632	   	284.72	DCR|DCR|2MLV|2DMG	1AART|27MLV|35DMG|4RAT|6LWND|89RCR|aERES
11	63235 11633	   	283.38	DCR|DCR|2MLV|1DMG|1ASPD	1AART|27MLV|3DMG|4RAT|5AEWIND|6LWND|89RCR|aASPD
12	32335 12312	   	282.60	DCR|DCR|1VULN|1TLV|1MLV|2SELL	1FEWX|2MLV|3LHND|4VULN|5TLV|69SELL|7AART|8aRCR
13	14251 62312	   	282.50	DCR|DCR|1VULN|1TLV|1MLV|2SELL	1VULN|2TLV|3BEXP|49SELL|5LHND|6MLV|7AART|8aRCR
14	22532 45312	   	281.75	DCR|2VULN|2MLV|2TLV|1DMG	17LWND|25MLV|37TLV|47VULN|6BBNT|7BPWR|8DMG|9RCR|aAART
15	32532 45312	   	281.75	DCR|2VULN|2MLV|2TLV|1DMG	17FEWX|25MLV|37TLV|47VULN|6BBNT|7BPWR|8DMG|9RCR|aAART
16	32335 21552	   	281.62	DCR|DCR|1VULN|1TLV|1MLV	1FEWX|2MLV|3LHND|4VULN|5TLV|6RAT|7aRCR|8AEBURN|9BELT
17	22235 21552	   	281.52	DCR|DCR|1VULN|1TLV|1MLV	1LWND|2MLV|3BEXP|4VULN|5TLV|6RAT|7aRCR|8AEBURN|9BELT
18	12325 21642	   	281.32	DCR|DCR|1VULN|1TLV|1MLV	1VULN|2BASHEA|34ERES|5TLV|6RAT|7BEXP|8aRCR|9MLV
19	23533 15253	   	280.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1LWND|2DUR|3NUKE|4VULN|5CDMG|6RPLT|78RCR|9MLV|aASPD
20	61331 28164	   	278.38	DCR|2VULN|2MLV|2TLV|1AAC	1AART|2AETHUN|38TLV|48VULN|5MBVNT|6TBNT|78MLV|8BPWR|9RCR|aAAC
21	22532 45133	 * 	276.85	DCR|3VULN|2MLV|2TLV	17LWND|25MLV|37TLV|47aVULN|6BBNT|7BPWR|8RCR|9DMSP
22	63231 15633	   	276.79	DCR|DCR|2DMG|1MLV|1ASPD	1AART|2MLV|35DMG|4RAT|6LWND|7AEFBLL|89RCR|aASPD
23	63231 51633	   	276.79	DCR|DCR|2DMG|1MLV|1ASPD	1AART|2MLV|35DMG|4RAT|6AEWIND|7LWND|89RCR|aASPD
24	63231 61633	   	276.79	DCR|DCR|2DMG|1MLV|1ASPD	1AART|2MLV|35DMG|4RAT|6AEBURN|7LWND|89RCR|aASPD
25	22532 45113	   	276.75	DCR|3VULN|2MLV|2TLV	17LWND|25MLV|37TLV|47aVULN|6BBNT|7BPWR|8RCR|9BEXP
26	32532 45113	   	276.75	DCR|3VULN|2MLV|2TLV	17FEWX|25MLV|37TLV|47aVULN|6BBNT|7BPWR|8RCR|9BEXP
27	32532 45133	   	276.75	DCR|3VULN|2MLV|2TLV	17FEWX|25MLV|37TLV|47aVULN|6BBNT|7BPWR|8RCR|9LEGI
28	15224 15333	   	276.75	DCR|3VULN|2MLV|2TLV	17aVULN|2TBNT|38LHND|47MLV|5AETHUN|67TLV|7BPWR|9RCR
29	15211 61411	 * 	276.56	DCR|DCR|2VULN|1TLV	18VULN|2TBNT|3LHND|4BBNT|5AEFBLL|6aRCR|7CGEN|9TLV
30	15243 31523	 * 	276.04	DCR|3VULN|2DMG|1TLV|1MLV	17aVULN|2TBNT|37LHND|47DMG|5MDPS|6RCR|7BPWR|8MLV|9TLV
