0	Index      	 *	Score 	Summary	Detail	
1	23531 36151	 * 	313.99	DCR|DCR|2VULN|2TLV|2DUR	15DUR|2AART|35TLV|4RPLT|5BPWR|67VULN|8DLOT|9aRCR
2	23533 36151	   	307.34	DCR|DCR|2VULN|2TLV	1DUR|2AART|35TLV|4RPLT|67VULN|8DLOT|9aRCR
3	53222 41361	 * 	299.92	DCR|2VULN|2MLV|2DMG|1TLV|2DUR	1aVULN|28DUR|3aDMG|4ERES|5AART|6TLV|7RCR|9aMLV|aBPWR
4	51432 12374	   	299.64	DCR|DCR|2VULN|1TLV|1ASPD	15VULN|2RAT|3BBNT|4ASPD|6AEWIND|7aRCR|8MBVNT|9TLV
5	33531 36151	   	299.14	DCR|DCR|2VULN|2TLV	15FEWX|2AART|35TLV|4RPLT|5BPWR|67VULN|8DLOT|9aRCR
6	35413 33151	   	299.04	DCR|DCR|2VULN|2TLV	1FEWX|26VULN|3RPLT|45TLV|7AART|8DLOT|9aRCR
7	13531 36151	   	298.94	DCR|DCR|2VULN|2TLV	15DUST|2AART|35TLV|4RPLT|5BPWR|67VULN|8DLOT|9aRCR
8	13533 36151	   	298.94	DCR|DCR|2VULN|2TLV	1DUST|2AART|35TLV|4RPLT|67VULN|8DLOT|9aRCR
9	52361 21241	 * 	293.11	DCR|3VULN|2MLV|1TLV|1AAC|2RAT	138VULN|2LIT|48MLV|5AAC|68RAT|7TBNT|8BPWR|9RCR|aTLV
10	61324 12253	 * 	291.76	DCR|DCR|3VULN|1AAC	1BEXP|2RAT|389VULN|4AAC|5RMIN|6aRCR|7CGEN
11	61315 12253	   	291.01	DCR|DCR|3VULN|1ASPD	1BEXP|2RAT|389VULN|4ERES|5ASPD|6aRCR|7CGEN
12	21345 13633	 * 	289.82	DCR|3VULN|2MLV|2ASPD|2DUR|2RAT	17DUR|27RAT|38aVULN|49MLV|57ASPD|6RCR|7BPWR
13	25333 12351	   	289.08	DCR|DCR|2VULN|1DMG|1ASPD	1DUR|25VULN|3LHND|4ASPD|6DUST|7LWND|89RCR|aDMG
14	25333 26351	   	289.08	DCR|DCR|2VULN|1DMG|1ASPD	1DUR|25VULN|3LHND|4ASPD|6LWND|7DUST|89RCR|aDMG
15	53333 12351	   	289.08	DCR|DCR|2VULN|1DMG|1ASPD	15VULN|2DUR|3LHND|4ASPD|6DUST|7LWND|89RCR|aDMG
16	53333 26351	   	289.08	DCR|DCR|2VULN|1DMG|1ASPD	15VULN|2DUR|3LHND|4ASPD|6LWND|7DUST|89RCR|aDMG
17	25333 13351	   	288.98	DCR|DCR|2VULN|1DMG|1ASPD	1DUR|25VULN|3LHND|4ASPD|6DUST|7LEGI|89RCR|aDMG
18	53333 13351	   	288.98	DCR|DCR|2VULN|1DMG|1ASPD	15VULN|2DUR|3LHND|4ASPD|6DUST|7LEGI|89RCR|aDMG
19	15231 31621	 * 	286.74	DCR|4VULN|2MLV|1DMG|1ASPD	1DUST|2478VULN|3DMG|56MLV|9ASPD|aRCR
20	55221 22152	 * 	286.61	DCR|4VULN|3MLV|1CDMG	129aVULN|3CDMG|4RPLT|59aMLV|69aBASHEA|7MDPS|8RCR|9aBPWR
21	25333 12356	   	285.91	DCR|DCR|2VULN|1AAC|1ASPD	1DUR|25VULN|3LHND|4ASPD|6DUST|7LWND|89RCR|aAAC
22	53333 12356	   	285.91	DCR|DCR|2VULN|1AAC|1ASPD	15VULN|2DUR|3LHND|4ASPD|6DUST|7LWND|89RCR|aAAC
23	25413 23151	   	285.81	DCR|DCR|2TLV|1VULN|2DUR	16DUR|2VULN|3RPLT|45TLV|7AART|8DLOT|9aRCR
24	53413 23151	   	285.81	DCR|DCR|2TLV|1VULN|2DUR	1VULN|26DUR|3RPLT|45TLV|7AART|8DLOT|9aRCR
25	54213 23151	   	285.81	DCR|DCR|2TLV|1VULN|2DUR	1VULN|2RPLT|36DUR|45TLV|7AART|8DLOT|9aRCR
26	25333 13356	   	285.81	DCR|DCR|2VULN|1AAC|1ASPD	1DUR|25VULN|3LHND|4ASPD|6DUST|7LEGI|89RCR|aAAC
27	53333 13356	   	285.81	DCR|DCR|2VULN|1AAC|1ASPD	15VULN|2DUR|3LHND|4ASPD|6DUST|7LEGI|89RCR|aAAC
28	33532 36151	   	284.86	DCR|DCR|2VULN|1TLV	15FEWX|2AART|3TLV|4RPLT|67VULN|8DLOT|9aRCR
29	15336 12351	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1DUST|2VULN|3LHND|4ASPD|5ERES|6TLV|7LWND|89RCR|aDMG
