0	Index      	 *	Score 	Summary	Detail	
1	44321 21422	 * 	283.04	ACR|DCR|3VULN|1TLV|1DMG	1TBNT|26RCR|3TLV|4FEWX|59aVULN|7DUST|8DMG
2	22333 46134	 * 	279.36	DCR|DCR|1VULN|1MLV|1DMG	1RPLT|2LWND|3VULN|4AART|5DMG|6aRCR|7CGEN|8MLV|9DUR
3	26362 32311	 * 	278.38	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	18RPLT|2ASPD|3LIT|4TLV|5CDMG|6ERES|79RCR|aVULN
4	26362 32211	   	278.28	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1RPLT|2ASPD|3LIT|4TLV|5CDMG|6ERES|79RCR|8AEFRZ|aVULN
5	36221 34322	 * 	277.47	ACR|DCR|2VULN|2DMG|1TLV	17CGEN|27VULN|3aRCR|49LWND|5TLV|67DMG|7BPWR|8FRZICY
6	36221 34422	   	277.37	ACR|DCR|2VULN|2DMG|1TLV	17CGEN|27VULN|3aRCR|49LWND|5TLV|67DMG|7BPWR|8BLAICY
7	56221 34322	   	277.27	ACR|DCR|2VULN|2DMG|1TLV	17ERES|27VULN|3aRCR|49LWND|5TLV|67DMG|7BPWR|8FRZICY
8	36231 33652	 * 	277.25	ACR|DCR|3VULN|2TLV	17CGEN|267VULN|3aRCR|4LEGI|57TLV|7BPWR|8BASARM|9ZMB
9	44321 26312	   	276.57	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1TBNT|26RCR|3TLV|4FEWX|5aVULN|7AAC|8DMG|9AME
10	22316 13241	 * 	276.46	DCR|DCR|2VULN|2AAC	1RPLT|2LWND|38VULN|4TBNT|57AAC|6MBVNT|9aRCR
11	61146 13241	   	276.46	DCR|DCR|2VULN|2AAC	1LHND|28VULN|3TBNT|4RPLT|57AAC|6MBVNT|9aRCR
12	44321 22341	   	275.93	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1TBNT|26RCR|3TLV|4FEWX|59VULN|7CGEN|8DMG|aASPD
13	44221 23341	   	275.83	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1TBNT|26RCR|3ERES|4FEWX|59VULN|7TLV|8DMG|aASPD
