0	Index      	 *	Score 	Summary	Detail	
1	56222 52232	 * 	298.44	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LIT|9CDMG|aTLV
2	54315 23321	 * 	297.92	DCR|2VULN|2MLV|1TLV|1DMG|1AAC|1CDMG	15VULN|2TLV|3AAC|46MLV|7CDMG|8RCR|9AART|aDMG
3	56222 52324	 * 	297.67	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8SPLARM|aAAC
4	56222 52442	   	297.67	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LHND|aAAC
5	56222 52142	   	297.57	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|aAAC
6	53662 23423	 * 	295.76	DCR|DCR|2VULN|1MLV|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9SPLARM|aMLV
7	53662 23433	   	295.66	DCR|DCR|2VULN|1MLV|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9SPLREG|aMLV
8	56222 52322	   	294.43	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8SPLARM|aCDMG
9	53662 23442	   	294.12	DCR|DCR|2VULN|1AAC|1ASPD	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9DUR|aASPD
10	56222 52432	   	293.10	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LHND|9TLV|aAART
11	54315 23333	 * 	293.01	DCR|3VULN|2MLV|1TLV|1AAC|1CDMG	15aVULN|2TLV|3AAC|46MLV|7CDMG|8RCR|9LWND
12	55122 43312	   	293.01	DCR|3VULN|2MLV|1TLV|1AAC|2RAT	145VULN|24RAT|3RMIN|4BPWR|6TLV|7aMLV|8RCR|9AAC
13	54315 23322	 * 	292.96	DCR|2VULN|2MLV|2AAC|1TLV|1CDMG	15VULN|2TLV|3aAAC|46MLV|7CDMG|8RCR|9AART
14	54315 23311	   	292.91	DCR|3VULN|2MLV|1TLV|1AAC|1CDMG	15aVULN|2TLV|3AAC|46MLV|7CDMG|8RCR|9ERES
15	56222 52233	 * 	292.55	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1CDMG	1VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LIT|9CDMG|aMLV
16	54315 23312	 * 	291.88	DCR|3MLV|2VULN|1TLV|1AAC|1CDMG	15VULN|2TLV|3AAC|46aMLV|7CDMG|8RCR|9ERES
17	53662 23414	   	289.52	DCR|DCR|2VULN|1DMG|1AAC	13VULN|2AART|3BPWR|4MBVNT|5AAC|6DUST|78RCR|9MDPS|aDMG
18	34313 56442	 * 	289.39	DCR|DCR|1TLV|1MLV|1AAC|1ASPD	1BEXP|2TLV|3AAC|4MLV|5MBVNT|68RCR|7AART|9DUR|aASPD
19	56222 52443	   	289.08	DCR|DCR|2VULN|1DMG|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8LHND|aDUR
20	34313 56423	 * 	289.02	DCR|DCR|2MLV|1TLV|1AAC	1BEXP|2TLV|3AAC|4aMLV|5MBVNT|68RCR|7AART|9SPLARM
21	56222 52143	   	288.98	DCR|DCR|2VULN|1DMG|1ASPD	19VULN|2ASPD|3MBVNT|4CGEN|5DMG|67RCR|8DUST|aDUR
22	34313 56433	   	288.92	DCR|DCR|2MLV|1TLV|1AAC	1BEXP|2TLV|3AAC|4aMLV|5MBVNT|68RCR|7AART|9SPLREG
