0	Index      	 *	Score 	Summary	Detail	
1	22453 11326	 * 	305.55	橙橙2易伤1伤害1攻速1暴击	1攻速2伤害3雷电4平台5暴击6a易伤79核8双倍秒伤
2	11251 32312	 * 	283.52	橙橙3伤害1易伤	1平台245伤害34敌人爆炸4序列升级6易伤7掉矿8a核9最后敌人
3	11251 32322	   	283.52	橙橙3伤害1易伤	1平台245伤害34敌人爆炸4序列升级6易伤7掉矿8a核9基地爆炸
4	11551 32312	   	283.52	橙橙3伤害1易伤	1平台245伤害34低血量敌人4序列升级6易伤7掉矿8a核9最后敌人
5	11551 32322	   	283.52	橙橙3伤害1易伤	1平台245伤害34低血量敌人4序列升级6易伤7掉矿8a核9基地爆炸
6	11251 32342	   	283.42	橙橙3伤害1易伤	1平台245伤害34敌人爆炸4序列升级6易伤7掉矿8a核9挖青
7	11141 32312	   	283.32	橙橙3伤害1易伤	1平台235伤害4挖尘6易伤7掉矿8a核9最后敌人
8	11141 32322	   	283.32	橙橙3伤害1易伤	1平台235伤害4挖尘6易伤7掉矿8a核9基地爆炸
9	11651 32312	   	283.32	橙橙3伤害1易伤	1平台245伤害34挖尘4序列升级6易伤7掉矿8a核9最后敌人
10	11651 32322	   	283.32	橙橙3伤害1易伤	1平台245伤害34挖尘4序列升级6易伤7掉矿8a核9基地爆炸
11	11141 32342	   	283.22	橙橙3伤害1易伤	1平台235伤害4挖尘6易伤7掉矿8a核9挖青
12	11651 32342	   	283.22	橙橙3伤害1易伤	1平台245伤害34挖尘4序列升级6易伤7掉矿8a核9挖青
13	22453 11325	   	282.67	橙橙1易伤1伤害2平台1攻速1暴击	1攻速2伤害3雷电4a平台5暴击6易伤79核8双倍秒伤
14	11353 12526	   	279.05	橙橙2伤害1矿等2时间1攻速	1平台24伤害34时间4序列升级5矿等6攻速7基地爆炸8a核9敌人爆炸
15	22126 11233	 * 	277.50	橙4易伤2伤害2攻速	1a攻速25伤害3双倍秒伤456a易伤5a序列升级7平台8a低血量敌人9核
16	22126 11433	   	277.50	橙4易伤2伤害2攻速	1a攻速25伤害3双倍秒伤456a易伤5a序列升级7平台8a最后敌人9核
17	22453 11322	   	277.47	橙橙1易伤1伤害1攻速1暴击	1攻速2伤害3雷电4平台5暴击6易伤79核8双倍秒伤a等级
18	22453 11324	   	277.47	橙橙1易伤1伤害1攻速1暴击	1攻速2伤害3雷电4平台5暴击6易伤79核8双倍秒伤a金币生成
19	22453 11321	   	277.37	橙橙1易伤1伤害1攻速1暴击	1攻速2伤害3雷电4平台5暴击6易伤79核8双倍秒伤a技能点
20	22453 11323	   	277.37	橙橙1易伤1伤害1攻速1暴击	1攻速2伤害3雷电4平台5暴击6易伤79核8双倍秒伤a掉矿
