0	Index      	 *	Score 	Summary	Detail	
1	22413 31625	 * 	301.56	橙橙2易伤1伤害1攻速	1全技能2平台3基础对愈48易伤5攻速6基地爆炸79核a伤害
2	22412 32125	 * 	294.96	橙橙2伤害1易伤1矿等	1全技能2平台3基础对愈4易伤5金币生成69核7a伤害8矿等
3	45334 24315	   	281.94	橙橙2易伤3时间1攻速	169时间2加一3攻速49易伤59掉矿7挖青8a核9序列升级
4	22413 31621	   	281.50	橙橙2易伤1攻速	1全技能2平台3基础对愈48易伤5攻速6基地爆炸79核a等级
5	22413 31622	   	281.50	橙橙2易伤1攻速	1全技能2平台3基础对愈48易伤5攻速6基地爆炸79核a赏金塔
6	22413 31626	   	281.50	橙橙2易伤1攻速	1全技能2平台3基础对愈48易伤5攻速6基地爆炸79核a金币生成
7	22413 31623	   	281.40	橙橙2易伤1攻速1挖怪	1全技能2平台3基础对愈48易伤5攻速6基地爆炸79核a挖怪
8	22412 32121	   	277.37	橙橙1易伤1伤害1矿等	1全技能2平台3基础对愈4易伤5金币生成69核7伤害8矿等a等级
9	22412 32122	   	277.37	橙橙1易伤1伤害1矿等	1全技能2平台3基础对愈4易伤5金币生成69核7伤害8矿等a赏金塔
10	22412 32126	   	277.37	橙橙1易伤1伤害1矿等	1全技能2平台3基础对愈4易伤5a金币生成69核7伤害8矿等
11	22412 32123	   	277.27	橙橙1易伤1伤害1矿等1挖怪	1全技能2平台3基础对愈4易伤5金币生成69核7伤害8矿等a挖怪
12	21263 24224	 * 	275.14	紫橙2易伤2伤害	1全技能2双倍秒伤38伤害46核5防空对愈7a易伤9时间
13	26313 24224	   	275.14	紫橙2易伤2伤害	1全技能26核3双倍秒伤48伤害5防空对愈7a易伤9时间
14	21263 24631	   	275.09	紫橙2易伤1伤害1矿等	1全技能2双倍秒伤3伤害46核5防空对愈7a易伤8矿等9时间
15	26313 24631	   	275.09	紫橙2易伤1伤害1矿等	1全技能26核3双倍秒伤4伤害5防空对愈7a易伤8矿等9时间
16	22412 32325	   	273.49	橙橙1易伤1伤害1攻速	1全技能2平台3基础对愈4易伤5金币生成69核7伤害8赏金邻近a攻速
17	22413 31125	   	273.49	橙橙1易伤1伤害1攻速	1全技能2平台3基础对愈4易伤5攻速6基地爆炸79核8立即金币a伤害
18	22413 31225	   	273.49	橙橙1易伤1伤害1攻速	1全技能2平台3基础对愈4易伤5攻速68基地爆炸79核a伤害
19	22413 21125	   	273.39	橙橙1易伤1伤害1攻速	1全技能2平台3基础对愈4易伤5攻速6挖尘79核8立即金币a伤害
20	22413 21325	   	273.29	橙橙1易伤1伤害1攻速	1全技能2平台3基础对愈4易伤5攻速68挖尘79核a伤害
