0	Index      	 *	Score 	Summary	Detail	
1	41243 36222	 * 	262.08	橙橙2易伤1暴击	1立即金币24易伤3等级5最后敌人6激光减费7a核8基础对甲9暴击
2	41113 12346	 * 	251.88	橙4易伤2矿等2时间	1立即金币256a易伤3电塔对甲4a时间7加一8核9a矿等a序列升级
3	15111 61311	   	248.28	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a赏金邻近
4	15111 61312	   	248.28	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a随机矿
5	15111 61313	   	248.28	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a立即金币
6	15111 61316	   	248.28	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a赏金塔
7	15111 61314	   	248.18	橙橙2易伤1策反	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a挖尘
8	15111 61315	   	248.18	橙橙2易伤1策反1挖怪	1策反2雷电3等级49易伤5最后敌人6双倍秒伤78核a挖怪
9	15621 33211	   	243.52	橙橙1易伤1攻速1全技能1策反	1策反2雷电3攻速4双倍矿5全技能68核7激光减费9赏金邻近a易伤
10	65233 33125	   	243.52	橙橙1易伤1暴击1全技能1策反	1技能点2雷电3暴击4全技能5易伤6低血量敌人7基地爆炸8策反9a核
11	65233 22125	   	243.42	橙橙1易伤1暴击1全技能1策反	1技能点26雷电3暴击4全技能5易伤7双倍秒伤8策反9a核
12	14321 21663	   	243.32	橙橙1易伤1攻速1平台1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9平台a易伤
13	23565 21332	   	242.41	橙橙1易伤1暴击	1时间2雷电3暴击4加一5金币生成6低血量敌人79核8等级a易伤
14	23565 41332	   	242.41	橙橙1易伤1暴击	1时间2雷电3暴击4加一5金币生成6基地爆炸79核8等级a易伤
15	15111 61351	   	242.16	橙橙1易伤1攻速1策反	1策反2雷电3等级4易伤5最后敌人6双倍秒伤78核9时间a攻速
16	41361 23126	 * 	241.64	橙4易伤2伤害	13立即金币267a易伤46伤害5赏金塔6序列升级8雷电9核
17	23535 31633	 * 	241.07	橙橙1伤害1攻速1暴击	1时间2雷电3暴击4挖青5伤害6挖尘79核8攻速a等级
18	23535 31631	   	240.97	橙橙1伤害1攻速1暴击	1时间2雷电3暴击4挖青5伤害6挖尘79核8攻速a技能点
19	23535 31632	   	240.97	橙橙1伤害1攻速1暴击	1时间2雷电3暴击4挖青5伤害6挖尘79核8攻速a掉矿
20	41362 22216	 * 	239.12	橙3易伤2伤害1矿等	13立即金币28a易伤4a伤害5矿等6最后敌人7a雷电9核a序列升级
21	16351 33315	   	239.06	橙3易伤1伤害1矿等1全技能1策反	1策反25a易伤3基地爆炸4全技能6伤害7矿等8核9时间
22	15621 33236	 * 	238.55	橙橙2攻速1矿等1全技能1策反	1策反2雷电3a攻速4双倍矿5全技能68核7激光减费9矿等
23	16351 33326	   	238.52	橙2易伤2伤害1矿等1攻速1全技能1策反	1策反25易伤3基地爆炸4全技能69伤害7矿等8核a攻速
24	41242 32216	   	237.13	橙4易伤2矿等	1立即金币248a易伤3等级5a矿等6挖青7a雷电9核a序列升级
25	41113 42346	 * 	236.74	橙3易伤2矿等3时间	1立即金币25a易伤3电塔对甲46a时间7加一8核9a矿等a序列升级
26	41113 16235	 * 	236.30	橙5易伤2时间	1立即金币25679易伤3电塔对甲49时间89掉矿9序列升级a核
27	41211 26222	   	234.20	橙橙1易伤1暴击	1立即金币2易伤35等级456低血量敌人5序列升级7a核8基础对甲9暴击
28	41221 56222	   	234.20	橙橙1易伤1暴击	1立即金币2易伤35等级45基地爆炸5序列升级6双倍矿7a核8基础对甲9暴击
29	41214 26222	   	234.10	橙橙1易伤1暴击	1立即金币2易伤3等级456低血量敌人7a核8基础对甲9暴击
30	41221 36222	   	234.10	橙橙1易伤1暴击	1立即金币2易伤35等级45基地爆炸5序列升级6激光减费7a核8基础对甲9暴击
31	41231 36222	   	234.10	橙橙1易伤1暴击	1立即金币2易伤35等级45最后敌人5序列升级6激光减费7a核8基础对甲9暴击
32	41251 36222	   	234.10	橙橙1易伤1暴击	1立即金币2易伤35等级45敌人爆炸5序列升级6激光减费7a核8基础对甲9暴击
33	15111 61331	   	233.86	橙橙1易伤1攻速1策反	1策反2雷电3等级4易伤5最后敌人6双倍秒伤78核9低血量敌人a攻速
34	15111 61361	   	233.86	橙橙1易伤1攻速1策反	1策反2雷电3等级4易伤5最后敌人6双倍秒伤78核9基地爆炸a攻速
35	14321 21613	   	233.66	橙橙1易伤1攻速1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9等级a易伤
36	14321 21652	   	233.66	橙橙1易伤1攻速1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9易伤a基地爆炸
37	14321 21653	   	233.66	橙橙1易伤1攻速1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9易伤a赏金邻近
38	14321 21651	   	233.56	橙橙1易伤1攻速1策反	1策反2双倍秒伤3随机矿4防空对甲5攻速68核7激光减费9易伤a双倍物品
