0	Index      	 *	Score 	Summary	Detail	
1	12233 26451	 * 	283.20	橙3易伤3伤害3攻速	1随机矿29a攻速3时间49a伤害59a易伤6核7双倍物品8额外掉落9a序列升级
2	15134 53621	 * 	282.14	橙橙2易伤1伤害1暴击	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9暴击a伤害
3	15134 53743	 * 	281.75	橙橙3易伤1平台	1随机矿29a敌人爆炸3加一4双倍秒伤59a易伤67核8平台9a序列升级
4	15134 53713	   	281.65	橙橙3易伤1平台	1随机矿2a敌人爆炸3加一4双倍秒伤59a易伤67核8平台a序列升级
5	12233 26222	   	276.12	橙橙1易伤1伤害1攻速1暴击	1随机矿2攻速3时间4伤害5易伤6a核7双倍物品8低血量敌人9暴击
6	15134 53741	   	275.72	橙橙2易伤1矿等1平台	1随机矿29敌人爆炸3加一4双倍秒伤59易伤67核8平台9序列升级a矿等
7	15134 53711	   	275.62	橙橙2易伤1矿等1平台	1随机矿2敌人爆炸3加一4双倍秒伤59易伤67核8平台a矿等
8	15134 53633	   	271.89	橙橙3易伤	1随机矿2敌人爆炸3加一4双倍秒伤58a易伤67核9最后敌人
9	15134 53611	   	265.96	橙橙2易伤1矿等	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9等级a矿等
10	52463 22122	   	265.28	橙橙1易伤1矿等1攻速1暴击	1技能2攻速3最后敌人4低血量敌人5矿等6a核7双倍物品8易伤9暴击
11	42463 22122	   	265.18	橙橙1易伤1矿等1攻速1暴击	1核弹2攻速3最后敌人4低血量敌人5矿等6a核7双倍物品8易伤9暴击
12	52423 22122	   	265.18	橙橙1易伤1矿等1攻速1暴击	1技能2攻速3最后敌人4挖尘5矿等6a核7双倍物品8易伤9暴击
13	42423 22122	   	265.08	橙橙1易伤1矿等1攻速1暴击	1核弹2攻速3最后敌人4挖尘5矿等6a核7双倍物品8易伤9暴击
14	15134 53623	   	262.08	橙橙2易伤1暴击	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9暴击a立即金币
15	15134 53622	   	261.98	橙橙2易伤1暴击	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9暴击a挖尘
16	15134 53624	   	261.98	橙橙2易伤1暴击	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9暴击a挖青
17	53243 22122	   	259.69	橙橙1易伤1矿等1暴击1策反	1技能2最后敌人3时间4策反5矿等6a核7双倍物品8易伤9暴击
18	15134 53723	   	258.19	橙橙2易伤1平台	1随机矿2a敌人爆炸3加一4双倍秒伤5a易伤67核8平台9立即金币a序列升级
19	15134 53742	   	258.19	橙橙2易伤1平台	1随机矿29敌人爆炸3加一4双倍秒伤59易伤67核8平台9序列升级a技能
20	15134 53712	   	258.09	橙橙2易伤1平台	1随机矿2敌人爆炸3加一4双倍秒伤59易伤67核8平台a技能
21	15134 53744	   	258.09	橙橙2易伤1平台	1随机矿29敌人爆炸3加一4双倍秒伤59易伤67核8平台9序列升级a技能点
22	15134 53714	   	257.99	橙橙2易伤1平台	1随机矿2敌人爆炸3加一4双倍秒伤59易伤67核8平台a技能点
23	12433 21211	   	257.35	橙3易伤2伤害2攻速1全技能	1随机矿2a攻速3最后敌人4a伤害57a易伤6核8额外掉落9全技能a序列升级
24	15143 26363	   	256.93	橙橙2易伤	1随机矿247敌人爆炸3加一57易伤69核7序列升级8技能a时间
25	15134 53182	   	256.73	橙橙2易伤	1随机矿2敌人爆炸3加一4双倍秒伤5a易伤67核8最后敌人9时间
26	15134 53382	   	256.73	橙橙2易伤	1随机矿2敌人爆炸3加一4双倍秒伤5a易伤67核8基地爆炸9时间
27	15134 53482	   	256.73	橙橙2易伤	1随机矿2敌人爆炸3加一4双倍秒伤5a易伤67核8低血量敌人9时间
28	52243 26222	   	256.06	橙橙1易伤1攻速1暴击	1技能2攻速3时间4随机矿5易伤6a核7双倍物品8低血量敌人9暴击
29	42243 26222	   	255.96	橙橙1易伤1攻速1暴击	1核弹2攻速3时间4随机矿5易伤6a核7双倍物品8低血量敌人9暴击
30	15134 53643	   	255.37	橙橙2易伤	1随机矿2敌人爆炸3加一4双倍秒伤58易伤67核9低血量敌人a核弹
31	15134 53221	   	254.06	橙橙1易伤1伤害1暴击	1随机矿2敌人爆炸3加一4双倍秒伤5易伤67核8立即金币9暴击a伤害
32	11143 21413	   	254.06	橙橙1易伤1伤害1暴击	1随机矿2电塔对甲3挖青4雷电5基地爆炸6易伤7a核8暴击9伤害
