0	Index      	 *	Score 	Summary	Detail	
1	24151 62132	 * 	288.32	DCR|3VULN|2MLV|2ASPD|1DMG	1DMG|2TBNT|35ASPD|45aVULN|5BPWR|69MLV|7RAT|8RCR
2	16323 45221	 * 	287.68	DCR|3VULN|3MLV|1DMG|2DUR|1SELL	1BBNT|289VULN|39DUR|479MLV|5SELL|6RCR|9BPWR|aDMG
3	16351 26211	 * 	287.04	DCR|4VULN|1TLV|1MLV|2DUR|1CDMG	1BBNT|2458VULN|35DUR|5BPWR|6CDMG|7MLV|9RCR|aTLV
4	25132 41511	 * 	284.61	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2VULN|3FEWX|4ERES|5DUR|6LHND|78RCR|9CDMG|aMLV
5	25232 41511	   	284.51	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2VULN|3DUST|4ERES|5DUR|6LHND|78RCR|9CDMG|aMLV
6	25332 51511	   	284.51	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2VULN|3LHND|4ERES|5DUR|6BEXP|78RCR|9CDMG|aMLV
7	25121 56211	 * 	282.90	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1DMG|2aVULN|3FEWX|49MLV|5TLV|6RAT|7RCR|8AAC
8	25321 55311	   	282.90	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1DMG|2aVULN|3LHND|49MLV|5TLV|6RAT|7AAC|8RCR
9	25221 55311	   	282.80	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1DMG|2aVULN|3DUST|49MLV|5TLV|6RAT|7AAC|8RCR
10	25341 31311	   	282.26	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1DMG|2aVULN|3LHND|4RAT|5ASPD|6TLV|79MLV|8RCR
11	25313 11522	 * 	280.24	DCR|DCR|2DMG|1VULN|1MLV	19DMG|2VULN|36LHND|4MDPS|5CGEN|78RCR|aMLV
12	25313 11513	 * 	278.18	DCR|DCR|2VULN|1DMG|1CDMG	1DMG|2aVULN|36LHND|4MDPS|5CGEN|78RCR|9CDMG
13	12151 41135	 * 	276.88	DCR|2VULN|2MLV|1TLV|2ASPD	1BBNT|2CGEN|35ASPD|45VULN|5BPWR|6RAT|7TLV|8RCR|9aMLV
14	21133 41511	   	276.30	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2LWND|3FEWX|4ERES|5VULN|6LHND|78RCR|9CDMG|aMLV
15	25313 11511	   	276.30	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2VULN|36LHND|4MDPS|5CGEN|78RCR|9CDMG|aMLV
16	21233 41511	   	276.20	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2LWND|3DUST|4ERES|5VULN|6LHND|78RCR|9CDMG|aMLV
17	21333 51511	   	276.20	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2LWND|3LHND|4ERES|5VULN|6BEXP|78RCR|9CDMG|aMLV
18	22523 51511	   	276.20	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2ERES|3LHND|4BEXP|5VULN|6FEWX|78RCR|9CDMG|aMLV
19	26133 51511	   	276.20	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2LHND|3FEWX|4ERES|5VULN|6BEXP|78RCR|9CDMG|aMLV
20	26233 51511	   	276.20	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DMG|2LHND|3DUST|4ERES|5VULN|6FEWX|78RCR|9CDMG|aMLV
21	25321 15363	 * 	274.60	DCR|3VULN|1TLV|1MLV|1DMG|1ASPD	1DMG|268VULN|3LHND|4MLV|5TLV|7RPLT|9RCR|aASPD
22	36343 31311	   	274.32	DCR|2VULN|2MLV|1TLV|1DMG	1CGEN|2RAT|3DMG|4DUR|5aVULN|6TLV|79MLV|8RCR
23	21624 21328	 * 	273.87	DCR|3DMG|2MLV|1TLV|2ASPD|1CDMG	167DMG|2LWND|3MBVNT|47MLV|57ASPD|7BPWR|8TLV|9CDMG|aRCR
24	26624 21328	   	273.87	DCR|3DMG|2MLV|1TLV|2ASPD|1CDMG	167DMG|2LHND|3MBVNT|47MLV|57ASPD|7BPWR|8TLV|9CDMG|aRCR
25	24151 41131	 * 	272.66	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG	1DMG|2TBNT|35ASPD|45VULN|5BPWR|6RAT|7TLV|8RCR|9MLV|aAEWIND
26	24151 41132	   	272.66	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG|1MSE	1DMG|2TBNT|35ASPD|45VULN|5BPWR|6RAT|7TLV|8RCR|9MLV|aMSE
27	24151 41133	   	272.66	DCR|2VULN|1TLV|2ASPD|1MLV|1DMG	1DMG|2TBNT|35ASPD|45VULN|5BPWR|6RAT|7TLV|8RCR|9MLV|aMDPS
28	21642 11515	   	271.36	DCR|DCR|2VULN|1DMG	1DMG|2LWND|3MBVNT|4LSRHEA|5RAT|69RCR|7RPLT|8aVULN
29	25612 11215	   	271.36	DCR|DCR|2VULN|1DMG	1DMG|2aVULN|3VENFST|4MBVNT|5RAT|69RCR|7RPLT|8LHND
30	25313 11523	   	270.93	DCR|DCR|2DMG|1VULN|1AAC	19DMG|2VULN|36LHND|4MDPS|5CGEN|78RCR|aAAC
31	36143 31311	   	270.50	DCR|2VULN|2MLV|1TLV|1ASPD	1CGEN|2RAT|3ASPD|4DUR|5aVULN|6TLV|79MLV|8RCR
32	25321 34633	 * 	269.37	DCR|2VULN|2DMG|1TLV|1MLV|1AAC	1aDMG|27VULN|3LHND|4MLV|5TLV|6TBNT|8AAC|9RCR
33	25341 31315	 * 	268.77	DCR|2MLV|1VULN|1TLV|2ASPD|1DMG	1DMG|2VULN|3LHND|4RAT|5aASPD|6TLV|79MLV|8RCR
34	16421 26211	   	268.73	DCR|3VULN|1TLV|1MLV|1AAC|1CDMG	1BBNT|258VULN|3AAC|45ERES|5BPWR|6CDMG|7MLV|9RCR|aTLV
35	24153 32132	 * 	267.76	DCR|2VULN|2MLV|2DMG|1ASPD	16DMG|2TBNT|3ASPD|4aVULN|59MLV|7RAT|8RCR
36	16323 45222	 * 	267.62	DCR|3VULN|3MLV|2DUR|1SELL	1BBNT|289VULN|39DUR|479MLV|5SELL|6RCR|9BPWR|aCGEN
37	16323 45223	 * 	267.52	DCR|3VULN|3MLV|2DUR|1SELL	1BBNT|289VULN|39DUR|479MLV|5SELL|6RCR|9BPWR|aERES
38	21621 52311	   	267.28	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2LWND|3MBVNT|4aMLV|5TLV|6RCR|7DUR|89VULN
39	26621 52311	   	267.28	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2LHND|3MBVNT|4aMLV|5TLV|6RCR|7DUR|89VULN
40	16323 43225	 * 	267.09	DCR|3VULN|2MLV|3DUR|1AAC|1SELL	1BBNT|289VULN|379DUR|49MLV|5SELL|6RCR|9BPWR|aAAC
41	25313 11516	   	266.99	DCR|DCR|1VULN|1DMG|1AAC|1CDMG	1DMG|2VULN|36LHND|4MDPS|5CGEN|78RCR|9CDMG|aAAC
42	21621 52315	   	266.56	DCR|3VULN|1TLV|1MLV|1DMG	1DMG|2LWND|3MBVNT|4MLV|5TLV|6RCR|7DUR|89aVULN
43	16323 21211	   	266.50	DCR|4VULN|1TLV|1MLV|1SELL	1BBNT|2678VULN|3DUR|4MLV|5SELL|9RCR|aTLV
44	16355 21211	   	266.50	DCR|4VULN|1TLV|1MLV|1SELL	1BBNT|2478VULN|3DUR|5SELL|6MLV|9RCR|aTLV
45	16323 43224	 * 	266.45	DCR|3VULN|2MLV|3DUR|1ASPD|1SELL	1BBNT|289VULN|379DUR|49MLV|5SELL|6RCR|9BPWR|aASPD
46	25121 53311	   	266.01	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aVULN|3FEWX|49MLV|5TLV|6RAT|7ZMB|8RCR
47	25121 56311	   	266.01	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aVULN|3FEWX|49MLV|5TLV|6RAT|7RCR|8ZMB
48	25321 53311	   	266.01	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aVULN|3LHND|49MLV|5TLV|6RAT|7ZMB|8RCR
49	25512 62132	   	266.01	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aVULN|3TLV|4RCVC|5BBNT|69MLV|7RAT|8RCR
50	25532 62132	   	266.01	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aVULN|3TLV|4DMSP|5BBNT|69MLV|7RAT|8RCR
51	25515 12233	   	266.01	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|25VULN|3TLV|4RCVC|68MLV|7RAT|9TBNT|aRCR
52	25535 12233	   	266.01	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|25VULN|3TLV|4DMSP|68MLV|7RAT|9TBNT|aRCR
53	25221 53311	   	265.91	DCR|2VULN|2MLV|1TLV|1DMG	1DMG|2aVULN|3DUST|49MLV|5TLV|6RAT|7ZMB|8RCR
