0	Index      	 *	Score 	Summary	Detail	
1	12151 33817	 * 	287.90	DCR|3VULN|3ASPD|2DMG|1MLV	139ASPD|29aVULN|4MBVNT|5DUST|6MLV|79DMG|8RCR|9BPWR
2	12132 53262	 * 	286.91	DCR|2VULN|2TLV|3ASPD|1MLV|1CDMG	137ASPD|27VULN|4LIT|5CDMG|67TLV|7BPWR|8MLV|9RPLT|aRCR
3	62333 13133	 * 	286.61	DCR|4VULN|3MLV|2RAT	17aMLV|2379VULN|4LIT|5BEXP|67RAT|7BPWR|8RCR
4	62334 13133	   	286.61	DCR|4VULN|3MLV|2RAT	17aMLV|2379VULN|4LIT|5DUST|67RAT|7BPWR|8RCR
5	62325 21112	 * 	285.12	DCR|3VULN|2MLV|2DMG|1AAC	18MLV|23aVULN|48LHND|5AAC|6RPLT|78DMG|8BPWR|9RCR
6	62331 13151	 * 	284.53	DCR|3VULN|2MLV|1TLV|2RAT	17MLV|237VULN|4LIT|5FEWX|67RAT|7BPWR|8RCR|9DUR|aTLV
7	62334 13151	   	284.43	DCR|3VULN|2MLV|1TLV|2RAT	17MLV|237VULN|4LIT|5DUST|67RAT|7BPWR|8RCR|9DUR|aTLV
8	12283 58111	 * 	283.77	DCR|2VULN|2MLV|2TLV|2ASPD|1SELL	1aASPD|27VULN|3MBVNT|4AETHUN|5aMLV|6SELL|8aTLV|9RCR|aBPWR
9	52232 14632	 * 	283.59	DCR|DCR|2VULN|1TLV	1LIT|2RAT|36VULN|4FEWX|5RCVC|79RCR|8LWND|aTLV
10	62333 13136	   	281.07	DCR|4VULN|2MLV|1AAC|2RAT	17MLV|2379VULN|4LIT|5BEXP|67RAT|7BPWR|8RCR|aAAC
11	62334 13136	   	281.07	DCR|4VULN|2MLV|1AAC|2RAT	17MLV|2379VULN|4LIT|5DUST|67RAT|7BPWR|8RCR|aAAC
12	62333 13154	   	280.98	DCR|3VULN|2MLV|1DMG|1AAC|2RAT	17MLV|237VULN|4LIT|5BEXP|67RAT|7BPWR|8RCR|9AAC|aDMG
