0	Index      	 *	Score 	Summary	Detail	
1	42321 31421	 * 	306.46	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1BBNT|2LIT|37VULN|4CDMG|5BLASTR|69RCR|8ASPD|aTLV
2	16353 43313	 * 	292.11	DCR|2VULN|2MLV|2DMG|1TLV	17DMG|2RAT|3BBNT|47VULN|57MLV|6RCVC|7BPWR|8RCR|9DUR|aTLV
3	42321 35313	   	290.50	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1BBNT|2LIT|3VULN|4CDMG|5BLASTR|6aRCR|7DUR|8DMG|9TLV
4	41162 31313	   	282.19	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1BBNT|2LHND|3BASARM|4CDMG|5LIT|6aRCR|7VULN|8DMG|9TLV
5	42321 33313	   	282.19	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1BBNT|2LIT|3VULN|4CDMG|5BLASTR|6aRCR|7DMG|8FEWX|9TLV
6	42321 33113	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1BBNT|2LIT|3VULN|4CDMG|5BLASTR|6aRCR|7DMG|8DUST|9TLV
7	42321 36313	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1BBNT|2LIT|3VULN|4CDMG|5BLASTR|6aRCR|7BEXP|8DMG|9TLV
8	44162 31313	   	282.09	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1BBNT|2DUST|3BASARM|4CDMG|5LIT|6aRCR|7VULN|8DMG|9TLV
9	42321 34421	   	278.28	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1BBNT|2LIT|3VULN|4CDMG|5BLASTR|69RCR|7AEFBLL|8ASPD|aTLV
10	24332 43135	 * 	278.18	ACR|DCR|2MLV|2DMG|1TLV|2RAT	18RAT|28BEXP|39DMG|46RCR|5AME|78MLV|8BPWR|aTLV
11	23353 43313	   	277.96	DCR|2VULN|2MLV|1TLV|1AAC|2RAT	17RAT|2AAC|3BBNT|47VULN|57MLV|6RCVC|7BPWR|8RCR|9DUR|aTLV
