0	Index      	 *	Score 	Summary	Detail	
1	62214 13522	 * 	302.13	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1MLV|2DMSP|3LIT|4LHND|5VULN|69TLV|7aRCR|8CDMG
2	53322 11635	 * 	294.33	DCR|DCR|2VULN|2MLV	1RMIN|2aMLV|3aFEWX|4RPLT|5aVULN|6AETHUN|79RCR|8BBNT|aBPWR
3	53211 11451	 * 	286.10	DCR|4VULN|3MLV|2DUR	1RMIN|26aMLV|349aVULN|5aDUR|7BBNT|8RCR|aBPWR
4	61353 31233	   	282.87	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1MLV|2CGEN|3TBNT|4AME|5CDMG|6DMG|79RCR|8RAT|aVULN
5	34341 14333	   	281.75	DCR|DCR|2VULN|1DMG|1CDMG	1TBNT|2aVULN|3DUR|4ZMB|5DMG|69RCR|7CDMG|8BEXP
6	11154 13522	   	281.75	DCR|DCR|2TLV|1VULN|1CDMG	12LIT|3DUR|4ERES|5VULN|69TLV|7aRCR|8CDMG
7	61353 41233	   	279.70	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1MLV|2CGEN|3TBNT|4AME|5CDMG|6AAC|79RCR|8RAT|aVULN
8	53213 63112	 * 	274.60	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1RMIN|25MLV|34VULN|6DMG|7FEWX|8TLV|9ASPD|aRCR
9	53213 62112	   	274.50	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1RMIN|25MLV|34VULN|6DMG|7DUST|8TLV|9ASPD|aRCR
10	35113 11311	 * 	274.29	DCR|3VULN|2MLV|2DMG	1TBNT|2AETHUN|3AART|49DMG|59MLV|6MDPS|789VULN|9BPWR|aRCR
11	35141 11311	   	274.29	DCR|3VULN|2MLV|2DMG	1TBNT|2AETHUN|3AART|49MLV|59DMG|6MDPS|789VULN|9BPWR|aRCR
12	35115 52311	   	274.29	DCR|3VULN|2MLV|2DMG	1TBNT|2AETHUN|3AART|49DMG|589VULN|6MDPS|79MLV|9BPWR|aRCR
13	34241 14333	   	273.45	DCR|DCR|2VULN|1DMG|1CDMG	1TBNT|2aVULN|3FEWX|4ZMB|5DMG|69RCR|7CDMG|8BEXP
14	11314 13522	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	12LIT|3ERES|4LHND|5VULN|69TLV|7aRCR|8CDMG
15	13134 13522	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	1LIT|2AME|3LHND|4AEPOI|5VULN|69TLV|7aRCR|8CDMG
16	13214 13522	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	1LIT|2AME|3AEFBLL|4LHND|5VULN|69TLV|7aRCR|8CDMG
17	13312 51522	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	1LIT|2AME|3ERES|4VULN|59TLV|6aRCR|7CGEN|8CDMG
18	13312 63522	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	1LIT|2AME|3ERES|4VULN|59TLV|6CGEN|7aRCR|8CDMG
