0	Index      	 *	Score 	Summary	Detail	
1	24226 11622	 * 	312.89	DCR|DCR|1VULN|1TLV|1MLV|1ASPD|2RAT	1MLV|25RAT|3AART|4LWND|6aRCR|7TLV|8ASPD|9VULN
2	24235 11622	   	306.28	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2RAT|3AART|4CGEN|5TLV|6aRCR|7AME|8ASPD|9VULN
3	24246 11322	   	306.28	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2RAT|3AART|4FEWX|5DMSP|6aRCR|7TLV|8ASPD|9VULN
4	24153 11622	   	306.18	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2RAT|3LWND|4AART|5AEFRZ|6aRCR|7TLV|8ASPD|9VULN
5	24223 11622	   	306.18	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2RAT|3AART|4LWND|5AEFRZ|6aRCR|7TLV|8ASPD|9VULN
6	24224 11622	   	306.18	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2RAT|3AART|4LWND|5AEFBLL|6aRCR|7TLV|8ASPD|9VULN
7	24243 11322	   	306.18	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2RAT|3AART|4FEWX|5AEFRZ|6aRCR|7TLV|8ASPD|9VULN
8	24244 11322	   	306.18	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1MLV|2RAT|3AART|4FEWX|5AEFBLL|6aRCR|7TLV|8ASPD|9VULN
9	26631 16122	 * 	298.05	ACR|DCR|3MLV|1VULN|2ASPD|2DUR	168MLV|2RPLT|3VULN|48DUR|5aRCR|78ASPD|8BPWR|9MDPS
10	14226 11622	   	286.58	DCR|DCR|1VULN|1TLV|1ASPD|2RAT	1ERES|25RAT|3AART|4LWND|6aRCR|7TLV|8ASPD|9VULN
11	43126 51232	 * 	284.34	DCR|DCR|2DMG|1VULN|2DUR	17DUR|24DMG|34FEWX|4BPWR|5RAT|6VULN|8aRCR|9AART
12	24235 13142	   	283.45	DCR|DCR|1TLV|1MLV|1DMG	1MLV|2RAT|3AART|4CGEN|5TLV|6aRCR|7DUR|8DMG|9RMIN
