0	Index      	 *	Score 	Summary	Detail	
1	13213 51636	 * 	263.39	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	13BEXP|2LHND|4TBNT|5DMG|6CDMG|79RCR|8VULN|aASPD
2	54126 33232	 * 	258.69	DCR|DCR|1TLV|1DMG|1AAC	1AEFBLL|2DMG|3TBNT|4AEWIND|5BBNT|6AAC|79RCR|8TLV|aAART
3	13212 51636	 * 	257.91	DCR|DCR|1VULN|2ASPD|1CDMG	13BEXP|2LHND|4TBNT|5aASPD|6CDMG|79RCR|8VULN
4	31143 45321	   	255.45	DCR|DCR|1TLV|1DMG|1CDMG	1DUR|2FEWX|3ERES|4DMG|5CDMG|68RCR|7BEXP|9TLV|aLHND
5	31143 45322	   	255.45	DCR|DCR|1TLV|1DMG|1CDMG	1DUR|2FEWX|3ERES|4DMG|5CDMG|68RCR|7BEXP|9TLV|aLWND
6	13213 51635	   	255.45	DCR|DCR|1VULN|1DMG|1CDMG	13BEXP|2LHND|4TBNT|5DMG|6CDMG|79RCR|8VULN|aDUR
7	31143 45323	   	255.35	DCR|DCR|1TLV|1DMG|1CDMG	1DUR|2FEWX|3ERES|4DMG|5CDMG|68RCR|7BEXP|9TLV|aDUST
8	36112 15325	 * 	254.23	DCR|2TLV|2DMG|1VULN|2CDMG|1ASPD	1DUR|29CDMG|35LIT|4VULN|69DMG|7ASPD|89TLV|9BPWR|aRCR
9	31361 24623	 * 	252.94	ACR|DCR|2MLV|1VULN|1CDMG	1DUR|2FEWX|3VULN|47RCR|5RPLT|6LIT|8CDMG|9aMLV
10	16633 43322	   	252.28	DCR|DCR|1TLV|1AAC|1CDMG	1BEXP|2CDMG|3TLV|4AETHUN|5AAC|6aRCR|7LWND|8DUR|9BELT
11	32522 31612	   	252.18	DCR|DCR|1VULN|1AAC|2RAT	1DUR|2MDPS|37RAT|4AAC|5VULN|6aRCR|8BEXP|9RCVC
12	22645 33323	 * 	252.16	DCR|2VULN|1MLV|1DMG|3RAT|1AAC|2DUR	1LEGI|2AAC|38DUR|4DMG|58VULN|678RAT|8BPWR|9MLV|aRCR
13	12522 31442	   	252.08	DCR|DCR|1VULN|1AAC|2RAT	1BEXP|2MDPS|37RAT|4AAC|5VULN|6aRCR|8AEPOI|9DUR
14	12522 31642	   	252.08	DCR|DCR|1VULN|1AAC|2RAT	18BEXP|2MDPS|37RAT|4AAC|5VULN|6aRCR|9DUR
15	32522 31452	   	252.08	DCR|DCR|1VULN|1AAC|2RAT	1DUR|2MDPS|37RAT|4AAC|5VULN|6aRCR|8AEPOI|9DUST
16	32522 31642	   	252.08	DCR|DCR|1VULN|1AAC|2RAT	1DUR|2MDPS|37RAT|4AAC|5VULN|6aRCR|8BEXP|9AEPOI
17	13212 51635	   	251.63	DCR|DCR|1VULN|1ASPD|1CDMG	13BEXP|2LHND|4TBNT|5ASPD|6CDMG|79RCR|8VULN|aDUR
18	36113 35353	 * 	251.48	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1DUR|2CDMG|3LIT|4VULN|5TLV|6MLV|7RCR|8ASPD|9RAT|aDMG
19	54126 33231	   	250.38	DCR|DCR|1TLV|1DMG|1AAC	1AEFBLL|2DMG|3TBNT|4AEWIND|5BBNT|6AAC|79RCR|8TLV|aBELT
20	54126 33233	   	250.28	DCR|DCR|1TLV|1DMG|1AAC|1MSE	1AEFBLL|2DMG|3TBNT|4AEWIND|5BBNT|6AAC|79RCR|8TLV|aMSE
21	51261 22522	 * 	248.55	DCR|2VULN|3DMG|1MLV|2DUR	15AEFBLL|2RCVC|3MDPS|458DMG|58BPWR|68VULN|78DUR|9MLV|aRCR
22	33335 11346	 * 	248.50	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|2LHND|35aVULN|4AEWIND|6CDMG|7aDMG|8AART|9RCR|aBPWR
23	31361 24226	 * 	247.53	ACR|DCR|1VULN|1TLV|1AAC|1CDMG	1DUR|2FEWX|3VULN|47RCR|5RPLT|6LIT|8AAC|9TLV|aCDMG
24	33266 24122	 * 	247.30	ACR|2VULN|2MLV|2DMG|1TLV	1DUR|2aLHND|3BEXP|4RCR|57MLV|6aDMG|8TLV|9aVULN|aBPWR
25	13213 51632	   	247.14	DCR|DCR|1VULN|1DMG|1CDMG	13BEXP|2LHND|4TBNT|5DMG|6CDMG|79RCR|8VULN|aFEWX
26	13213 51634	   	247.14	DCR|DCR|1VULN|1DMG|1CDMG	13BEXP|2LHND|4TBNT|5DMG|6CDMG|79RCR|8VULN|aCGEN
27	13213 51631	   	247.04	DCR|DCR|1VULN|1DMG|1CDMG	13BEXP|2LHND|4TBNT|5DMG|6CDMG|79RCR|8VULN|aDUST
28	13213 51633	   	247.04	DCR|DCR|1VULN|1DMG|1CDMG	13BEXP|2LHND|4TBNT|5DMG|6CDMG|79RCR|8VULN|aERES
29	23143 45321	   	247.04	DCR|DCR|1TLV|1DMG|1CDMG	1LEGI|2BEXP|3ERES|4DMG|5CDMG|68RCR|7FEWX|9TLV|aLHND
30	23143 45322	   	247.04	DCR|DCR|1TLV|1DMG|1CDMG	1LEGI|2BEXP|3ERES|4DMG|5CDMG|68RCR|7FEWX|9TLV|aLWND
31	23215 51632	   	247.04	DCR|DCR|1VULN|1DMG|1CDMG	1LEGI|23BEXP|4TBNT|5DMG|6CDMG|79RCR|8VULN|aFEWX
32	23143 45323	   	246.94	DCR|DCR|1TLV|1DMG|1CDMG	1LEGI|2BEXP|3ERES|4DMG|5CDMG|68RCR|7FEWX|9TLV|aDUST
33	23215 51631	   	246.94	DCR|DCR|1VULN|1DMG|1CDMG	1LEGI|23BEXP|4TBNT|5DMG|6CDMG|79RCR|8VULN|aDUST
34	23215 51633	   	246.94	DCR|DCR|1VULN|1DMG|1CDMG	1LEGI|23BEXP|4TBNT|5DMG|6CDMG|79RCR|8VULN|aERES
35	36623 11225	 * 	246.60	DCR|2VULN|2TLV|1DMG|2CDMG	1DUR|29CDMG|35TLV|4ZMB|69VULN|7DMG|89LIT|9BPWR|aRCR
36	32522 35352	   	245.67	DCR|DCR|1VULN|1AAC	1DUR|2MDPS|3RAT|4AAC|5VULN|69RCR|7LWND|8LIT|aCGEN
37	31361 24521	 * 	245.58	ACR|DCR|1VULN|1TLV|1MLV	1DUR|2aFEWX|3VULN|47RCR|5RPLT|6LIT|8MLV|9TLV
38	33361 24521	   	245.58	ACR|DCR|1VULN|1TLV|1MLV	1DUR|2LHND|3VULN|47RCR|5RPLT|6LIT|8MLV|9TLV|aFEWX
39	33361 24523	   	245.58	ACR|DCR|1VULN|1TLV|1MLV	1DUR|2LHND|3VULN|47RCR|5RPLT|6LIT|8MLV|9TLV|aRMIN
40	32522 35351	   	245.57	DCR|DCR|1VULN|1AAC	1DUR|2MDPS|3RAT|4AAC|5VULN|69RCR|7LWND|8LIT|aDUST
41	32522 35353	   	245.57	DCR|DCR|1VULN|1AAC	1DUR|2MDPS|3RAT|4AAC|5VULN|69RCR|7LWND|8LIT|aBEXP
42	31361 24522	   	245.48	ACR|DCR|1VULN|1TLV|1MLV	1DUR|2FEWX|3VULN|47RCR|5RPLT|6LIT|8MLV|9TLV|aDUST
43	31361 24523	   	245.48	ACR|DCR|1VULN|1TLV|1MLV|1MSE	1DUR|2FEWX|3VULN|47RCR|5RPLT|6LIT|8MLV|9TLV|aMSE
44	33361 24522	   	245.48	ACR|DCR|1VULN|1TLV|1MLV	1DUR|2LHND|3VULN|47RCR|5RPLT|6LIT|8MLV|9TLV|aAEFRZ
45	31146 21612	 * 	245.13	DCR|DCR|1MLV|1DMG	1DUR|2FEWX|3ERES|4DMG|5AEWIND|6RAT|7MDPS|8aRCR|9MLV
46	23316 24122	 * 	244.75	ACR|3MLV|2VULN|1TLV|1DMG	1LEGI|2aBEXP|3RCR|4LWND|57aMLV|6DMG|8TLV|9aVULN|aBPWR
47	23326 24122	   	244.75	ACR|3MLV|2VULN|1TLV|1DMG	1LEGI|2aBEXP|3RCR|4LHND|57aMLV|6DMG|8TLV|9aVULN|aBPWR
48	36113 35362	   	244.54	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1DUR|2CDMG|3LIT|4VULN|5TLV|6MLV|7RCR|8ASPD|9DMG|aLHND
49	11341 24623	   	244.54	ACR|DCR|2MLV|1VULN|1CDMG	1BEXP|2FEWX|37RCR|4VULN|5RPLT|6LIT|8CDMG|9aMLV
50	36113 35361	   	244.44	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1DUR|2CDMG|3LIT|4VULN|5TLV|6MLV|7RCR|8ASPD|9DMG|aAEFRZ
51	36113 35363	   	244.44	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG|1MSE	1DUR|2CDMG|3LIT|4VULN|5TLV|6MLV|7RCR|8ASPD|9DMG|aMSE
52	23341 24623	   	244.44	ACR|DCR|2MLV|1VULN|1CDMG	1LEGI|2BEXP|37RCR|4VULN|5RPLT|6LIT|8CDMG|9aMLV
53	11133 56362	 * 	243.79	DCR|DCR|2MLV|1SELL	1BEXP|2FEWX|3ERES|49MLV|5SELL|6CGEN|78RCR|aAART
54	13212 51632	   	243.33	DCR|DCR|1VULN|1ASPD|1CDMG	13BEXP|2LHND|4TBNT|5ASPD|6CDMG|79RCR|8VULN|aFEWX
55	13212 51634	   	243.33	DCR|DCR|1VULN|1ASPD|1CDMG	13BEXP|2LHND|4TBNT|5ASPD|6CDMG|79RCR|8VULN|aCGEN
56	53312 61336	   	243.33	DCR|DCR|1VULN|1ASPD|1CDMG	1AEFBLL|2LWND|3CDMG|4BBNT|5DUST|6ZMB|79RCR|8VULN|aASPD
57	13212 51631	   	243.23	DCR|DCR|1VULN|1ASPD|1CDMG	13BEXP|2LHND|4TBNT|5ASPD|6CDMG|79RCR|8VULN|aDUST
58	13212 51633	   	243.23	DCR|DCR|1VULN|1ASPD|1CDMG	13BEXP|2LHND|4TBNT|5ASPD|6CDMG|79RCR|8VULN|aERES
59	31624 12612	   	241.96	DCR|DCR|1MLV|1AAC	1DUR|2FEWX|3AAC|4DUST|5BEXP|6RAT|7ERES|8aRCR|9MLV
60	32522 13243	   	241.89	DCR|2VULN|2DMG|1AAC|2DUR|1CDMG	19DUR|2MDPS|3RAT|4AAC|59VULN|6CDMG|7CGEN|89DMG|9BPWR|aRCR
61	11135 42315	 * 	241.65	DCR|4VULN|1MLV|1DMG	1BEXP|26FEWX|3ERES|4MLV|567aVULN|6BPWR|8DMG|9RCR
62	13135 42315	   	241.65	DCR|4VULN|1MLV|1DMG	1BEXP|26LHND|3ERES|4MLV|567aVULN|6BPWR|8DMG|9RCR
63	31333 46336	   	241.55	DCR|DCR|1VULN|1DMG|1SELL	1DUR|2FEWX|3VULN|4AEWIND|5SELL|68RCR|7CGEN|9DUST|aDMG
64	33333 46336	   	241.55	DCR|DCR|1VULN|1DMG|1SELL	1DUR|2LHND|3VULN|4AEWIND|5SELL|68RCR|7CGEN|9DUST|aDMG
65	41622 11612	   	241.52	DCR|DCR|1MLV|1ASPD	12AME|3FEWX|4RAT|5ASPD|6DUR|7MDPS|8aRCR|9MLV
66	23135 42315	   	241.45	DCR|4VULN|1MLV|1DMG	1LEGI|26BEXP|3ERES|4MLV|567aVULN|6BPWR|8DMG|9RCR
67	32532 24612	   	241.42	DCR|DCR|1MLV|1ASPD	1DUR|2MDPS|3RAT|4AEPOI|5ASPD|6FEWX|7MLV|8aRCR|9AME
68	36113 35321	   	241.37	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1DUR|2CDMG|3LIT|4VULN|5TLV|6MLV|7RCR|8ASPD|9RCVC|aAAC
69	36113 35331	   	241.37	DCR|1VULN|1TLV|1MLV|1AAC|1ASPD|1CDMG	1DUR|2CDMG|3LIT|4VULN|5TLV|6MLV|7RCR|8ASPD|9DMSP|aAAC
70	31166 21612	   	241.32	DCR|DCR|1MLV|1ASPD	1DUR|2FEWX|3ERES|4ASPD|5AEWIND|6RAT|7MDPS|8aRCR|9MLV
71	32532 22612	   	241.32	DCR|DCR|1MLV|1ASPD	1DUR|2MDPS|3RAT|4AEPOI|5ASPD|6FEWX|7ERES|8aRCR|9MLV
72	32562 22612	   	241.32	DCR|DCR|1MLV|1ASPD	1DUR|2MDPS|3RAT|4AEFBLL|5ASPD|6FEWX|7ERES|8aRCR|9MLV
73	32522 33263	 * 	241.14	DCR|1VULN|1TLV|2AAC|1DMG|1ASPD	1DUR|2MDPS|3RAT|4aAAC|5VULN|6RCR|7DMG|8TLV|9ASPD
74	31143 45311	 * 	240.94	DCR|DCR|2DMG|1CDMG	1DUR|2FEWX|3ERES|4aDMG|5CDMG|68RCR|7BEXP|9TBNT
75	23316 44122	   	240.94	ACR|3MLV|2VULN|1TLV|1ASPD	1LEGI|2aBEXP|3RCR|4LWND|57aMLV|6ASPD|8TLV|9aVULN|aBPWR
76	23326 44122	   	240.94	ACR|3MLV|2VULN|1TLV|1ASPD	1LEGI|2aBEXP|3RCR|4LHND|57aMLV|6ASPD|8TLV|9aVULN|aBPWR
77	43215 53221	 * 	240.82	DCR|2DMG|1VULN|1TLV|1MLV|1AAC	1AME|2LHND|35DMG|4TBNT|6MLV|7RCR|8TLV|9AAC|aVULN
78	36633 42123	 * 	240.23	DCR|2TLV|1MLV|1DMG|2CDMG|1AAC|2DUR	17DUR|27CDMG|37TLV|4AETHUN|5AAC|6RCR|7BPWR|8DMG|9CGEN|aMLV
79	22213 36321	 * 	239.53	DCR|2MLV|2TLV|1DMG|1AAC	1LEGI|2AAC|3RPLT|4aVENICY|5DMG|6RCR|7AART|8aTLV|9aMLV|aBPWR
