0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34172 57433	2	 * 	305.10	橙5易伤3伤害2雷电	1加一2589a易伤3全技能45a伤害5a序列升级6a雷电7核
2	34172 57443	2	   	290.57	橙4易伤3伤害3雷电	1加一258a易伤3全技能45a伤害5a序列升级69a雷电7核
3	25631 33152	9	 * 	288.99	橙5易伤2时间2攻速	1随机矿2356a易伤3a序列升级4a攻速7核8a时间9全技能
4	34737 33513	8	 * 	287.13	橙4易伤2伤害2时间1攻速	1加一237a易伤4攻速5a时间6立即金币8核9a伤害a序列升级
5	34172 57233	2	   	285.56	橙4易伤3伤害2雷电	1加一259a易伤3全技能45a伤害5a序列升级6a雷电7核8立即金币
6	34141 47485	2	   	283.22	橙4易伤2伤害2等级	1加一268a易伤3全技能4雷电5a等级7核9a伤害a序列升级
7	34172 57434	2	   	282.70	橙5易伤2伤害	1加一2589a易伤3全技能45伤害5序列升级6雷电7核
8	36214 52344	5	 * 	282.46	橙3易伤3伤害3时间	1加一2挖青3随机矿49a伤害5最后敌人6核79a时间89a易伤9a序列升级
9	26136 36131	3	 * 	281.52	橙4易伤3时间3雷电	1随机矿2全技能379a易伤479时间5额外掉落679雷电79序列升级8核
10	34541 43513	8	   	281.26	橙4易伤2伤害2暴击1时间1卖塔	1加一245a易伤3卖塔5a序列升级6时间7a暴击8核9a伤害
11	34543 43513	8	   	281.26	橙4易伤2伤害2暴击1时间1卖塔	1加一245a易伤3卖塔6时间7a暴击8核9a伤害a序列升级
12	34172 57432	2	   	279.41	橙4易伤2伤害1时间	1加一2589易伤3全技能45伤害5序列升级6雷电7核a时间
13	33432 77134	10	 * 	279.07	紫5易伤3时间1伤害2暴击	1加一2核35689易伤468时间68序列升级78暴击a伤害
14	33433 57134	10	   	279.07	紫5易伤3时间1伤害2暴击	1加一2核35689易伤458时间58序列升级78暴击a伤害
15	34172 12286	2	   	278.90	橙3易伤3伤害2时间	1加一259易伤3全技能457伤害59序列升级69时间89矿等a核
16	34172 12536	2	   	278.90	橙3易伤3伤害2时间	1加一259易伤3全技能457伤害59序列升级69时间89金币生成a核
17	25651 32313	7	   	278.18	橙5易伤2时间1伤害	1随机矿2356a易伤3a序列升级4伤害7a时间8核9a基地爆炸
18	25651 33113	8	   	278.18	橙5易伤2时间1伤害	1随机矿2356a易伤3a序列升级4伤害7核8a时间9a基地爆炸
19	25651 33133	9	   	278.18	橙5易伤2时间1伤害	1随机矿2356a易伤3a序列升级4伤害7核8a时间9a敌人爆炸
20	25651 33313	6	   	278.18	橙5易伤2时间1伤害	1随机矿2356a易伤3a序列升级4伤害7a时间8核9a基地爆炸
21	25651 32333	7	   	277.98	橙5易伤2时间1伤害	1随机矿2356a易伤3a序列升级4伤害7a时间8核9a挖尘
22	25651 33133	8	   	277.98	橙5易伤2时间1伤害	1随机矿2356a易伤3a序列升级4伤害7核8a时间9a挖尘
23	25651 33333	6	   	277.98	橙5易伤2时间1伤害	1随机矿2356a易伤3a序列升级4伤害7a时间8核9a挖尘
24	26132 41133	3	   	276.42	橙4易伤3时间2雷电	1随机矿2全技能359a易伤459时间59序列升级69雷电7额外掉落8核
25	25651 23313	5	   	276.22	橙4易伤2伤害2时间	1随机矿235a易伤3a序列升级46伤害7a时间8核9a基地爆炸
26	25653 23313	4	   	276.22	橙4易伤2伤害2时间	1随机矿235a易伤3a序列升级46伤害7a时间8核9a基地爆炸
27	25112 32313	7	   	276.22	橙4易伤2伤害2时间	1随机矿257a易伤3低血量敌人4a时间6立即金币8核9a伤害a序列升级
28	25112 32513	8	   	276.22	橙4易伤2伤害2时间	1随机矿257a易伤3低血量敌人4a时间6立即金币8核9a伤害a序列升级
29	25126 34313	4	   	276.22	橙4易伤2伤害2时间	1随机矿245a易伤37低血量敌人6a时间8核9a伤害a序列升级
30	34812 33513	8	   	276.12	橙4易伤2伤害2时间	1加一257a易伤3策反4a时间6立即金币8核9a伤害a序列升级
31	34827 33513	8	   	276.12	橙4易伤2伤害2时间	1加一247a易伤3策反5a时间6立即金币8核9a伤害a序列升级
32	25651 23333	5	   	276.02	橙4易伤2伤害2时间	1随机矿235a易伤3a序列升级46伤害7a时间8核9a挖尘
33	25653 23333	4	   	276.02	橙4易伤2伤害2时间	1随机矿235a易伤3a序列升级46伤害7a时间8核9a挖尘
