0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35336 31162	7	 * 	300.51	橙4易伤3伤害1时间1暴击	178掉矿2全技能378伤害4578易伤6核78序列升级9暴击a时间
2	35336 31112	7	   	292.56	橙4易伤3伤害1暴击	178掉矿2全技能378伤害4578易伤6核78序列升级9雷电a暴击
3	35336 31151	10	 * 	290.64	橙5易伤2伤害1等级	17掉矿2全技能37伤害45789易伤6核7序列升级a等级
4	35336 31132	7	 * 	290.25	橙5易伤3伤害	178掉矿2全技能378伤害4578a易伤6核78a序列升级9a矿等
5	35336 31115	7	   	289.91	橙4易伤3伤害1攻速	178掉矿2全技能378伤害4578易伤6核78序列升级9雷电a攻速
6	26134 22421	9	   	289.55	橙4易伤3伤害2雷电1暴击	18雷电2立即金币358伤害4678易伤8序列升级9暴击a核
7	35336 31153	9	   	288.04	橙5易伤2伤害1暴击	17掉矿2全技能37伤害45789易伤6核7序列升级a暴击
8	35336 31163	9	   	288.04	橙5易伤2伤害1暴击	17掉矿2全技能37伤害4578a易伤6核7序列升级9暴击
9	35336 31115	9	   	287.35	橙4易伤2伤害1等级1时间	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a等级
10	35336 31114	9	 * 	285.69	橙4易伤2伤害2时间	17掉矿2全技能37伤害4578易伤6核7序列升级9a时间
11	35336 31141	10	   	285.39	橙5易伤2伤害1攻速	17掉矿2全技能37伤害4578a易伤6核7序列升级9攻速
12	35336 31163	7	   	284.26	橙4易伤3伤害1暴击	178掉矿2全技能378伤害4578易伤6核78序列升级9暴击a随机矿
13	35336 31161	7	   	284.16	橙4易伤3伤害1暴击	178掉矿2全技能378伤害4578易伤6核78序列升级9暴击a挖尘
14	35336 31152	10	   	282.70	橙5易伤2伤害	17掉矿2全技能37伤害45789易伤6核7序列升级a雷电
15	35336 31116	10	   	282.10	橙4易伤2伤害1时间1攻速	17掉矿2全技能37伤害4578易伤6核7序列升级9时间a攻速
16	35336 31143	10	   	282.10	橙4易伤2伤害1时间1攻速	17掉矿2全技能37伤害4578易伤6核7序列升级9攻速a时间
17	35336 31136	7	   	281.61	橙4易伤3伤害1攻速	178掉矿2全技能378伤害4578易伤6核78序列升级9矿等a攻速
18	56126 11223	2	 * 	279.79	橙2易伤3伤害2时间2攻速1等级	1a时间23a伤害4等级58攻速6核7a易伤9立即金币a序列升级
19	35336 31111	7	   	278.91	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9雷电a随机矿
20	35336 31113	7	   	278.81	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9雷电a赏金塔
21	35336 31116	7	   	278.81	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9雷电a挖青
22	35336 31152	7	   	278.81	橙4易伤3伤害	178掉矿2全技能378伤害4578易伤6核78序列升级9挖青a雷电
23	35336 31133	7	   	278.38	橙4易伤3伤害2全技能	178掉矿2a全技能378伤害4578易伤6核78序列升级9矿等
24	35336 31143	9	 * 	276.06	橙4易伤2伤害2攻速	17掉矿2全技能37伤害4578易伤6核7序列升级9a攻速
