0	Index      	 *	Score 	Summary	Detail	
1	52113 14161	 * 	280.76	DCR|DCR|2VULN|1ASPD|1CDMG|1RPLT	14VULN|2ASPD|3DUST|5LHND|6CDMG|7FLTHEA|8aRCR|9RPLT
2	53113 14161	   	267.11	DCR|DCR|2VULN|1CDMG|1RPLT	14VULN|2AAC|3DUST|5LHND|6CDMG|7FLTHEA|8aRCR|9RPLT
3	41233 14161	 * 	263.89	DCR|DCR|2DMG|1MLV|1CDMG|1RPLT	1RMIN|23DMG|3BPWR|4MLV|5MDPS|6CDMG|7TSLARM|8aRCR|9RPLT
4	13331 13343	 * 	255.76	DCR|5VULN|1DMG|1CDMG	1TBNT|2368aVULN|4CDMG|5DUR|7RCR|9DMG
5	33331 13343	   	255.76	DCR|5VULN|1DMG|1CDMG	1BBNT|2368aVULN|4CDMG|5DUR|7RCR|9DMG
6	52214 23131	 * 	251.52	DCR|2VULN|3MLV|1DMG|2DUR|1ASPD	18VULN|2ASPD|378MLV|4FEWX|5DMG|68DUR|8BPWR|9RMIN|aRCR
7	52214 23141	   	251.52	DCR|2VULN|3MLV|1DMG|2DUR|1ASPD	18VULN|2ASPD|378MLV|4FEWX|5DMG|68DUR|8BPWR|9CGEN|aRCR
8	13331 13154	 * 	251.42	DCR|4VULN|2ASPD|2CDMG	1TBNT|236aVULN|4aCDMG|5DUR|7RCR|8BEXP|9aASPD|aBPWR
9	33331 13154	   	251.42	DCR|4VULN|2ASPD|2CDMG	1BBNT|236aVULN|4aCDMG|5DUR|7RCR|8BEXP|9aASPD|aBPWR
10	13331 13254	   	251.32	DCR|4VULN|2ASPD|2CDMG	1TBNT|236aVULN|4aCDMG|5DUR|7RCR|8DUST|9aASPD|aBPWR
11	33331 13254	   	251.32	DCR|4VULN|2ASPD|2CDMG	1BBNT|236aVULN|4aCDMG|5DUR|7RCR|8DUST|9aASPD|aBPWR
12	13315 12366	 * 	251.30	DCR|3VULN|2DMG|2ASPD|1AART	1TBNT|23aVULN|46ASPD|5aBEXP|7AART|8aDMG|9RCR|aBPWR
13	33315 12366	   	251.30	DCR|3VULN|2DMG|2ASPD|1AART	1BBNT|23aVULN|46ASPD|5aBEXP|7AART|8aDMG|9RCR|aBPWR
14	52111 12366	   	251.10	DCR|3VULN|2DMG|2ASPD|1AART	14aVULN|26ASPD|3aDUST|5BBNT|7AART|8aDMG|9RCR|aBPWR
15	16321 12166	   	251.10	DCR|3VULN|2DMG|2ASPD|1AART	1TBNT|24aDUST|345VULN|4aBPWR|6aDMG|7AART|8aASPD|9RCR
16	36321 12166	   	251.10	DCR|3VULN|2DMG|2ASPD|1AART	1BBNT|24aDUST|345VULN|4aBPWR|6aDMG|7AART|8aASPD|9RCR
