0	Index      	 *	Score 	Summary	Detail	
1	41222 53511	 * 	280.10	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1CDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9AAC|aDMG
2	13611 22216	 * 	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1AELOIC|2LIT|3MLV|47VULN|5BEXP|6aRCR|8ERES|9ASPD
3	13615 22216	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1AELOIC|2LIT|3MLV|47VULN|5LHND|6aRCR|8ERES|9ASPD
4	13615 22121	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	1AELOIC|2LIT|3MLV|47VULN|5LHND|6aRCR|8RPLT|9BASICY
5	62253 11161	 * 	268.82	ACR|DCR|3VULN|1MLV	1DUR|2FEWX|3MLV|4aRCR|569VULN|7ERES|8AME
6	13315 22266	 * 	268.39	DCR|DCR|2VULN|1DMG	1AELOIC|2LIT|3AME|47VULN|5LHND|6aRCR|8ERES|9DMG
7	41222 53521	 * 	266.35	DCR|DCR|1VULN|2CDMG|1MLV	1aCDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9BEXP
8	41222 53531	   	266.25	DCR|DCR|1VULN|2CDMG|1MLV	1aCDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9DUST
9	53111 22216	   	262.18	DCR|DCR|2VULN|1ASPD	13CGEN|2LIT|47VULN|5BEXP|6aRCR|8ERES|9ASPD
10	53115 22216	   	262.18	DCR|DCR|2VULN|1ASPD	13CGEN|2LIT|47VULN|5LHND|6aRCR|8ERES|9ASPD
11	13311 22216	   	261.98	DCR|DCR|2VULN|1ASPD	1AELOIC|2LIT|3AME|47VULN|5BEXP|6aRCR|8ERES|9ASPD
12	13315 22216	   	261.98	DCR|DCR|2VULN|1ASPD	1AELOIC|2LIT|3AME|47VULN|5LHND|6aRCR|8ERES|9ASPD
13	41222 53523	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9BEXP|aAAC
14	41222 53512	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9AAC|aLEGI
15	41222 53513	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1CDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9AAC|aZMB
16	41222 53522	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG|1MSE	1CDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9BEXP|aMSE
17	41222 53533	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9DUST|aAAC
18	41222 53532	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG|1MSE	1CDMG|2DUR|3RCVC|4MLV|5VULN|68RCR|7LHND|9DUST|aMSE
19	42622 53321	   	259.79	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1CDMG|2ZMB|3RMIN|4MLV|5VULN|6aRCR|7LHND|8DUR|9LIT
20	53115 22121	   	258.19	DCR|DCR|2VULN|1RPLT	13CGEN|2LIT|47VULN|5LHND|6aRCR|8RPLT|9BASICY
21	13315 22121	   	257.99	DCR|DCR|2VULN|1RPLT	1AELOIC|2LIT|3AME|47VULN|5LHND|6aRCR|8RPLT|9BASICY
22	54111 32261	   	256.73	DCR|DCR|2VULN	1CGEN|24BEXP|38DUST|5DUR|69VULN|7aRCR
23	62424 12222	   	256.73	DCR|DCR|2VULN	1DUR|2FEWX|3aVULN|4BASICY|5MDPS|6LIT|7AAC|89RCR
24	23551 22222	   	256.73	DCR|DCR|2VULN	1VENFST|2MDPS|3aVULN|4DUR|5LIT|6FEWX|7AAC|89RCR
25	24362 52112	 * 	256.34	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1VENFST|2aRCR|3DUST|4VULN|5CDMG|6LWND|7ASPD|8DMG|9MLV
26	24362 22112	   	256.24	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1VENFST|2aRCR|3DUST|4VULN|5CDMG|6LEGI|7ASPD|8DMG|9MLV
27	41463 13321	   	256.06	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2DUR|3VULN|4BEXP|5ASPD|6AME|7aRCR|8RMIN|9LIT
28	41433 13321	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2DUR|3VULN|4DUST|5ASPD|6AME|7aRCR|8RMIN|9LIT
29	41433 13421	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2DUR|3VULN|4DUST|5ASPD|6AME|7aRCR|8CGEN|9LIT
30	65433 13321	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1DUR|2CDMG|3VULN|4DUST|5ASPD|6AME|7aRCR|8RMIN|9LIT
31	41433 13511	   	255.86	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2DUR|3VULN|4DUST|5ASPD|6AME|7aRCR|8LIT|9ERES
32	61421 14144	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1DUR|2LHND|3VULN|4BASICY|5BEXP|6MBVNT|7MLV|89RCR|aRPLT
33	44621 32112	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1CDMG|2FEWX|3DMG|4SNIFST|5AME|6aRCR|7AAC|8LWND|9VULN
34	61223 23366	 * 	253.86	DCR|DCR|2MLV|1DMG|2DUR	18DUR|2LHND|38MLV|48LIT|5RCVC|6aRCR|7RMIN|8BPWR|9DMG
35	13611 23523	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1AELOIC|2LIT|3MLV|4VULN|5BEXP|69RCR|7BELT|8aDUR
36	61421 14141	   	252.74	DCR|DCR|1VULN|1MLV|2DUR	1aDUR|2LHND|3VULN|4BASICY|5BEXP|6MBVNT|7MLV|89RCR
37	61253 11151	   	251.91	ACR|DCR|2VULN|1MLV|2DUR	19DUR|2LHND|3MLV|4aRCR|56VULN|7ERES|8AME
38	61153 21421	   	251.20	ACR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUR|2LHND|3DMG|4aRCR|5VULN|6MLV|7CDMG|8CGEN|9LIT
39	62153 21321	   	251.20	ACR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUR|2FEWX|3DMG|4aRCR|5VULN|6MLV|7CDMG|8RMIN|9LIT
