0	Index      	 *	Score 	Summary	Detail	
1	24135 42121	 * 	266.10	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG|1RPLT	1RMIN|2DLOT|3RPLT|4aRCR|5MLV|6ASPD|7DMG|8VULN|9CDMG
2	52314 23222	 * 	258.04	DCR|DCR|2VULN|1RPLT|1SELL	14VULN|2AAC|39LIT|5SELL|6aRCR|7RPLT|8TBNT
3	31334 41333	 * 	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1MDPS|2RPLT|3DUR|4BEXP|5MLV|6VULN|7DUST|8aRCR|9CGEN
4	32234 43333	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1MDPS|2DUST|3RPLT|4BEXP|5MLV|6VULN|7DUR|8aRCR|9CGEN
5	36234 41333	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1MDPS|2DUR|3RPLT|4BEXP|5MLV|6VULN|7DUST|8aRCR|9CGEN
6	12533 53213	 * 	255.27	DCR|DCR|1VULN|1DMG|2DUR	1RCVC|2DUST|3VULN|48DUR|5LHND|6aRCR|7AME|9DMG
7	31215 26623	 * 	253.96	DCR|DCR|1VULN|3RPLT|1ASPD	1MDPS|24aRPLT|3LIT|5BEXP|68RCR|7ASPD|9VULN
8	35214 32126	 * 	250.39	DCR|2VULN|2DMG|2MLV|1AART|1RPLT	1MDPS|28VULN|3RPLT|4RMIN|58MLV|6AART|78DMG|8BPWR|9BASARM|aRCR
9	31215 26612	   	248.96	DCR|DCR|1VULN|2RPLT|1ASPD	1MDPS|24RPLT|3LIT|59BEXP|68RCR|7ASPD|aVULN
10	31215 26621	   	248.96	DCR|DCR|1VULN|2RPLT|1ASPD	1MDPS|24RPLT|3LIT|5BEXP|68RCR|7ASPD|9VULN|aLHND
11	31215 26622	   	248.96	DCR|DCR|1VULN|2RPLT|1ASPD	1MDPS|24RPLT|3LIT|5BEXP|68RCR|7ASPD|9VULN|aFEWX
12	12533 53413	   	248.72	DCR|DCR|1VULN|1DMG	1RCVC|2DUST|3VULN|4DUR|58LHND|6aRCR|7AME|9DMG
13	12533 53313	   	248.62	DCR|DCR|1VULN|1DMG	1RCVC|2DUST|3VULN|4DUR|5LHND|6aRCR|78AME|9DMG
14	11333 63831	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7BLASTR|8aRCR|9CGEN
15	11333 63871	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7BLASTR|8aRCR|9TLV
16	11333 64331	   	247.54	DCR|DCR|1VULN|1MLV|1AART	1RCVC|2AART|3MBVNT|4LWND|5VULN|6MLV|7aRCR|8AIRARM|9CGEN
