0	Index      	 *	Score 	Summary	Detail	
1	24623 53321	 * 	275.08	DCR|DCR|2VULN|1MLV|1CDMG	1FRZARM|2DMSP|3TBNT|4MLV|5LIT|68VULN|79RCR|aCDMG
2	64121 13611	 * 	274.70	ACR|DCR|2VULN|2DMG|1CDMG	1aRCR|2RCVC|37DMG|4SNIFST|57VULN|67FEWX|7BPWR|8DUR|9CDMG
3	24623 53322	   	269.73	DCR|DCR|2VULN|1MLV	1FRZARM|2DMSP|3TBNT|4MLV|5LIT|68VULN|79RCR|aDUR
4	21254 15111	   	266.24	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1FRZARM|2TLV|3aRCR|4FEWX|56VULN|7MLV|8DMG|9CDMG
5	26214 15111	   	266.24	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1FRZARM|2RMIN|3aRCR|4LHND|56VULN|7MLV|8DMG|9CDMG
6	21233 66111	   	265.93	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	1FRZARM|2TLV|3aRCR|46DMG|5MLV|7DUR|8VULN|9CDMG
7	25233 66111	   	265.83	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	1FRZARM|2ERES|3aRCR|46DMG|5MLV|7DUR|8VULN|9CDMG
8	53233 66111	   	265.83	ACR|DCR|2DMG|1VULN|1MLV|1CDMG	1ERES|2FLTHEA|3aRCR|46DMG|5MLV|7DUR|8VULN|9CDMG
9	43332 37342	 * 	263.29	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2FLTHEA|3MBVNT|4DMG|5DUR|6aRCR|7MULHEA|8AELOIC|9VULN
10	24623 53323	   	261.43	DCR|DCR|2VULN|1MLV	1FRZARM|2DMSP|3TBNT|4MLV|5LIT|68VULN|79RCR|aCGEN
11	61321 43352	 * 	260.06	ACR|DCR|3DMG|1VULN|1AART	19RCR|2AART|38CGEN|4DUR|568DMG|78SPLARM|8BPWR|aVULN
12	21113 53625	   	258.29	DCR|DCR|1VULN|1MLV|2RPLT	1FRZARM|2TLV|3MLV|47RPLT|5VULN|6DUR|8ERES|9aRCR
13	24613 53321	   	257.55	DCR|DCR|2VULN|1CDMG	1FRZARM|2DMSP|3TBNT|4TLV|5LIT|68VULN|79RCR|aCDMG
14	21663 53321	   	257.45	DCR|DCR|2VULN|1CDMG	1FRZARM|2TLV|3BBNT|4AELOIC|5LIT|68VULN|79RCR|aCDMG
15	43222 14225	   	256.94	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1MLV|2FLTHEA|3LWND|4AAC|5DUR|6SELL|7VULN|8ASPD|9aRCR
16	43342 37342	   	256.88	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2FLTHEA|3MBVNT|4ASPD|5DUR|6aRCR|7MULHEA|8AELOIC|9VULN
17	44133 12136	 * 	256.51	DCR|3VULN|3MLV|1CDMG|1RPLT	149MLV|2MDPS|347VULN|4BPWR|5RPLT|6DUR|8CDMG|aRCR
18	21233 15111	 * 	255.64	ACR|DCR|2MLV|1VULN|1DMG|1CDMG	1FRZARM|2TLV|3aRCR|4DMG|57MLV|6FEWX|8VULN|9CDMG
19	21233 55111	   	255.64	ACR|DCR|2MLV|1VULN|1DMG|1CDMG	1FRZARM|2TLV|3aRCR|4DMG|57MLV|6LHND|8VULN|9CDMG
20	25233 15111	   	255.54	ACR|DCR|2MLV|1VULN|1DMG|1CDMG	1FRZARM|2ERES|3aRCR|4DMG|57MLV|6FEWX|8VULN|9CDMG
21	25233 55111	   	255.54	ACR|DCR|2MLV|1VULN|1DMG|1CDMG	1FRZARM|2ERES|3aRCR|4DMG|57MLV|6LHND|8VULN|9CDMG
22	53233 15111	   	255.54	ACR|DCR|2MLV|1VULN|1DMG|1CDMG	1ERES|2FLTHEA|3aRCR|4DMG|57MLV|6FEWX|8VULN|9CDMG
23	53233 55111	   	255.54	ACR|DCR|2MLV|1VULN|1DMG|1CDMG	1ERES|2FLTHEA|3aRCR|4DMG|57MLV|6LHND|8VULN|9CDMG
24	63633 15111	   	255.54	ACR|DCR|2MLV|1VULN|1DMG|1CDMG	1aRCR|2TLV|3MSLFST|4DMG|57MLV|6FEWX|8VULN|9CDMG
25	43335 37122	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2FLTHEA|3MBVNT|4DMG|5VULN|6aRCR|7MSLREG|8DMSP|9LWND
26	43336 37342	   	254.89	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2FLTHEA|3MBVNT|4DMG|5DUST|6aRCR|7MULHEA|8AELOIC|9VULN
27	62421 25311	   	253.16	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9BEXP|aFLTHEA
28	62421 25312	   	253.16	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9aBEXP
29	62421 25321	   	253.16	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9BBNT|aFEWX
30	62421 25323	   	253.16	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9BBNT|aRMIN
31	62421 25313	   	253.06	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9BEXP|aCANARM
32	62421 25322	   	253.06	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9BBNT|aDLOT
33	62421 25331	   	253.06	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9DUST|aFLTHEA
34	62421 25332	   	253.06	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9DUST|aBEXP
35	62421 25333	   	253.06	ACR|DCR|2VULN|2DUR|1ASPD|1RPLT	18RCR|2RPLT|37DUR|4ASPD|57ERES|67VULN|7BPWR|9DUST|aRMIN
36	24613 53322	   	252.20	DCR|DCR|2VULN	1FRZARM|2DMSP|3TBNT|4TLV|5LIT|68VULN|79RCR|aDUR
37	21663 53322	   	252.10	DCR|DCR|2VULN	1FRZARM|2TLV|3BBNT|4AELOIC|5LIT|68VULN|79RCR|aDUR
38	11146 33226	   	252.00	DCR|DCR|2VULN	1MDPS|2ERES|38VULN|4DUR|59RMIN|6aRCR|7LHND
39	11146 33236	   	252.00	DCR|DCR|2VULN	1MDPS|2ERES|38VULN|4DUR|5RMIN|6aRCR|79LHND
40	43331 33188	 * 	250.16	DCR|2VULN|3MLV|2DMG|1RPLT	178MLV|2FLTHEA|3MBVNT|48DMG|5DMSP|68VULN|8BPWR|9RPLT|aRCR
41	41463 31333	   	248.78	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2LHND|3FEWX|4AAC|5VULN|6BEXP|7ERES|89RCR|aASPD
42	43345 37122	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2FLTHEA|3MBVNT|4ASPD|5VULN|6aRCR|7MSLREG|8DMSP|9LWND
43	43346 37342	   	248.48	DCR|DCR|1VULN|1MLV|1ASPD	1MLV|2FLTHEA|3MBVNT|4ASPD|5DUST|6aRCR|7MULHEA|8AELOIC|9VULN
44	26233 64111	   	248.30	ACR|DCR|2DMG|1VULN|1CDMG	1FRZARM|2RMIN|3aRCR|46DMG|5AME|7DUR|8VULN|9CDMG
45	64133 16111	   	248.30	ACR|DCR|2DMG|1VULN|1CDMG	1aRCR|2RCVC|35DMG|4LHND|6MSLTOX|7DUR|8VULN|9CDMG
46	64123 14111	   	248.24	ACR|DCR|1VULN|1DMG|1MLV|1CDMG	1aRCR|2RCVC|3DMG|4SNIFST|5RMIN|6MLV|7DUR|8VULN|9CDMG
47	44133 32136	   	248.20	DCR|3VULN|3MLV|1CDMG|1RPLT	149MLV|2MDPS|347VULN|4BPWR|5RPLT|6LHND|8CDMG|aRCR
48	43335 13141	 * 	246.42	DCR|3VULN|2DMG|1MLV|1CDMG	1MLV|2FLTHEA|3MBVNT|4aDMG|589VULN|6CDMG|7RCR
49	62422 21226	 * 	246.41	ACR|DCR|1VULN|2ASPD|1CDMG|1RPLT	1aRCR|2RPLT|3DUR|49ASPD|5AAC|6VULN|7AELOIC|8CDMG
50	11633 53221	   	245.90	DCR|DCR|1VULN|2DUR|1CDMG	1MDPS|2ERES|38DUR|4FLTFST|5LIT|6VULN|79RCR|aCDMG
51	11633 53225	   	245.90	DCR|DCR|1VULN|2DUR|1ASPD	1MDPS|2ERES|38DUR|4FLTFST|5LIT|6VULN|79RCR|aASPD
