0	Index      	 *	Score 	Summary	Detail	
1	25231 32514	 * 	251.51	DCR|DCR|2DMG|2DUR|1CDMG|1SELL	14LWND|29DUR|38DMG|5CDMG|6SELL|7aRCR
2	21123 26416	 * 	250.83	DCR|DCR|2MLV|1VULN	16LWND|25FEWX|3TLV|46MLV|6BPWR|7ERES|8aRCR|9VULN
3	12122 22416	   	250.73	DCR|DCR|2MLV|1VULN	12BEXP|3ERES|45MLV|6TLV|7LWND|8aRCR|9VULN
4	12122 26416	   	250.63	DCR|DCR|2MLV|1VULN	12BEXP|3ERES|45MLV|6TLV|7DUST|8aRCR|9VULN
5	43251 63313	 * 	247.07	DCR|DCR|1VULN|1DMG|1AART|1SELL	1SELL|2LHND|3TLV|4AART|5VULN|68RCR|7FRZICY|9ERES|aDMG
6	61231 23261	 * 	242.37	DCR|DCR|2DMG|1AART|1RPLT	1AART|27LWND|3MDPS|4MSLTOX|5aDMG|69RCR|8RPLT
7	61231 23266	 * 	242.32	DCR|DCR|1DMG|1MLV|1AART|1RPLT	1AART|27LWND|3MDPS|4MSLTOX|5DMG|69RCR|8RPLT|aMLV
8	61331 34125	 * 	241.72	ACR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1AART|2LWND|39RCR|4RMIN|5AME|6DMG|7ASPD|8VULN|aRPLT
9	11322 31154	   	241.00	DCR|DCR|1VULN|1ASPD|1RPLT	1BEXP|2FEWX|3RPLT|4LHND|5VULN|6TBNT|7ASPD|8aRCR|9BBNT
10	13342 31154	   	241.00	DCR|DCR|1VULN|1ASPD|1RPLT	1BEXP|2LWND|3RPLT|4FEWX|5VULN|6TBNT|7ASPD|8aRCR|9BBNT
11	22342 31154	   	241.00	DCR|DCR|1VULN|1ASPD|1RPLT	1LWND|2BEXP|3RPLT|4FEWX|5VULN|6TBNT|7ASPD|8aRCR|9BBNT
12	43251 63322	   	240.76	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2aLHND|3TLV|4AART|5VULN|68RCR|7FRZICY|9CDMG
13	43251 63321	   	240.66	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2LHND|3TLV|4AART|5VULN|68RCR|7FRZICY|9CDMG|aDUST
14	43251 63323	   	240.66	DCR|DCR|1VULN|1CDMG|1AART|1SELL	1SELL|2LHND|3TLV|4AART|5VULN|68RCR|7FRZICY|9CDMG|aCANTOX
15	12125 12524	 * 	240.34	DCR|DCR|2DMG|1MLV|1ZMB	12BEXP|39ERES|4MLV|5ZMB|68DMG|7aRCR
16	61331 34123	 * 	239.83	ACR|DCR|1VULN|1DMG|2AART|1ASPD	1aAART|2LWND|39RCR|4RMIN|5AME|6DMG|7ASPD|8VULN
17	63462 31312	 * 	238.65	DCR|3VULN|3ASPD|1CDMG|1AART	1AART|278ERES|3RCVC|4RMIN|578VULN|678ASPD|78BPWR|9RCR|aCDMG
18	64331 12125	   	236.38	ACR|DCR|1VULN|1DMG|1AART|1RPLT|1DUR	1AART|2DUR|39RCR|4RMIN|5AME|6AAC|7DMG|8VULN|aRPLT
19	43251 63333	   	235.17	DCR|DCR|1VULN|1AART|1DUR|2SELL	19SELL|2LHND|3TLV|4AART|5VULN|68RCR|7FRZICY|aDUR
20	12123 22416	   	235.12	DCR|DCR|1VULN|1MLV	12BEXP|3ERES|4MLV|5RCVC|6TLV|7LWND|8aRCR|9VULN
21	13121 26416	   	235.12	DCR|DCR|1VULN|1MLV	1BEXP|27LWND|3TLV|4MLV|5ERES|6DMSP|8aRCR|9VULN
22	21121 26416	   	235.12	DCR|DCR|1VULN|1MLV	17LWND|2FEWX|3TLV|4MLV|5ERES|6DMSP|8aRCR|9VULN
23	22121 26416	   	235.12	DCR|DCR|1VULN|1MLV	17LWND|2BEXP|3TLV|4MLV|5ERES|6DMSP|8aRCR|9VULN
24	11122 42762	   	235.02	DCR|DCR|1VULN|1MLV	18BEXP|2FEWX|3TLV|4MLV|5MBVNT|6MDPS|79RCR|aVULN
25	11122 42862	   	235.02	DCR|DCR|1VULN|1MLV	1BEXP|2FEWX|3TLV|4MLV|5MBVNT|6MDPS|79RCR|8RCVC|aVULN
26	12123 26416	   	235.02	DCR|DCR|1VULN|1MLV	12BEXP|3ERES|4MLV|5RCVC|6TLV|7DUST|8aRCR|9VULN
27	13121 16416	   	235.02	DCR|DCR|1VULN|1MLV	1BEXP|27LWND|3TLV|4MLV|5ERES|6AELOIC|8aRCR|9VULN
28	21121 16416	   	235.02	DCR|DCR|1VULN|1MLV	17LWND|2FEWX|3TLV|4MLV|5ERES|6AELOIC|8aRCR|9VULN
