0	Index      	 *	Score 	Summary	Detail	
1	52325 52311	 * 	272.91	DCR|DCR|1VULN|1DMG|1MLV|1AART|1ZMB	1AAC|2DUR|3VULN|4AART|5DMG|6MLV|7aRCR|8ZMB|9VENTOX
2	23522 47641	 * 	269.14	ACR|DCR|2DMG|2MLV|1VULN|1AART	19FLTFST|29DMG|3MBVNT|4aRCR|5LHND|6VULN|79MLV|8AART|9BPWR
3	22112 54311	 * 	265.55	DCR|DCR|2VULN|1CDMG	12FLTFST|2BPWR|34VULN|5DUR|6aRCR|7DUST|8CDMG|9BEXP
4	22112 54331	   	265.55	DCR|DCR|2VULN|1CDMG	12FLTFST|2BPWR|34VULN|5DUR|6aRCR|7DUST|8CDMG|9LWND
5	22112 54621	   	265.55	DCR|DCR|2VULN|1CDMG	12FLTFST|2BPWR|34VULN|5DUR|6aRCR|7DUST|8LHND|9CDMG
6	23545 54411	 * 	264.65	DCR|DCR|1VULN|1DMG|1MLV|1AART	1FLTFST|2DMG|3MBVNT|4MLV|5AART|6aRCR|7CGEN|8VULN|9AME
7	23635 43411	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1AART	1FLTFST|2DMG|3CGEN|4MBVNT|5AART|6aRCR|7MLV|8VULN|9AME
8	23635 44411	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1AART	1FLTFST|2DMG|3CGEN|4MBVNT|5AART|6aRCR|7AME|8VULN|9MLV
9	23635 47411	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1AART	1FLTFST|2DMG|3CGEN|4MBVNT|5AART|6aRCR|7ERES|8VULN|9MLV
10	23311 32426	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7BBNT|8VULN|aCDMG
11	23311 36426	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3LSRICY|4DUR|5LIT|69RCR|7TBNT|8VULN|aCDMG
12	23111 32426	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7BBNT|8VULN|aCDMG
13	23111 36426	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3DUR|4BLASTR|5LIT|69RCR|7TBNT|8VULN|aCDMG
14	23141 32426	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3DUR|4BASICY|5LIT|69RCR|7BBNT|8VULN|aCDMG
15	23151 32426	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1FLTFST|2DMG|3DUR|4AIRARM|5LIT|69RCR|7BBNT|8VULN|aCDMG
16	52331 13346	   	258.65	DCR|DCR|2VULN|2DUR	1AAC|29DUR|39VULN|4LHND|5BEXP|69VENFST|7MDPS|8aRCR|9BPWR
17	23545 53231	 * 	256.57	DCR|DCR|2MLV|1DMG|1AART	1FLTFST|2DMG|3MBVNT|47MLV|5AART|6aRCR|8DUR|9BEXP
