0	Index      	 *	Score 	Summary	Detail	
1	35513 33315	 * 	284.03	ACR|DCR|3VULN|1MLV|1ASPD|1RPLT	1BBNT|2RMIN|3aRCR|4MLV|5RPLT|679VULN|8ASPD
2	31225 51315	 * 	275.68	DCR|DCR|2VULN|1ASPD|1CDMG|1ZMB	1BBNT|2ZMB|3FEWX|4AAC|5CDMG|6aRCR|79VULN|8ASPD
3	32325 72741	 * 	274.73	DCR|DCR|2VULN|2ASPD	1BBNT|28ASPD|3ERES|48LWND|5MBVNT|68VULN|7AAC|8BPWR|9aRCR
4	32225 33841	   	274.63	DCR|DCR|2VULN|2ASPD	1BBNT|28ASPD|3FEWX|4AAC|5MBVNT|68ERES|78VULN|8BPWR|9aRCR
5	32225 43841	   	274.63	DCR|DCR|2VULN|2ASPD	1BBNT|28ASPD|3FEWX|4AAC|5MBVNT|68AME|78VULN|8BPWR|9aRCR
6	35322 51315	   	271.94	DCR|DCR|2VULN|1ASPD|1RPLT	1BBNT|2RMIN|3DMSP|4RPLT|5TLV|6aRCR|79VULN|8ASPD
7	32235 71844	 * 	268.80	DCR|3VULN|3MLV|3ASPD	1BBNT|289ASPD|3FEWX|489MLV|5MBVNT|689VULN|7RMIN|89BPWR|aRCR
8	32235 72844	   	268.80	DCR|3VULN|3MLV|3ASPD	1BBNT|289ASPD|3FEWX|489MLV|5MBVNT|689VULN|7AAC|89BPWR|aRCR
9	31341 77341	 * 	268.25	DCR|DCR|2VULN|1DMG|1ZMB	1BBNT|2ZMB|3ERES|4MBVNT|5LWND|67VULN|8DMG|9aRCR
10	62343 23621	 * 	264.89	DCR|DCR|1VULN|1DMG|2DUR|1RPLT|1SELL	12DUR|3DMG|4SELL|5VULN|6aRCR|7RPLT|8TBNT|9CGEN
11	62343 23631	 * 	264.79	DCR|DCR|1VULN|1DMG|2DUR|1RPLT|1SELL	12DUR|3DMG|4SELL|5VULN|6aRCR|7RPLT|8TBNT|9ERES
12	32125 73541	   	262.18	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|36VULN|4AAC|5MBVNT|7TLV|8LHND|9aRCR
13	32125 74241	   	262.18	DCR|DCR|2VULN|1ASPD	1BBNT|2ASPD|36VULN|4AAC|5MBVNT|7FEWX|8TLV|9aRCR
