0	Index      	 *	Score 	Summary	Detail	
1	14115 81643	 * 	289.25	橙橙3易伤1攻速1平台	1加一2赏金邻近36a易伤4攻速5平台7雷电89核
2	13262 12424	 * 	281.73	橙橙2易伤1伤害1全技能	1加一25易伤3时间4双倍秒伤6全技能7伤害8赏金邻近9a核
3	12534 32478	 * 	276.84	橙橙2易伤2矿等	1加一27矿等3挖尘47电塔对甲57易伤6赏金邻近7序列升级8基地爆炸9a核
4	11233 21548	   	271.00	橙橙2易伤1暴击1攻速	1加一2激光减费3暴击4攻速56易伤7赏金邻近8雷电9a核
5	13643 25324	 * 	267.84	橙3易伤2伤害3攻速2平台	1加一27a易伤35平台467攻速7a序列升级8a伤害9核
6	14115 81642	   	267.11	橙橙2易伤1攻速1平台	1加一2赏金邻近36易伤4攻速5平台7雷电89核a等级
7	14115 81644	   	267.11	橙橙2易伤1攻速1平台	1加一2赏金邻近36易伤4攻速5平台7雷电89核a敌人爆炸
8	18622 32254	   	267.11	橙橙2易伤1攻速1平台	1加一2攻速3赏金塔4随机矿56易伤7雷电89核a平台
9	14115 81641	   	267.01	橙橙2易伤1攻速1平台1策反	1加一2赏金邻近36易伤4攻速5平台7雷电89核a策反
10	14245 63424	   	267.01	橙橙2易伤1攻速1全技能	1加一2赏金邻近3低血量敌人45易伤6双倍秒伤7攻速8全技能9a核
11	14185 63424	   	267.01	橙橙2易伤1攻速1全技能	1加一2赏金邻近35易伤4低血量敌人6双倍秒伤7攻速8全技能9a核
12	25335 12612	 * 	265.93	紫橙2伤害1易伤1矿等1攻速	12伤害39核4易伤5矿等6随机矿7时间8金币生成a攻速
13	25335 32612	   	265.93	紫橙2伤害1易伤1矿等1攻速	12伤害39核4易伤5矿等6等级7时间8金币生成a攻速
14	15682 32444	   	265.84	橙橙3易伤	1加一2掉矿3赏金塔4最后敌人5金币生成68a易伤79核
15	12186 62344	 * 	264.60	橙橙3矿等1易伤	1加一235矿等4赏金邻近6掉矿79核8激光减费a易伤
16	13634 47132	   	264.50	橙橙1易伤1伤害1矿等1平台1卖塔	1加一2易伤3平台4额外掉落5伤害6卖塔79核8挖青a矿等
17	12284 24344	   	263.39	橙橙1易伤1伤害1矿等	1加一2矿等3低血量敌人4时间5喷火对愈6伤害7易伤8散射对绿9a核
18	12288 24344	   	263.39	橙橙1易伤1伤害1矿等	1加一2矿等3低血量敌人4时间5喷火对甲6伤害7易伤8散射对绿9a核
19	12286 24344	   	263.29	橙橙1易伤1伤害1矿等	1加一2矿等3低血量敌人4时间5加农对毒6伤害7易伤8散射对绿9a核
20	13286 28344	   	263.29	橙橙1易伤1伤害1矿等	1加一2易伤3时间4矿等5毒液对毒6伤害7低血量敌人8散射对绿9a核
21	13644 83335	   	262.75	橙3易伤2伤害3攻速1平台	1加一259易伤3平台459攻速59序列升级6最后敌人7低血量敌人89伤害a核
22	13645 25324	   	262.65	橙3易伤2伤害3攻速1平台	1加一27a易伤3平台467攻速5双倍矿7a序列升级8a伤害9核
23	13151 11846	   	261.23	橙橙2易伤1矿等	1加一24易伤37技能4序列升级5立即金币6激光减费8矿等9a核
24	13151 13846	   	261.23	橙橙2易伤1矿等	1加一24易伤3技能4序列升级57立即金币6激光减费8矿等9a核
25	13152 11846	   	261.13	橙橙2易伤1矿等	1加一24易伤37技能4序列升级56激光减费8矿等9a核
26	13152 13846	   	261.13	橙橙2易伤1矿等	1加一24易伤3技能4序列升级56激光减费7立即金币8矿等9a核
27	14151 82238	   	261.13	橙橙2易伤1矿等	1加一2赏金邻近36易伤4基地爆炸5挖尘7a核8矿等9电塔对黄
28	13633 26363	   	260.97	橙橙1易伤1伤害1攻速1平台	1加一2易伤3平台4额外掉落5攻速6伤害7雷电8a核9随机矿
29	11642 34846	   	260.88	橙橙2易伤1矿等1策反	1加一23激光减费4策反5立即金币67易伤8矿等9a核
30	25332 42311	 * 	259.58	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7敌人爆炸a金币生成
31	25332 42312	   	259.58	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7敌人爆炸a雷电
32	25332 42315	   	259.58	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7敌人爆炸a最后敌人
33	25332 42316	   	259.58	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7敌人爆炸a额外掉落
34	25335 62311	   	259.58	紫橙2伤害2矿等1易伤	12伤害39核4易伤58矿等6基地爆炸7敌人爆炸a金币生成
35	25335 62312	   	259.58	紫橙2伤害2矿等1易伤	12伤害39核4易伤58矿等6基地爆炸7敌人爆炸a雷电
36	25332 42313	   	259.48	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7敌人爆炸a掉矿
37	25332 42314	   	259.48	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7敌人爆炸a挖青
38	25332 46311	   	259.48	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7挖尘a金币生成
39	25332 46312	   	259.48	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7挖尘a雷电
40	25335 42311	   	259.48	紫橙2伤害2矿等1易伤	12伤害39核4易伤58矿等6挖尘7敌人爆炸a金币生成
41	25335 42312	   	259.48	紫橙2伤害2矿等1易伤	12伤害39核4易伤58矿等6挖尘7敌人爆炸a雷电
42	25335 62313	   	259.48	紫橙2伤害2矿等1易伤	12伤害39核4易伤58矿等6基地爆炸7敌人爆炸a掉矿
43	25332 46313	   	259.38	紫橙2伤害2矿等1易伤	12伤害39核4易伤5基地爆炸68矿等7挖尘a掉矿
44	25335 42313	   	259.38	紫橙2伤害2矿等1易伤	12伤害39核4易伤58矿等6挖尘7敌人爆炸a掉矿
