0	Index      	 *	Score 	Summary	Detail	
1	13352 35533	 * 	298.51	DCR|DCR|2VULN|1DMG|2CDMG	18BEXP|28VULN|3DMSP|48CDMG|5RMIN|6aRCR|7AART|8BPWR|9DMG
2	31333 32324	   	286.56	DCR|DCR|2VULN|1DMG	1BBNT|2RMIN|3RPLT|4aVULN|5DMG|6DUR|79RCR|8MDPS
3	31345 32324	   	286.56	DCR|DCR|2VULN|1DMG	1BBNT|2RMIN|3RPLT|4DUR|5aVULN|6DMG|79RCR|8MDPS
4	32664 23123	 * 	284.45	DCR|3VULN|3DMG|3MLV	1BBNT|27aMLV|3RCVC|4MDPS|57aVULN|6RCR|7aBPWR|89aDMG
5	22251 82123	   	284.25	DCR|3VULN|3DMG|3MLV	128DMG|28BPWR|3MBVNT|468VULN|5MDPS|78aMLV|9RCR
6	22253 34337	 * 	282.59	ACR|DCR|2VULN|3DMG	128DMG|2BPWR|3MBVNT|47VULN|5aRCR|6AART|9CGEN
7	22253 34357	   	282.59	ACR|DCR|2VULN|3DMG	128DMG|2BPWR|3MBVNT|47VULN|5aRCR|6AART|9RMIN
8	21663 23513	   	278.89	DCR|3VULN|3DMG|2MLV	17aDMG|2DUR|37aVULN|4BBNT|579FEWX|6RCR|7aBPWR|8aMLV
9	35614 23121	 * 	274.79	DCR|3VULN|3DMG|3ASPD	1BBNT|27aASPD|3RCVC|4MDPS|57aVULN|6RCR|7aBPWR|89aDMG
10	21631 21651	   	273.38	DCR|2VULN|2DMG|2ASPD|1MLV|1CDMG	17DMG|2DUR|37VULN|4AART|57ASPD|6AAC|7BPWR|8RCR|9CDMG|aMLV
11	22253 46343	   	270.68	ACR|DCR|2VULN|2DMG|1ASPD|1ZMB	12DMG|2BPWR|3MBVNT|4aVULN|59RCR|6ZMB|7ASPD|8RCVC
12	22211 87633	   	270.28	DCR|3VULN|3DMG|2MLV	12aDMG|2aBPWR|3MBVNT|4TBNT|5FEWX|69aVULN|7RCR|8aMLV
13	22251 82122	   	270.18	DCR|3VULN|3DMG|2MLV	128DMG|28BPWR|3MBVNT|468VULN|5MDPS|78MLV|9RCR|aDMSP
14	22251 82124	   	270.18	DCR|3VULN|3DMG|2MLV	128DMG|28BPWR|3MBVNT|468VULN|5MDPS|78MLV|9RCR|aRMIN
15	22251 82127	   	270.18	DCR|3VULN|3DMG|2MLV	128DMG|28BPWR|3MBVNT|468VULN|5MDPS|78MLV|9RCR|aCGEN
16	22251 82128	   	270.18	DCR|3VULN|3DMG|2MLV	128DMG|28BPWR|3MBVNT|468VULN|5MDPS|78MLV|9RCR|aLHND
17	22251 82121	   	270.08	DCR|3VULN|3DMG|2MLV	128DMG|28BPWR|3MBVNT|468VULN|5MDPS|78MLV|9RCR|aMULARM
18	22251 82125	   	270.08	DCR|3VULN|3DMG|2MLV	128DMG|28BPWR|3MBVNT|468VULN|5MDPS|78MLV|9RCR|aLEGI
19	22251 82126	   	270.08	DCR|3VULN|3DMG|2MLV	128DMG|28BPWR|3MBVNT|468VULN|5MDPS|78MLV|9RCR|aDUST
20	22324 21347	   	270.03	DCR|2VULN|3DMG|2MLV|1CDMG	12aDMG|2aBPWR|3CDMG|4DLOT|5AART|6aVULN|7RCR|8aMLV|9MBVNT
21	22255 12123	   	269.19	DCR|2VULN|3DMG|3MLV	128DMG|28BPWR|3MBVNT|48VULN|5DUR|6BEXP|78aMLV|9RCR
22	22254 22123	   	269.09	DCR|2VULN|3DMG|3MLV	128DMG|28BPWR|3MBVNT|48VULN|5DUST|6DUR|78aMLV|9RCR
23	32543 23113	   	269.00	DCR|3VULN|3MLV|2DMG	1BBNT|27aMLV|3LWND|47aVULN|579FEWX|6RCR|7aBPWR|8aDMG
24	45131 52112	 * 	268.72	DCR|2VULN|3ASPD|2DMG|2MLV	18aASPD|2MDPS|35DMG|48VULN|6AAC|78MLV|8BPWR|9RCR
