0	Index      	 *	Score 	Summary	Detail	
1	51562 22222	 * 	282.40	DCR|3VULN|2DMG|2CDMG|1MLV|1ASPD|1AART	159VULN|2MLV|39DMG|4AART|6RCR|7AAC|89CDMG|9BPWR|aASPD
2	42512 32632	 * 	282.24	DCR|DCR|2VULN|1DMG|1CDMG	1NUKE|25VULN|3DMG|4BEXP|6LSRICY|7LHND|8CDMG|9aRCR
3	42233 26441	 * 	281.37	DCR|DCR|2VULN|2MLV	1NUKE|28VULN|35AME|45MLV|5BPWR|6MDPS|7MBVNT|9aRCR
4	51115 14813	   	276.80	DCR|DCR|1VULN|2MLV|1ASPD|1RPLT	1VULN|28MLV|3CANARM|4LIT|5MBVNT|6RPLT|7aRCR|9ASPD
5	51243 21622	   	275.52	DCR|DCR|2VULN|1MLV|1RPLT	15VULN|2MLV|39AME|4RPLT|6FLTFST|7BEXP|8aRCR
6	51243 23622	   	275.42	DCR|DCR|2VULN|1MLV|1RPLT	15VULN|2MLV|39AME|4RPLT|6FLTFST|7DUST|8aRCR
7	31633 41441	   	274.12	DCR|DCR|2VULN|1MLV|1ZMB	1FEWX|2MLV|3DUR|4ZMB|5MBVNT|6TLV|78VULN|9aRCR
8	31633 81441	   	274.12	DCR|DCR|2VULN|1MLV|1ZMB	1FEWX|2MLV|3DUR|4ZMB|5MBVNT|6RMIN|78VULN|9aRCR
9	41122 35532	   	273.49	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1NUKE|2FLTARM|3ASPD|4VULN|5MLV|6DUR|7aRCR|8CDMG|9ERES
10	52142 35132	 * 	271.61	DCR|DCR|2DMG|1VULN|1ASPD|1SELL	1VULN|2LHND|3BEXP|48DMG|5ASPD|6SELL|7FRZICY|9aRCR
11	51562 22221	   	268.75	DCR|3VULN|2DMG|2CDMG|1MLV|1AART	159VULN|2MLV|39DMG|4AART|6RCR|7AAC|89CDMG|9BPWR|aBEXP
12	51562 22223	   	268.65	DCR|3VULN|2DMG|2CDMG|1MLV|1AART	159VULN|2MLV|39DMG|4AART|6RCR|7AAC|89CDMG|9BPWR|aDUST
13	21562 33225	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	17LWND|2MLV|3DMG|4AART|5VULN|6ERES|8aRCR|9LHND
14	31563 21325	   	267.71	DCR|DCR|1VULN|1DMG|1MLV|1AART	1FEWX|2MLV|3DMG|4AART|5RCVC|6aRCR|7LWND|8AME|9VULN
15	21563 22325	   	267.61	DCR|DCR|1VULN|1DMG|1MLV|1AART	1LWND|2MLV|3DMG|4AART|5RCVC|6aRCR|7DUST|8AME|9VULN
16	33521 21215	 * 	266.88	ACR|DCR|2VULN|1DMG|1MLV|1AART	1FEWX|2aRCR|3DUST|45VULN|6AART|7MLV|8DMG|9TLV
17	33521 21235	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1AART	1FEWX|2aRCR|3DUST|45VULN|6AART|7MLV|8DMG|9CGEN
18	52142 35232	 * 	266.47	DCR|DCR|1VULN|2ASPD|1DMG|1SELL	1VULN|2LHND|3BEXP|4DMG|58ASPD|6SELL|7FRZICY|9aRCR
19	31213 31441	   	265.86	DCR|DCR|2VULN|1MLV	1FEWX|2MLV|3AME|4BEXP|5MBVNT|6NUKE|78VULN|9aRCR
20	42231 26441	   	265.76	DCR|DCR|2VULN|1MLV	1NUKE|28VULN|3AME|4MLV|5DMSP|6MDPS|7MBVNT|9aRCR
21	42236 26441	   	265.76	DCR|DCR|2VULN|1MLV	1NUKE|28VULN|3AME|4MLV|5RCVC|6MDPS|7MBVNT|9aRCR
22	51213 56441	   	265.61	DCR|DCR|2VULN|1MLV|1ZMB	18VULN|2MLV|3AME|4BEXP|5ZMB|6DUST|7MBVNT|9aRCR
23	53113 84451	   	265.52	ACR|DCR|2VULN|1DMG|1MLV	17VULN|2aRCR|3LWND|4RMIN|5MBVNT|6DMG|8DUR|9MLV
24	53253 24731	   	265.52	ACR|DCR|2VULN|1DMG|1MLV	17VULN|2aRCR|3DMG|4BEXP|5MBVNT|6MLV|8RMIN|9DUR
25	53243 27431	 * 	265.48	ACR|DCR|2VULN|2DMG	1aVULN|28RCR|37DMG|4FEWX|5MBVNT|6DUR|9DUST
26	53233 21851	   	265.42	ACR|DCR|2VULN|1DMG|1MLV	18VULN|2aRCR|3DMG|4DUST|5MBVNT|6DUR|7RMIN|9MLV
27	53253 24131	   	265.42	ACR|DCR|2VULN|1DMG|1MLV	17VULN|2aRCR|3DMG|4BEXP|5MBVNT|6MLV|8ERES|9DUR
