0	Index      	 *	Score 	Summary	Detail	
1	13642 16313	 * 	290.85	DCR|DCR|2DMG|1VULN|2MLV|2ZMB	1RCVC|25MLV|3VULN|49ZMB|68DMG|7aRCR
2	35653 23132	 * 	278.35	DCR|DCR|2VULN|1DMG|1AART	12LWND|3DMG|49VULN|5BBNT|6LHND|78RCR|aAART
3	14623 23114	   	277.00	DCR|DCR|2VULN|1DMG	1RCVC|2aVULN|3DMG|4DUR|5BBNT|6LHND|78RCR|9TBNT
4	14623 23131	   	277.00	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5BBNT|6LHND|78RCR|aLWND
5	14623 23133	   	277.00	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5BBNT|6LHND|78RCR|aBEXP
6	14623 23136	   	277.00	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5BBNT|6aLHND|78RCR
7	14625 33131	   	277.00	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5LHND|6TBNT|78RCR|aLWND
8	14625 33133	   	277.00	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5LHND|6TBNT|78RCR|aBEXP
9	12653 23136	   	277.00	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5BBNT|6LHND|78RCR|aDUR
10	14623 23132	   	276.90	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5BBNT|6LHND|78RCR|aDUST
11	14624 33131	   	276.90	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5DUST|6TBNT|78RCR|aLWND
12	14624 33133	   	276.90	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5DUST|6TBNT|78RCR|aDMSP
13	14625 33132	   	276.90	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5LHND|6TBNT|78RCR|aDUST
14	53613 33136	   	276.90	DCR|DCR|2VULN|1DMG	1DUST|2BEXP|39VULN|4DMG|5RCVC|6TBNT|78RCR|aDUR
15	14624 33132	   	276.80	DCR|DCR|2VULN|1DMG	1RCVC|29VULN|3DMG|4DUR|5aDUST|6TBNT|78RCR
16	21123 23646	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1LIT|2AAC|3LEGI|4MLV|5TLV|6DMG|79RCR|8VULN|aCDMG
17	21221 43441	   	270.58	DCR|DCR|2VULN|1ASPD	1LIT|2AAC|3ASPD|4LHND|56VULN|79RCR|8DUR|aBBNT
18	21221 43442	   	270.58	DCR|DCR|2VULN|1ASPD	1LIT|2aAAC|3ASPD|4LHND|56VULN|79RCR|8DUR
19	21221 43443	   	270.58	DCR|DCR|2VULN|1ASPD	1LIT|2AAC|3ASPD|4LHND|56VULN|79RCR|8DUR|aRMIN
20	12653 23114	   	268.69	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|4aVULN|5BBNT|6LHND|78RCR|9TBNT
21	12653 23131	   	268.69	DCR|DCR|2VULN|1DMG	1RCVC|2BEXP|3DMG|49VULN|5BBNT|6LHND|78RCR|aLWND
