0	Index      	 *	Score 	Summary	Detail	
1	42213 13126	 * 	295.50	DCR|DCR|3VULN|1CDMG|1AART	15LWND|235VULN|4AAC|5BPWR|6CDMG|7aRCR|8AART|9CGEN
2	62351 33116	   	295.06	DCR|DCR|3VULN|1CDMG|1RPLT|1SELL	1RPLT|2CDMG|3MDPS|469VULN|5SELL|7BBNT|8aRCR
3	23224 33533	 * 	294.74	DCR|DCR|1VULN|2ASPD|1DMG|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9DUR|aDMG
4	23224 33634	 * 	286.13	DCR|DCR|3ASPD|1VULN|2CDMG|1ZMB	13CDMG|238ASPD|3BPWR|4MDPS|5ZMB|67RCR|9DUR|aVULN
5	23224 33536	 * 	284.34	DCR|DCR|1VULN|2ASPD|2CDMG|1AART|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9DUR|aAART
6	23224 33261	 * 	283.90	DCR|DCR|1VULN|2ASPD|2CDMG|1MLV|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8TLV|9MLV|aVULN
7	23224 33461	 * 	283.90	DCR|DCR|1VULN|2ASPD|2CDMG|1MLV|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8CGEN|9MLV|aVULN
8	23224 33523	 * 	283.90	DCR|DCR|1VULN|2ASPD|2CDMG|1MLV|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9BELT|aMLV
9	32634 33116	   	281.41	DCR|DCR|3VULN|1RPLT|1ZMB	1DUST|269VULN|3FEWX|4RPLT|5ZMB|7BBNT|8aRCR
10	23224 33526	 * 	277.82	DCR|DCR|3ASPD|1VULN|2CDMG|1ZMB	13CDMG|23aASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9BELT
11	23224 33622	 * 	277.82	DCR|DCR|3ASPD|1VULN|2CDMG|1ZMB	13CDMG|238ASPD|3BPWR|4MDPS|5ZMB|67RCR|9TBNT|aVULN
12	23224 33516	 * 	277.72	DCR|DCR|3ASPD|1VULN|2CDMG|1ZMB	13CDMG|23aASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9AME
13	23224 33525	 * 	276.03	DCR|DCR|1VULN|2ASPD|2CDMG|1RPLT|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9BELT|aRPLT
14	23224 33531	 * 	274.68	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9DUR|aRMIN
15	23224 33532	 * 	274.58	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9DUR|aMBVNT
16	23224 33535	 * 	274.58	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9DUR|aAME
17	23224 33542	 * 	274.58	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9FRZFST|aDUR
18	23224 33111	 * 	274.43	DCR|DCR|1VULN|2ASPD|2CDMG|2ZMB	13CDMG|23ASPD|3BPWR|4MDPS|58ZMB|67RCR|9DUR|aVULN
19	42215 13126	   	271.94	DCR|DCR|2VULN|1CDMG|1AART	15LWND|23VULN|4AAC|6CDMG|7aRCR|8AART|9CGEN
20	42222 43126	   	271.69	DCR|DCR|2VULN|1ASPD|1AART|1SELL	1LWND|23VULN|4SELL|5ASPD|6DMSP|7aRCR|8AART|9CGEN
21	23224 33231	 * 	266.37	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8TLV|9CGEN|aVULN
22	23224 33251	 * 	266.37	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8TLV|9AAC|aVULN
23	23224 33451	 * 	266.37	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8CGEN|9AAC|aVULN
24	23224 33521	 * 	266.37	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9BELT|aBBNT
25	23224 33524	 * 	266.37	DCR|DCR|1VULN|2ASPD|2CDMG|1ZMB	13CDMG|23ASPD|3BPWR|4MDPS|5ZMB|67RCR|8VULN|9BELT|aLIT
26	61131 32116	   	266.35	DCR|DCR|2VULN|1RPLT|1ZMB	1RPLT|25BEXP|3ZMB|4TBNT|69VULN|7DUR|8aRCR
