0	Index      	 *	Score 	Summary	Detail	
1	66232 13223	 * 	279.10	DCR|DCR|3VULN|1CDMG|1SELL|1ZMB	157VULN|2ZMB|3CDMG|4LHND|6MDPS|8aRCR|9SELL
2	41222 13542	 * 	270.89	DCR|DCR|2VULN|1MLV|1RPLT	1MLV|2RPLT|3aVULN|4ERES|5BBNT|6DUST|79RCR|8TLV
3	13262 23346	 * 	266.70	DCR|DCR|2MLV|3CDMG|1ASPD	1DUR|25MLV|359CDMG|4BBNT|5BPWR|6ASPD|7aRCR|8ERES
4	42611 12532	 * 	265.00	DCR|DCR|3MLV|1VULN	146MLV|2aAAC|34TLV|4BPWR|5VULN|7LHND|89RCR
5	42611 12533	   	265.00	DCR|DCR|3MLV|1VULN	146MLV|2AAC|34TLV|4BPWR|5VULN|7LHND|89RCR|aBEXP
6	42611 12531	   	264.90	DCR|DCR|3MLV|1VULN	146MLV|2AAC|34TLV|4BPWR|5VULN|7LHND|89RCR|aAELOIC
7	13135 64232	 * 	263.75	ACR|DCR|2MLV|1VULN|1DMG|1ASPD	1DUR|26MLV|3VENTOX|4aRCR|5MDPS|7VULN|8ASPD|9DMG
8	15352 31531	 * 	263.55	DCR|DCR|2DMG|1VULN	1DUR|23LWND|4MDPS|5FEWX|67DMG|89RCR|aVULN
9	52352 31531	   	263.55	DCR|DCR|2DMG|1VULN	13LWND|2DUR|4MDPS|5FEWX|67DMG|89RCR|aVULN
10	13314 62531	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2MLV|3DUST|4DMG|5LWND|6RMIN|7LHND|89RCR|aVULN
11	62352 32233	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2DUR|3LWND|4MDPS|59AAC|6DMG|7aRCR|8MLV
12	62452 32233	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2DUR|3LHND|4MDPS|59AAC|6DMG|7aRCR|8MLV
13	13313 62531	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2MLV|3DUST|4DMG|5LEGI|6RMIN|7LWND|89RCR|aVULN
14	13314 35531	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2MLV|3DUST|4DMG|5LWND|6LEGI|7ERES|89RCR|aVULN
15	66243 13223	 * 	263.27	DCR|DCR|2VULN|2CDMG|1SELL|1ZMB	17VULN|2ZMB|34CDMG|5FEWX|6MDPS|8aRCR|9SELL
16	13255 36223	 * 	260.42	DCR|DCR|2MLV|1DMG|1CDMG|1SELL	1DUR|25MLV|3CDMG|4RMIN|6MDPS|7DMG|8aRCR|9SELL
17	13415 36223	 * 	260.42	DCR|DCR|2MLV|1DMG|1CDMG|1SELL	1DUR|25MLV|3RMIN|4CDMG|6MDPS|7DMG|8aRCR|9SELL
18	16221 53342	   	259.37	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1DUR|2ZMB|3CDMG|4TBNT|5CGEN|6MDPS|79RCR|8DMG|aVULN
19	62335 22532	   	257.18	DCR|DCR|1VULN|1MLV|1ASPD	1VULN|2DUR|3LWND|4FEWX|5MLV|6CGEN|7ASPD|89RCR|aAAC
20	62335 22533	   	257.18	DCR|DCR|1VULN|1MLV|1ASPD	1VULN|2DUR|3LWND|4FEWX|5MLV|6CGEN|7ASPD|89RCR|aRMIN
21	11351 22531	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3DUST|4RMIN|5MLV|6FEWX|7LWND|89RCR|aVULN
22	11351 32531	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3DUST|4RMIN|5MLV|6LWND|7LHND|89RCR|aVULN
23	11351 35532	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3DUST|4RMIN|5MLV|6LWND|7VULN|89RCR|aAAC
24	11351 35533	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3DUST|4aRMIN|5MLV|6LWND|7VULN|89RCR
25	11431 22531	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3RMIN|4DUST|5MLV|6FEWX|7LWND|89RCR|aVULN
26	11431 32531	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3RMIN|4DUST|5MLV|6LWND|7LHND|89RCR|aVULN
27	11431 35532	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3RMIN|4DUST|5MLV|6LWND|7VULN|89RCR|aAAC
28	11431 35533	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3aRMIN|4DUST|5MLV|6LWND|7VULN|89RCR
29	13334 52532	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MLV|3DUST|4RMIN|5LWND|6VULN|7ASPD|89RCR|aAAC
30	13334 52533	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MLV|3DUST|4aRMIN|5LWND|6VULN|7ASPD|89RCR
31	15235 22531	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2LWND|3LEGI|4FEWX|5MLV|6CGEN|7ASPD|89RCR|aVULN
32	52235 22531	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2DUR|3LEGI|4FEWX|5MLV|6CGEN|7ASPD|89RCR|aVULN
33	62335 22531	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1VULN|2DUR|3LWND|4FEWX|5MLV|6CGEN|7ASPD|89RCR|aAELOIC
34	11361 35532	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3DUST|4ERES|5MLV|6LWND|7VULN|89RCR|aAAC
35	11361 35533	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3DUST|4ERES|5MLV|6LWND|7VULN|89RCR|aRMIN
36	11351 35531	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3DUST|4RMIN|5MLV|6LWND|7VULN|89RCR|aAELOIC
37	11431 35531	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3RMIN|4DUST|5MLV|6LWND|7VULN|89RCR|aAELOIC
38	13334 32531	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MLV|3DUST|4RMIN|5LWND|6LEGI|7ASPD|89RCR|aVULN
39	13334 52531	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MLV|3DUST|4RMIN|5LWND|6VULN|7ASPD|89RCR|aAELOIC
40	13434 32531	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MLV|3RMIN|4DUST|5LWND|6LEGI|7ASPD|89RCR|aVULN
41	11361 35531	   	256.88	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2ASPD|3DUST|4ERES|5MLV|6LWND|7VULN|89RCR|aAELOIC
42	66251 13223	   	256.86	DCR|DCR|2VULN|1CDMG|1SELL|1ZMB	17VULN|2ZMB|3CDMG|4RMIN|5AME|6MDPS|8aRCR|9SELL
