0	Index      	 *	Score 	Summary	Detail	
1	31623 24226	 * 	288.81	DCR|DCR|1VULN|2MLV|1DMG|2DUR	178LIT|2CGEN|38DUR|4DMG|5VULN|68MLV|8BPWR|9aRCR
2	22553 23342	 * 	286.02	DCR|DCR|2VULN|1DMG|1MLV	1MLV|2DUST|3MDPS|45VULN|6aRCR|7RCVC|8DMG|9LHND
3	13515 62123	   	282.24	DCR|DCR|2VULN|1DMG|1ASPD	1BBNT|2ASPD|3DMG|4LWND|57VULN|6aRCR|8LHND|9AME
4	31541 22226	 * 	281.72	DCR|DCR|2VULN|2MLV|1ZMB	138LIT|2CGEN|48MLV|5FEWX|6ZMB|78VULN|8BPWR|9aRCR
5	31542 22226	 * 	281.72	DCR|DCR|2VULN|2MLV|1ZMB	138LIT|2CGEN|48MLV|5BEXP|6ZMB|78VULN|8BPWR|9aRCR
6	31543 22226	 * 	281.62	DCR|DCR|2VULN|2MLV|1ZMB	138LIT|2CGEN|48MLV|5DUST|6ZMB|78VULN|8BPWR|9aRCR
7	21335 33772	   	277.00	DCR|DCR|1VULN|2MLV|1CDMG|1AART	14MLV|2AART|34FEWX|4BPWR|5MBVNT|6LWND|7VULN|8CDMG|9aRCR
8	11162 26151	   	274.37	DCR|DCR|2VULN|1MLV	1BBNT|23VULN|4MLV|5FEWX|6DUR|7aRCR|8LWND|9VENICY
9	11233 41521	   	274.37	DCR|DCR|2VULN|1MLV	1BBNT|27VULN|3DUST|4FRZICY|5MLV|6DUR|8aRCR|9BEXP
10	11233 41551	   	274.37	DCR|DCR|2VULN|1MLV	1BBNT|27VULN|3DUST|4FRZICY|5MLV|6DUR|8aRCR|9LHND
11	31123 24226	   	273.96	DCR|DCR|1VULN|2MLV|1DMG	178LIT|2CGEN|38BEXP|4DMG|5VULN|68MLV|8BPWR|9aRCR
12	31323 24226	   	273.96	DCR|DCR|1VULN|2MLV|1DMG	178LIT|2CGEN|38LWND|4DMG|5VULN|68MLV|8BPWR|9aRCR
13	13224 61153	 * 	271.85	DCR|DCR|2DMG|1VULN|1ASPD	1BBNT|2ASPD|3CGEN|4VULN|5LHND|6aRCR|79DMG|8LWND
14	13515 61123	   	271.75	DCR|DCR|2DMG|1VULN|1ASPD	1BBNT|2ASPD|37DMG|4LWND|5VULN|6aRCR|8LHND|9AME
15	32132 62365	 * 	270.87	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	1LIT|2TBNT|3VENTOX|48RCR|5aVULN|6MLV|7CDMG|9DMG
16	21151 63336	   	270.42	DCR|DCR|2MLV|1DMG|1ASPD|1AART	13MLV|2AART|4ASPD|5RCVC|6aRCR|7DMG|8DUR|9TBNT
17	31613 24226	   	268.50	DCR|DCR|1VULN|2MLV|2DUR|1ZMB	178LIT|2CGEN|38DUR|4ZMB|5VULN|68MLV|8BPWR|9aRCR
18	32132 62334	 * 	266.42	ACR|DCR|2VULN|2MLV|1CDMG	1LIT|2TBNT|3VENTOX|48RCR|59VULN|6aMLV|7CDMG
19	11233 11521	   	266.06	DCR|DCR|2VULN|1MLV	1BBNT|27VULN|3DUST|4FRZICY|5MLV|6BEXP|8aRCR|9FEWX
20	11233 11551	   	266.06	DCR|DCR|2VULN|1MLV	1BBNT|27VULN|3DUST|4FRZICY|5MLV|6BEXP|8aRCR|9LHND
21	11233 21521	   	266.06	DCR|DCR|2VULN|1MLV	1BBNT|27VULN|3DUST|4FRZICY|5MLV|6LWND|8aRCR|9BEXP
22	11233 21551	   	266.06	DCR|DCR|2VULN|1MLV	1BBNT|27VULN|3DUST|4FRZICY|5MLV|6LWND|8aRCR|9LHND
23	22144 11521	   	265.96	DCR|DCR|2VULN|1MLV	1MLV|2DUST|3FLTFST|47VULN|5BBNT|6BEXP|8aRCR|9FEWX
24	22144 21521	   	265.96	DCR|DCR|2VULN|1MLV	1MLV|2DUST|3FLTFST|47VULN|5BBNT|6LWND|8aRCR|9BEXP
25	31516 22226	   	265.91	DCR|DCR|2VULN|1MLV|1ZMB	138LIT|2CGEN|48DUST|5MLV|6ZMB|78VULN|8BPWR|9aRCR
26	22553 23612	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	1MLV|2DUST|3MDPS|45VULN|6aRCR|7RCVC|8BEXP|9ZMB
27	32132 62345	   	264.46	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1LIT|2TBNT|3VENTOX|48RCR|5aVULN|6MLV|7CDMG|9ASPD
28	32314 32121	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1LIT|2TBNT|3CDMG|4LWND|5MDPS|68RCR|7DMG|9AART|aVULN
29	32354 32121	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1LIT|2TBNT|3CDMG|4LHND|5MDPS|68RCR|7DMG|9AART|aVULN
30	52625 13213	 * 	263.29	ACR|DCR|4VULN|1SELL	1789CGEN|278DUST|3TBNT|4SELL|5aRCR|6789VULN|789BPWR
31	14312 26243	   	262.00	DCR|DCR|1VULN|2MLV	1BBNT|2BEXP|35LWND|45MLV|5BPWR|6DUR|7aRCR|8MBVNT|9VULN
32	15212 26243	   	262.00	DCR|DCR|1VULN|2MLV	1BBNT|2LWND|35BEXP|45MLV|5BPWR|6DUR|7aRCR|8MBVNT|9VULN
33	15512 26243	   	262.00	DCR|DCR|1VULN|2MLV	1BBNT|2LWND|35FEWX|45MLV|5BPWR|6DUR|7aRCR|8MBVNT|9VULN
34	15412 26243	   	261.80	DCR|DCR|1VULN|2MLV	1BBNT|2LWND|35DUST|45MLV|5BPWR|6DUR|7aRCR|8MBVNT|9VULN
35	11116 32523	 * 	261.15	DCR|3VULN|2MLV|2ASPD|1RPLT	1BBNT|239VULN|4LWND|5RPLT|6RCR|79ASPD|89MLV|9BPWR|aDUR
