0	Index      	 *	Score 	Summary	Detail	
1	11652 11325	 * 	300.21	DCR|DCR|2VULN|1DMG|1ASPD	1DUR|2LIT|34VULN|5DMG|6aRCR|7ASPD|8MBVNT|9RPLT
2	11532 11325	   	272.13	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|23LIT|4VULN|5DMG|6aRCR|7ASPD|8MBVNT|9RPLT
3	55313 12112	   	271.94	DCR|DCR|2VULN|1ASPD	18LSRICY|2ASPD|38VULN|4LHND|5LIT|6aRCR|78AME|8BPWR|9RPLT
4	55313 13112	   	271.94	DCR|DCR|2VULN|1ASPD	18LSRICY|2ASPD|38VULN|4LHND|5LIT|6aRCR|78ERES|8BPWR|9RPLT
5	55313 12212	   	271.84	DCR|DCR|2VULN|1ASPD	1LSRICY|2ASPD|38VULN|4LHND|5LIT|6aRCR|7AME|9RPLT
6	55313 13212	   	271.84	DCR|DCR|2VULN|1ASPD	1LSRICY|2ASPD|38VULN|4LHND|5LIT|6aRCR|7ERES|9RPLT
7	22344 11325	 * 	271.64	ACR|DCR|4VULN	18RCR|256aVULN|3FLTARM|4RMIN|7TLV|9DUR
8	22324 11321	 * 	271.55	ACR|DCR|3VULN|1DMG	18RCR|256VULN|3FLTARM|4CGEN|7TLV|9DUR|aDMG
9	22344 11321	   	271.55	ACR|DCR|3VULN|1DMG	18RCR|256VULN|3FLTARM|4RMIN|7TLV|9DUR|aDMG
10	22344 13321	   	271.55	ACR|DCR|3VULN|1DMG	18RCR|256VULN|3FLTARM|4RMIN|7CGEN|9DUR|aDMG
11	22624 11321	   	271.45	ACR|DCR|3VULN|1DMG	18RCR|256VULN|3AIRARM|4CGEN|7TLV|9DUR|aDMG
12	22644 11321	   	271.45	ACR|DCR|3VULN|1DMG	18RCR|256VULN|3AIRARM|4RMIN|7TLV|9DUR|aDMG
13	22644 13321	   	271.45	ACR|DCR|3VULN|1DMG	18RCR|256VULN|3AIRARM|4RMIN|7CGEN|9DUR|aDMG
