0	Index      	*	Score	Code	Var
1	15131 25352	*	314.5	紫2易伤2散射对甲2伤害1全技能1暴击1双倍秒伤1策反	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9策反a双倍秒伤
2	15131 25343	 	305.0	紫2易伤2散射对甲2伤害1全技能1暴击1双倍秒伤	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9基地爆炸a双倍秒伤
3	15131 25324	*	303.8	紫2易伤2散射对甲2全技能2伤害1暴击	1a全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9双倍矿
4	15131 25362	 	302.1	紫2易伤2散射对甲2伤害1全技能1暴击1双倍秒伤	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9技能a双倍秒伤
5	15131 25314	 	300.3	紫2易伤2散射对甲2全技能2伤害1暴击	1a全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9立即金币
6	15131 25323	 	298.7	紫2易伤2散射对甲2伤害1全技能1暴击1时间	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9双倍矿a时间
7	15131 25351	 	297.2	紫2易伤2散射对甲2伤害1全技能1暴击1策反	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9策反a基地爆炸
8	15131 25313	 	295.2	紫2易伤2散射对甲2伤害1全技能1暴击1时间	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9立即金币a时间
9	15131 25353	 	294.4	紫2易伤2散射对甲2伤害1全技能1暴击1策反	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9策反a矿等
10	15131 25321	 	291.9	紫2易伤2散射对甲2伤害1全技能1暴击	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9双倍矿a雷电
11	15131 25311	 	288.4	紫2易伤2散射对甲2伤害1全技能1暴击	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9立即金币a雷电
12	15131 25325	 	287.6	紫2易伤2散射对甲2伤害1全技能1暴击	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9双倍矿
13	15131 25322	 	287.6	紫2易伤2散射对甲2伤害1全技能1暴击	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9双倍矿a技能
14	35141 14121	*	285.9	橙3易伤3伤害1暴击1攻速2敌人爆炸	169伤害2攻速39敌人爆炸4暴击5基地爆炸79a易伤8核9序列升级
15	15131 25361	 	284.8	紫2易伤2散射对甲2伤害1全技能1暴击	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9技能a基地爆炸
16	15131 25342	 	284.8	紫2易伤2散射对甲2伤害1全技能1暴击	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9基地爆炸a挖尘
17	15131 25341	 	284.7	紫2易伤2散射对甲2伤害1全技能1暴击1卖塔	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9基地爆炸a卖塔
18	15131 25312	 	284.1	紫2易伤2散射对甲2伤害1全技能1暴击	1全技能28伤害38易伤4核5敌人爆炸6暴击78散射对甲8序列升级9立即金币a技能
