0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36621 25322	5	 * 	301.16	橙3易伤3等级3时间2伤害	18a时间2额外掉落38a等级4策反56伤害78a易伤8a序列升级9核
2	36621 25222	5	   	287.84	橙3易伤2等级2伤害2时间	1a时间2额外掉落3a等级4策反56伤害78a易伤9核a序列升级
3	65241 48322	4	 * 	284.46	橙4易伤3等级3时间	14额外掉落258a易伤3加一68a等级78a时间8a序列升级9核
4	36311 25322	5	   	282.25	橙3易伤3时间2伤害1等级	18a时间2额外掉落38a策反4等级56伤害78a易伤8a序列升级9核
5	36311 45222	5	   	282.15	橙3易伤3时间2伤害1等级	16a时间2额外掉落3a策反4等级56伤害6a序列升级78a易伤9核
6	33144 13362	7	   	281.80	橙3易伤2等级2时间1暴击	17时间2全技能367易伤4立即金币57等级7序列升级8攻速9暴击a核
7	33146 13362	7	   	281.80	橙3易伤2等级2时间1暴击	17时间2全技能357易伤4立即金币67等级7序列升级8攻速9暴击a核
8	33224 13616	10	   	281.38	橙3易伤2等级3时间	147时间2全技能3立即金币57a易伤67等级7序列升级8攻速9核
9	33224 13616	9	   	281.38	橙3易伤2等级3时间	147时间2全技能3立即金币57a易伤67等级7序列升级8攻速9核
10	33324 13616	10	   	281.38	橙3易伤2等级3时间	147时间2全技能3双倍矿57a易伤67等级7序列升级8攻速9核
11	33324 13616	9	   	281.38	橙3易伤2等级3时间	147时间2全技能3双倍矿57a易伤67等级7序列升级8攻速9核
12	33246 22215	8	 * 	275.11	橙4易伤3时间3暴击	179时间2全技能3立即金币4矿等579暴击679a易伤79序列升级8核
13	33256 22215	8	   	275.11	橙4易伤3时间3暴击	179时间2全技能3立即金币4金币生成579暴击679a易伤79序列升级8核
14	33346 22215	8	   	275.11	橙4易伤3时间3暴击	179时间2全技能3双倍矿4矿等579暴击679a易伤79序列升级8核
15	33356 22215	8	   	275.11	橙4易伤3时间3暴击	179时间2全技能3双倍矿4金币生成579暴击679a易伤79序列升级8核
16	33543 22215	8	   	275.01	橙4易伤3时间3暴击	179时间2全技能3掉矿479暴击5立即金币679a易伤79序列升级8核
17	36441 22222	1	   	274.93	橙2易伤2等级3时间1伤害2攻速	13a时间2额外掉落4a攻速58易伤6伤害7a等级9核a序列升级
18	36441 22222	2	   	274.93	橙2易伤2等级3时间1伤害2攻速	13a时间2额外掉落4a攻速58易伤6伤害7a等级9核a序列升级
19	61441 22222	1	   	274.93	橙2易伤2等级3时间1伤害2攻速	1额外掉落23a时间4a攻速58易伤6伤害7a等级9核a序列升级
20	31356 33622	2	   	274.37	橙4易伤3时间1伤害2雷电	168时间28a策反3伤害4a雷电578a易伤8a序列升级9核
21	33224 13215	10	   	272.97	橙3易伤2等级3时间	147时间2全技能3立即金币57a易伤67等级7序列升级8掉矿9核
22	33224 13216	9	   	272.97	橙3易伤2等级3时间	147时间2全技能3立即金币57a易伤67等级7序列升级8掉矿9核
23	33226 43215	10	   	272.97	橙3易伤2等级3时间	147时间2全技能3立即金币57等级67a易伤7序列升级8掉矿9核
24	33226 43216	9	   	272.97	橙3易伤2等级3时间	147时间2全技能3立即金币57等级67a易伤7序列升级8掉矿9核
25	33324 13215	10	   	272.97	橙3易伤2等级3时间	147时间2全技能3双倍矿57a易伤67等级7序列升级8掉矿9核
26	33324 13216	9	   	272.97	橙3易伤2等级3时间	147时间2全技能3双倍矿57a易伤67等级7序列升级8掉矿9核
27	33326 43215	10	   	272.97	橙3易伤2等级3时间	147时间2全技能3双倍矿57等级67a易伤7序列升级8掉矿9核
28	33326 43216	9	   	272.97	橙3易伤2等级3时间	147时间2全技能3双倍矿57等级67a易伤7序列升级8掉矿9核
29	33513 13441	9	   	272.87	橙3易伤2等级3时间	149时间2全技能34掉矿49序列升级5加一689易伤79等级a核
30	33513 13441	10	   	272.87	橙3易伤2等级3时间	149时间2全技能34掉矿49序列升级5加一689易伤79等级a核
31	36631 11222	6	   	272.19	橙2易伤2等级3时间1伤害1暴击1卖塔	14a时间2额外掉落3a等级5伤害6卖塔7暴击8a易伤9核a序列升级
32	36631 31222	5	   	272.19	橙2易伤2等级3时间1伤害1暴击1卖塔	14a时间2额外掉落3a等级5伤害6卖塔7暴击8a易伤9核a序列升级
33	36643 11222	5	   	272.19	橙2易伤2等级3时间1伤害1暴击1卖塔	15a时间2额外掉落3a等级4暴击6伤害7卖塔8a易伤9核a序列升级
