0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	NQI8N	70384_08_15	42213 41343	 * 	377.65	橙2散射对甲2双倍秒伤3易伤2全技能2伤害	16全技能238易伤48散射对甲58伤害7核8序列升级9a双倍秒伤
2	V8EZS	91725_01_24	24363 32533	 * 	370.63	橙2散射对甲2双倍秒伤3易伤2伤害2攻速	137易伤23散射对甲37序列升级47攻速57伤害6核8策反9a双倍秒伤
3	H1IL9	50917_05_29	51135 11351	 * 	369.98	橙2散射对甲2双倍秒伤3易伤3攻速1全技能	147易伤247攻速3全技能47序列升级57散射对甲6核8a双倍秒伤9平台
4	R9BPD	80324_11_27	33125 42315	   	364.37	橙2散射对甲2双倍秒伤2易伤2伤害1全技能1核弹	17散射对甲2掉矿3全技能47易伤57伤害6核7序列升级89双倍秒伤a核弹
5	SAUMG	83338_07_16	62133 34326	 * 	362.61	橙2散射对甲2双倍秒伤3伤害2攻速1全技能2暴击	148伤害24散射对甲3全技能48序列升级58攻速6核78暴击9a双倍秒伤
6	46IZC	14042_05_29	12263 33632	   	361.00	橙2散射对甲2双倍秒伤3易伤2伤害2时间	137易伤23散射对甲37序列升级47时间57伤害6核8a双倍秒伤9立即金币
7	GI78S	49539_09_30	32531 52322	   	360.28	橙2散射对甲2双倍秒伤2易伤1全技能2时间1伤害1攻速	17散射对甲27时间3伤害4攻速5全技能67易伤7序列升级8核9a双倍秒伤
8	EHQJ7	43762_05_25	62312 13112	 * 	360.06	橙2散射对甲2双倍秒伤3伤害2易伤1全技能	1额外掉落28易伤378伤害4全技能58散射对甲6核8序列升级9a双倍秒伤
9	Z8BIV	2720_03_25	52235 32432	   	359.00	橙2散射对甲2双倍秒伤3易伤2伤害2时间	18伤害256易伤38时间48散射对甲7核8序列升级9a双倍秒伤
10	PJROT	75525_01_26	13133 43124	 * 	358.17	紫4易伤2散射对甲2双倍秒伤2伤害1全技能	1核2368易伤38序列升级48伤害58散射对甲7全技能9a双倍秒伤
11	CL4JD	38317_10_16	62623 32243	   	357.96	橙2散射对甲2双倍秒伤3伤害2易伤1全技能	158伤害2全技能3掉矿48易伤68散射对甲7核8序列升级9a双倍秒伤
12	P4I3N	74152_03_30	12244 11211	   	357.96	橙2散射对甲2双倍秒伤2易伤2伤害1全技能1暴击	17伤害2暴击3全技能47易伤57散射对甲6核7序列升级89双倍秒伤a额外掉落
13	P4I3N	74152_03_30	12244 11212	   	357.96	橙2散射对甲2双倍秒伤2易伤2伤害1全技能1暴击	17伤害2暴击3全技能47易伤57散射对甲6核7序列升级89双倍秒伤a雷电
14	P4I3N	74152_03_30	12244 11213	   	357.96	橙2散射对甲2双倍秒伤2易伤2伤害1全技能1暴击1挖怪	17伤害2暴击3全技能47易伤57散射对甲6核7序列升级89双倍秒伤a挖怪
15	P4I3N	74152_03_30	12244 11214	   	357.96	橙2散射对甲2双倍秒伤2易伤2伤害1全技能1暴击	17伤害2暴击3全技能47易伤57散射对甲6核7序列升级89双倍秒伤a时间
16	P4I3N	74152_03_30	12244 11215	   	357.96	橙2散射对甲2双倍秒伤2易伤2伤害1全技能1暴击	17伤害2暴击3全技能47易伤57散射对甲6核7序列升级89双倍秒伤a低血量敌人
17	PRKJU	76222_09_26	33136 54323	 * 	357.83	紫2散射对甲2双倍秒伤3伤害2易伤1全技能2暴击	1核248伤害34暴击48序列升级58易伤6全技能78散射对甲9a双倍秒伤
18	1F7UH	6208_12_10	24313 21632	   	357.49	橙2散射对甲2双倍秒伤3伤害2易伤2时间	17时间24散射对甲347伤害47序列升级57易伤6核8a双倍秒伤9狙击对黄
19	M8QAE	65921_06_01	61233 25623	   	357.10	橙2散射对甲2双倍秒伤3易伤2伤害2时间	17散射对甲247易伤34伤害47序列升级5金币生成67时间8核9a双倍秒伤
20	15MQA	5353_06_20	21413 62372	   	357.00	橙2散射对甲2双倍秒伤3易伤2伤害2时间	1加一247易伤34时间47序列升级57散射对甲67伤害8核9a双倍秒伤
21	OJ8N9	72600_10_03	56222 34211	   	356.80	橙2散射对甲2双倍秒伤2易伤2攻速1全技能2时间	18散射对甲26时间38易伤4全技能58攻速7核8序列升级9a双倍秒伤
22	11F8T	4973_06_15	11546 21112	   	356.75	橙2散射对甲2双倍秒伤3易伤2攻速1全技能	18散射对甲2雷电378易伤4全技能58攻速6核8序列升级9a双倍秒伤
23	GBQVZ	48966_12_10	23215 15161	   	356.66	橙2散射对甲2双倍秒伤2易伤2伤害1全技能1攻速	1全技能27易伤37伤害4多重对甲5攻速67散射对甲7序列升级8核9a双倍秒伤
24	OG2CQ	72313_11_14	64333 15223	   	355.55	橙2散射对甲2双倍秒伤2全技能2伤害1易伤2时间	17时间26全技能3易伤47散射对甲57伤害7序列升级8核9a双倍秒伤
25	LBM6M	63308_02_12	11325 61412	   	355.49	橙2散射对甲2双倍秒伤3伤害2易伤2时间	156伤害28易伤38时间48散射对甲7核8序列升级9a双倍秒伤
