0	Code 	Date      	Index      	 *	Score 	Summary	Detail	
1	NVAHO	70811_07_25	23516 24131	 * 	454.99	紫橙5易伤3等级2伤害3攻速	189攻速2a伤害3589a易伤46核789等级89a序列升级
2	B2JKZ	33784_05_23	31235 64211	 * 	453.05	橙橙5易伤3等级3伤害2毒气减费	17a伤害257等级3457a易伤57a序列升级69核8a毒气减费
3	UPQTB	90415_06_20	21531 34263	 * 	452.30	紫橙4易伤3等级3伤害3攻速	19a等级256攻速359a易伤48核59a序列升级79a伤害
4	IDF84	54855_05_03	23222 35331	   	448.36	橙橙4易伤3等级3伤害1烈焰减费	178等级2烈焰减费3478易伤578伤害6a核78序列升级9攻速
5	O4SQ6	71311_05_07	26323 36334	   	445.71	紫橙4易伤3等级3伤害1烈焰减费	189伤害2烈焰减费3a核489等级5789易伤6全技能89序列升级
6	818LM	25051_04_11	24313 12634	 * 	445.71	紫紫4易伤3等级3伤害1烈焰减费	178伤害24核378等级5678易伤78序列升级9全技能a烈焰减费
7	JFV1L	57949_12_18	34521 33314	   	445.71	紫橙4易伤3等级3伤害1烈焰减费	17核2全技能349a易伤5烈焰减费69a伤害89a等级9a序列升级
8	5TM6R	18988_07_21	22411 15132	   	443.99	橙橙5易伤3等级3伤害	18a伤害248等级3458a易伤48a序列升级69核7全技能
9	818LM	25051_04_11	24313 12633	 * 	443.99	紫紫5易伤3等级3伤害	178伤害24核378等级5678a易伤78序列升级9全技能
10	KI6CH	61020_11_16	31166 21151	 * 	442.65	紫橙5易伤3等级3伤害	18核24579易伤357伤害579序列升级679等级a时间
11	V8EK1	91726_09_29	13431 21521	   	441.95	紫紫4易伤3等级3伤害3时间	13核279a易伤47a等级5雷电减费679时间79a序列升级89a伤害
12	GKOM1	49767_12_28	32224 54123	   	441.65	紫紫4易伤3等级3伤害1毒气减费	1589易伤23核4随机技能689等级789伤害89序列升级a毒气减费
13	IDF84	54855_05_03	23222 35361	   	441.65	橙橙4易伤3等级3伤害1烈焰减费	178等级2烈焰减费3478易伤578伤害6a核78序列升级9策反
