0	Code 	Date      	Index      	 *	Score 	Summary	Detail	Bounty	
1	4BP9M	14511_06_06	23522 53241	 * 	376.48	橙5易伤3伤害2等级3时间2暴击	178伤害2378a易伤4a等级5a暴击678时间78a序列升级9核	2
2	4BP9M	14511_06_06	23632 53241	   	376.48	橙5易伤3伤害2等级3时间2暴击	178伤害2478a易伤3a等级5a暴击678时间78a序列升级9核	2
3	7VU86	24932_05_04	45621 21231	   	376.48	橙5易伤3伤害2等级3时间2暴击	1478a易伤2a暴击378伤害578时间6核78a序列升级9a等级	6
4	GRBDL	50358_10_27	22253 45122	   	376.48	橙5易伤3伤害2等级3时间2暴击	1278a易伤378时间4a暴击5a等级678伤害78a序列升级9核	4
5	NIVOD	69704_09_19	12511 22424	   	376.48	橙5易伤3伤害2等级3时间2暴击	1478a易伤278时间3a暴击5a等级678伤害78a序列升级9核	1
6	O96CR	71697_01_27	24351 32325	   	376.48	橙5易伤3伤害2等级3时间2暴击	1278a易伤3a等级478时间578伤害6核78a序列升级9a暴击	10
7	3JRIJ	12364_08_21	33212 65326	   	376.48	橙5易伤3伤害2等级3时间2暴击	1479a易伤29a伤害37等级57暴击6核79a序列升级89a时间	4
8	3PE2R	12865_02_07	25411 23162	   	376.48	橙5易伤3伤害2等级3时间2暴击	189伤害289时间3a等级4a暴击5689a易伤7核89a序列升级	10
9	4O8D3	15630_05_15	23113 31542	   	376.48	橙5易伤3伤害2等级3时间2暴击	189伤害289时间3a暴击4a等级5789a易伤6核89a序列升级	2
10	4O8D3	15630_05_15	23213 31542	   	376.48	橙5易伤3伤害2等级3时间2暴击	189伤害289时间3a暴击4a等级5789a易伤6核89a序列升级	3
11	6N4BF	21271_02_07	11461 53122	   	376.48	橙5易伤3伤害2等级3时间2暴击	1489a易伤289时间3a暴击5a等级6核789伤害89a序列升级	9
12	9DB1F	29005_05_29	21332 14262	   	376.48	橙5易伤3伤害2等级3时间2暴击	178伤害2789a易伤39等级49暴击578时间6核789序列升级	10
13	A1PKN	30840_08_28	35233 11244	   	376.48	橙5易伤3伤害2等级3时间2暴击	178时间23789易伤49等级59暴击678伤害789序列升级a核	6
14	A1PKN	30840_08_28	35233 12244	   	376.48	橙5易伤3伤害2等级3时间2暴击	178时间23789易伤49等级59暴击678伤害789序列升级a核	7
15	H2J1V	51008_03_27	45125 11233	   	376.48	橙5易伤3伤害2等级3时间2暴击	12789易伤378伤害49等级59暴击678时间789序列升级a核	8
16	HQDPU	53146_09_10	33616 21215	   	376.48	橙5易伤3伤害2等级3时间2暴击	1789a易伤289时间3a暴击4a等级589伤害6核89a序列升级	10
17	HQDPU	53146_09_10	33616 21216	   	376.48	橙5易伤3伤害2等级3时间2暴击	1789a易伤289时间3a暴击4a等级589伤害6核89a序列升级	9
